qTcut          mu_R/mWbb      mu_F/mWbb      XS +- err (NNLO.QCD)              

extrapolation  0.5            0.5            72569.330       +- 75.529121      
extrapolation  0.5            1              73909.483       +- 78.828589      
extrapolation  0.5            2              74890.191       +- 81.673152      
extrapolation  1              0.5            61688.604       +- 48.778269      
extrapolation  1              1              63161.650       +- 50.840961      
extrapolation  1              2              64268.910       +- 52.629054      
extrapolation  2              0.5            52922.918       +- 32.951362      
extrapolation  2              1              54423.920       +- 34.308351      
extrapolation  2              2              55576.142       +- 35.493073      

0.01           0.5            0.5            72521.699       +- 49.677999      
0.01           0.5            1              73858.306       +- 52.510157      
0.01           0.5            2              74835.987       +- 55.085585      
0.01           1              0.5            61657.690       +- 32.636288      
0.01           1              1              63128.560       +- 34.375200      
0.01           1              2              64233.981       +- 35.958904      
0.01           2              0.5            52901.965       +- 22.623316      
0.01           2              1              54401.571       +- 23.758376      
0.01           2              2              55552.621       +- 24.793176      

0.02           0.5            0.5            72533.472       +- 42.108205      
0.02           0.5            1              73871.358       +- 44.355375      
0.02           0.5            2              74850.153       +- 46.430829      
0.02           1              0.5            61667.359       +- 27.934717      
0.02           1              1              63139.146       +- 29.310135      
0.02           1              2              64245.355       +- 30.583696      
0.02           2              0.5            52909.938       +- 19.569109      
0.02           2              1              54410.229       +- 20.467466      
0.02           2              2              55561.864       +- 21.300389      

0.03           0.5            0.5            72521.903       +- 40.221029      
0.03           0.5            1              73858.838       +- 42.171976      
0.03           0.5            2              74836.829       +- 43.999765      
0.03           1              0.5            61661.702       +- 26.812116      
0.03           1              1              63133.012       +- 28.006764      
0.03           1              2              64238.823       +- 29.129199      
0.03           2              0.5            52907.439       +- 18.862579      
0.03           2              1              54407.510       +- 19.645131      
0.03           2              2              55558.967       +- 20.381140      

0.04           0.5            0.5            72498.497       +- 38.745713      
0.04           0.5            1              73834.924       +- 40.753992      
0.04           0.5            2              74812.370       +- 42.622718      
0.04           1              0.5            61646.730       +- 25.885578      
0.04           1              1              63117.745       +- 27.116964      
0.04           1              2              64223.235       +- 28.266097      
0.04           2              0.5            52897.513       +- 18.253333      
0.04           2              1              54397.410       +- 19.059525      
0.04           2              2              55548.673       +- 19.812786      

0.05           0.5            0.5            72474.230       +- 37.549540      
0.05           0.5            1              73808.914       +- 39.434647      
0.05           0.5            2              74784.850       +- 41.194807      
0.05           1              0.5            61632.428       +- 25.156790      
0.05           1              1              63102.455       +- 26.312667      
0.05           1              2              64207.091       +- 27.395104      
0.05           2              0.5            52888.787       +- 17.785166      
0.05           2              1              54388.111       +- 18.542572      
0.05           2              2              55538.881       +- 19.252626      

0.06           0.5            0.5            72453.465       +- 36.795936      
0.06           0.5            1              73786.774       +- 38.606512      
0.06           0.5            2              74761.484       +- 40.300758      
0.06           1              0.5            61620.514       +- 24.692608      
0.06           1              1              63089.833       +- 25.802138      
0.06           1              2              64193.834       +- 26.843517      
0.06           2              0.5            52881.800       +- 17.483557      
0.06           2              1              54380.769       +- 18.210519      
0.06           2              2              55531.217       +- 18.893531      

0.07           0.5            0.5            72459.001       +- 36.743259      
0.07           0.5            1              73792.336       +- 38.532158      
0.07           0.5            2              74767.072       +- 40.211780      
0.07           1              0.5            61624.969       +- 24.667736      
0.07           1              1              63094.368       +- 25.764793      
0.07           1              2              64198.444       +- 26.797974      
0.07           2              0.5            52885.430       +- 17.467834      
0.07           2              1              54384.498       +- 18.186815      
0.07           2              2              55535.037       +- 18.864590      

0.08           0.5            0.5            72444.820       +- 36.695962      
0.08           0.5            1              73776.940       +- 38.403799      
0.08           0.5            2              74750.679       +- 40.010107      
0.08           1              0.5            61617.065       +- 24.681180      
0.08           1              1              63085.758       +- 25.726046      
0.08           1              2              64189.259       +- 26.711501      
0.08           2              0.5            52880.911       +- 17.498162      
0.08           2              1              54379.557       +- 18.182111      
0.08           2              2              55529.755       +- 18.827560      

0.09           0.5            0.5            72413.727       +- 35.978322      
0.09           0.5            1              73744.141       +- 37.709163      
0.09           0.5            2              74716.440       +- 39.339961      
0.09           1              0.5            61597.525       +- 24.190427      
0.09           1              1              63065.226       +- 25.250204      
0.09           1              2              64167.898       +- 26.251941      
0.09           2              0.5            52868.153       +- 17.152604      
0.09           2              1              54366.205       +- 17.846092      
0.09           2              2              55515.913       +- 18.502241      

0.1            0.5            0.5            72405.587       +- 35.452243      
0.1            0.5            1              73736.114       +- 37.150140      
0.1            0.5            2              74708.447       +- 38.750864      
0.1            1              0.5            61592.896       +- 23.864629      
0.1            1              1              63060.732       +- 24.903192      
0.1            1              2              64163.480       +- 25.885549      
0.1            2              0.5            52865.479       +- 16.940153      
0.1            2              1              54363.665       +- 17.619209      
0.1            2              2              55513.461       +- 18.262151      

0.11           0.5            0.5            72386.181       +- 35.263685      
0.11           0.5            1              73716.258       +- 36.963490      
0.11           0.5            2              74688.275       +- 38.564610      
0.11           1              0.5            61580.804       +- 23.749878      
0.11           1              1              63048.441       +- 24.788734      
0.11           1              2              64151.067       +- 25.770639      
0.11           2              0.5            52857.643       +- 16.865018      
0.11           2              1              54355.758       +- 17.543456      
0.11           2              2              55505.529       +- 18.185426      

0.12           0.5            0.5            72373.070       +- 35.213790      
0.12           0.5            1              73701.871       +- 36.922619      
0.12           0.5            2              74672.794       +- 38.532371      
0.12           1              0.5            61573.922       +- 23.713837      
0.12           1              1              63040.873       +- 24.758202      
0.12           1              2              64142.913       +- 25.745428      
0.12           2              0.5            52854.074       +- 16.836626      
0.12           2              1              54351.820       +- 17.518276      
0.12           2              2              55501.277       +- 18.163395      

0.13           0.5            0.5            72371.192       +- 34.894385      
0.13           0.5            1              73699.002       +- 36.586464      
0.13           0.5            2              74669.007       +- 38.178443      
0.13           1              0.5            61573.322       +- 23.514518      
0.13           1              1              63039.731       +- 24.547947      
0.13           1              2              64141.265       +- 25.523608      
0.13           2              0.5            52854.088       +- 16.705360      
0.13           2              1              54351.536       +- 17.379406      
0.13           2              2              55500.712       +- 18.016531      

0.14           0.5            0.5            72352.137       +- 34.695225      
0.14           0.5            1              73678.580       +- 36.373665      
0.14           0.5            2              74647.437       +- 37.953166      
0.14           1              0.5            61561.613       +- 23.391513      
0.14           1              1              63027.257       +- 24.415987      
0.14           1              2              64128.158       +- 25.383466      
0.14           2              0.5            52846.579       +- 16.624333      
0.14           2              1              54343.591       +- 17.292090      
0.14           2              2              55492.411       +- 17.923469      

0.15           0.5            0.5            72346.877       +- 34.544222      
0.15           0.5            1              73672.603       +- 36.214132      
0.15           0.5            2              74640.885       +- 37.786474      
0.15           1              0.5            61559.704       +- 23.295335      
0.15           1              1              63025.042       +- 24.314052      
0.15           1              2              64125.709       +- 25.276677      
0.15           2              0.5            52846.334       +- 16.559088      
0.15           2              1              54343.247       +- 17.222646      
0.15           2              2              55492.004       +- 17.850451      

0.16           0.5            0.5            72351.865       +- 34.612988      
0.16           0.5            1              73677.575       +- 36.277719      
0.16           0.5            2              74645.754       +- 37.843914      
0.16           1              0.5            61564.257       +- 23.345992      
0.16           1              1              63029.755       +- 24.361413      
0.16           1              2              64130.505       +- 25.320054      
0.16           2              0.5            52850.293       +- 16.594735      
0.16           2              1              54347.430       +- 17.255926      
