qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            1                   LO.22                                                                 19316.7881 +-          0.8294

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680

independent    2              1                   LO.22                                                                 12815.7920 +-          0.5504

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            1                   LO.22                                                                 19316.7881 +-          0.8294
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   born                                                                  19316.7881 +-          0.8294

independent    1              1                   LO.22                                                                 15558.8505 +-          0.6680
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   born                                                                  15558.8505 +-          0.6680

independent    2              1                   LO.22                                                                 12815.7920 +-          0.5504
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   born                                                                  12815.7920 +-          0.5504

=====================================================================================================================================================

