#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.998883       0.155285      12.596534      0.1301434      18.159806     0.18982622
              1      44.937473     0.26875527      37.751028     0.22588453       54.38828     0.32859715
              2      76.367376     0.34837543      64.173822     0.29256716      92.387922     0.42462074
              3      106.56034     0.43948844      89.558934     0.36540437      128.88622     0.54369288
              4       137.2432     0.46481318      115.36975     0.39086066      165.95788     0.56646271
              5      168.23866     0.51620708      141.48681      0.4345618      203.32438     0.62984822
              6      198.85012     0.56175757      167.19265     0.47213513      240.38618     0.68549285
              7      230.83724     0.60385051      194.11125     0.50768093      279.01459     0.73599992
              8      262.24034     0.65368683       220.5631     0.54798077      316.88568     0.79966048
              9      294.49989     0.68681028      247.72672     0.57741007      355.81339     0.83977654
             10        328.153     0.72333831       275.9818     0.60834128       396.5655      0.8850971
             11        360.628     0.75604803      303.35719     0.63555758      435.70989     0.92189173
             12      393.46174     0.78539096      330.89994     0.66035656      475.50716     0.95733219
             13      427.61922     0.82715494      359.68334     0.69488392      516.68778      1.0088423
             14      462.43969     0.85071377      388.95963      0.7154389      558.78057      1.0363123
             15      496.71761     0.88317497      417.81695     0.74265541      600.16284        1.07598
             16      532.09319     0.91133399      447.62296     0.76665504      642.81626      1.1100286
             17      568.23627     0.94496277      478.05661     0.79473138      686.43537      1.1517747
             18      604.32228     0.97301961      508.31695     0.82012663      730.20222      1.1919299
             19       641.0356      1.0021116      539.18429     0.84243883      774.58799      1.2217474
             20      676.67436      1.0264641      569.28733     0.86297154      817.42007      1.2535876
             21      713.05213      1.0590439      599.83955     0.89052694      861.44625      1.2926665
             22      748.92808      1.0794191      630.10952     0.90837456      904.61648       1.316315
             23      784.03263      1.1019947      659.60242     0.92743203      947.09961      1.3431184
             24      824.06654      1.1284185      693.34184     0.94960537      995.34538      1.3749364
             25      853.43244      1.1644913      717.79591     0.97768718      1031.2652      1.4217458
             26      889.09965      1.1755458      748.09676      0.9893778      1073.8185      1.4329366
             27      922.36561      1.1993646      775.95063      1.0089373      1114.2365      1.4607462
             28       952.6854      1.2180751      801.39213      1.0238498      1150.9673      1.4850348
             29      982.97003      1.2348544      826.90104      1.0394299      1187.4949      1.5090196
             30      1008.1192      1.2443971      847.87406      1.0471339      1218.1983      1.5188775
             31      1031.2517      1.2642112      867.20372      1.0627416      1246.3863      1.5421663
             32      1050.2286      1.2797225      882.87564      1.0747929      1269.8366      1.5613735
             33      1064.5731      1.2824273      894.87883      1.0765436       1287.271      1.5756213
             34      1072.1445      1.2838376      900.94914      1.0797793      1296.9581      1.5700361
             35      1073.3285        1.29065       901.7921      1.0839327      1298.6684      1.5761281
             36      1058.8681      1.2754905      889.54804      1.0727239      1281.3389      1.5637053
             37      1039.2288      1.2638666      872.74834      1.0615651      1258.1241      1.5428338
             38      1007.8031      1.2495886      846.05474       1.048539      1220.6353      1.5272036
             39      964.68428      1.2189951       809.7742       1.024351      1168.5636       1.495253
             40      912.60978      1.1959053      765.68211      1.0023182      1106.1945      1.4649973
             41      854.72146      1.1525438       716.9969     0.96665914      1036.2553      1.4094614
             42      793.35609      1.1057308      665.42193     0.93169303      962.04766      1.3645432
             43      733.77867      1.0678058      615.18827     0.89539138      890.31294      1.3075508
             44       674.7477      1.0289231      565.59247     0.86167032      818.88569      1.2613498
             45      621.18204     0.98200419      520.52411     0.82304961      754.20629      1.2026343
             46      571.93443     0.94201643      479.17929     0.78993583      694.55788      1.1556245
             47      523.48642     0.90126384      438.47518     0.75597346      635.94101      1.1077954
             48       481.0975     0.86485165      402.79861      0.7247565      584.76793       1.060872
             49      444.99205     0.83253955      372.63752      0.6974823      540.76967      1.0208122
             50      409.18124     0.79971719      342.51483     0.66981074      497.50727     0.98080014
             51      377.74063     0.77036085      316.03108     0.64555034      459.58454     0.95426015
             52      349.82846     0.73992614      292.61806     0.61921692      425.74586     0.90790464
             53      324.25966     0.71107672      271.13222     0.59485666      394.80657     0.87162694
             54      301.24006     0.68716387      251.84719     0.57515464      366.85298     0.84535771
             55      281.69659     0.66380246      235.29212     0.55468784      343.44517     0.81582021
             56      261.66154     0.64231005       218.5962     0.53662413      318.95623     0.78904846
             57      245.11902     0.61902671      204.68649     0.51734256       298.9602     0.76031868
             58      228.06555     0.59910987      190.33829     0.50028115       278.3549     0.73718252
             59      213.47847     0.57977802      178.13873     0.48404228      260.59653     0.71409457
             60      200.00244     0.56832818       166.9439     0.47348741      244.06587     0.70440369
             61      188.55003     0.54574902       157.2714     0.45546697      230.30021     0.67226093
             62      175.54548     0.52519067      146.49214     0.44137944      214.29565     0.66013729
             63      164.87098     0.50907213      137.33258     0.42429331      201.72351     0.62764553
             64      155.38906     0.49446558      129.32257     0.41197397      190.32277     0.61122922
             65      146.35817      0.4791979       121.8556     0.39963833      179.17777       0.592165
             66       137.7688     0.46599262      114.68835     0.38821075      168.69009     0.57817424
             67      130.38629      0.4582501       108.4619     0.38121797      159.80561     0.56852899
             68      123.48273     0.44178929      102.64694     0.36744312      151.47344      0.5461713
             69      116.08961     0.43076695      96.489311     0.35820424      142.42927     0.53277273
             70      110.35759     0.41652454      91.675134     0.34697782      135.48546      0.5172469
             71      105.20142     0.41092727      87.325946     0.34099735      129.27786     0.50895204
             72      98.051352     0.39267765      81.458486     0.32667678      120.37306     0.48657385
             73      94.426245     0.38558583      78.335358     0.32032022      116.12595     0.47820604
             74      88.929305     0.37585595      73.735835     0.31188345      109.43539     0.46636443
             75      84.342872     0.36516672      69.900517     0.30287363      103.85288     0.45324178
             76      80.410366     0.35930131      66.611866     0.29760899      99.061908     0.44609147
             77      76.810105     0.35093223      63.568043     0.29055195      94.737119     0.43596628
             78      72.564207     0.33826811       60.10656     0.28063109      89.407018     0.41982014
             79      69.277476     0.33197071      57.359008     0.27557413      85.409081        0.41394
             80      65.598346     0.32260836      54.244426     0.26702461      80.993272     0.40105844
             81      62.232064       0.314547      51.444655     0.26026835      76.863901     0.39310982
             82      59.782328      0.3081399      49.413973     0.25498598       73.84955     0.38427001
             83      57.003583     0.30356333      47.079823     0.25077407      70.489218     0.37919046
             84      54.458589     0.29379259      44.968382     0.24303488      67.356306     0.36651201
             85      51.589092     0.28992402      42.576128     0.23928201      63.847232     0.36190059
             86      49.371006     0.29633345       40.73047     0.24321263      61.130423      0.3722544
             87      47.131476     0.27303922       38.89887     0.22592235      58.330223     0.34415334
             88      45.398034     0.26968963       37.39541      0.2222022      56.315278     0.33695353
             89      44.038253      0.2639511      36.323585     0.21808569      54.542565     0.32948087
             90      41.419082     0.25798957      34.145266     0.21278469      51.331319      0.3220367
             91      39.596111     0.25033426      32.639957      0.2065173       49.07728     0.31257084
             92      37.750875     0.24986835      31.079647     0.20563533      46.859731     0.31321047
             93      36.297218     0.27965751      29.885946     0.22824097      45.049647     0.35419497
             94      34.980941     0.23566045      28.810704     0.19422928      43.401291     0.29442108
             95      33.283499     0.23067218      27.369215     0.18984002      41.372742     0.28884789
             96      32.044998     0.22568046      26.354198     0.18575761      39.826182     0.28236662
             97      31.007544     0.22115952      25.506656     0.18217054      38.529888     0.27657754
             98       29.70251     0.21657942      24.425806     0.17844842      36.919671     0.27204517
             99      28.680096     0.21238342      23.563332     0.17478947      35.687074     0.26629661
            100      28.680096     0.21238342      23.563332     0.17478947      35.687074     0.26629661
