# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      2630.4104      3.6059058      2188.0701      3.0016228      3224.9807      4.4566632
     0.31415927      2831.4916      3.7473357      2354.3566      3.1206574      3473.1909      4.6521888
     0.62831853      3023.4321      3.8570686      2513.4128      3.2087773       3709.251       4.769431
      0.9424778      3274.1427      4.0500886      2720.5681      3.3650253      4018.5398      5.0208389
      1.2566371      3708.6998      4.2703309      3078.5411      3.5473002      4556.8879      5.2934464
      1.5707963      4366.7564      4.6180996      3618.6457       3.829656       5375.774      5.7319624
      1.8849556      5376.8817      5.1143787      4446.6188       4.230358      6634.8674       6.363321
      2.1991149      6825.8219      5.7530868      5635.9849      4.7491361      8437.6396       7.180806
      2.5132741      8745.4278      6.4465926      7209.8825      5.3149709      10829.173       8.051749
      2.8274334      10676.613      7.1653637      8789.1025      5.8928931      13242.557      8.9790484
      3.1415927      10676.613      7.1653637      8789.1025      5.8928931      13242.557      8.9790484
