# pt_bjet1_2-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
             30      65.758592     0.14413633      55.211363     0.12118068      79.686781     0.17636417
             50      28.591429    0.096190186      23.958639    0.080682631      34.737531     0.11781381
             70      14.976881    0.070049207      12.527899     0.05863401      18.237791    0.086166638
             90      8.9334516    0.054155213      7.4661961    0.045383592      10.890436    0.066684374
            110      4.6567804    0.028055565      3.8785402    0.023377886      5.7073595    0.034747411
            150      1.9985612    0.019126246      1.6418815    0.015592948      2.4862062    0.024169221
            200      1.9985612    0.019126246      1.6418815    0.015592948      2.4862062    0.024169221
