#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.429929    0.065989395      11.202358    0.055157839      16.405349    0.081524499
             20      31.572995     0.14325582      26.368789     0.11982693      38.508616     0.17638726
             30      37.290061     0.15548458      31.268151     0.13046548      45.256189     0.19004047
             40      32.194397     0.14460305      27.048313     0.12161308      38.980302     0.17688273
             50      25.075981     0.10423694      21.082587    0.087771999      30.338728     0.12724098
             65      18.611387    0.090170047      15.611342    0.075669087      22.585016     0.11026986
             80      13.604075    0.077217636      11.419234    0.064873385      16.495648    0.094722107
             95      9.9257786    0.073973961      8.3099337    0.060944591      12.075074    0.092491371
            110      6.8964304    0.048148547      5.7651351     0.04021242      8.4047308    0.059260833
            130      4.0393667    0.027619576      3.3727851    0.023070004      4.9321088     0.03401088
            165      2.1176904    0.019995979      1.7561365     0.01665483       2.607461    0.024922662
            200      1.1528069    0.014109629     0.94692155    0.011602242      1.4343997     0.01776398
            240     0.55811083   0.0078658681     0.45571335   0.0064290652     0.69904739   0.0099708669
            300    0.098322866   0.0014842399    0.079313311   0.0011993761     0.12478621   0.0019064593
            600    0.098322866   0.0014842399    0.079313311   0.0011993761     0.12478621   0.0019064593
