#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      365.61938     0.68717738      307.95728      0.5794314      440.80485     0.83951626
              5       853.5846      1.0009202      718.41914     0.84257366      1030.2188      1.2229882
             10      969.14278      1.0546338      815.24507     0.88801091      1170.5982      1.2908881
             15      897.59239      1.0234736      754.74348     0.86055755      1084.8601      1.2487122
             20      773.76462      0.9562221      650.52124     0.80711877      935.46233      1.1745664
             25      645.26565     0.88034341      542.12206     0.73992291      780.84394      1.0743952
             30      532.04287     0.80757195      446.65502     0.67792893       644.5003     0.98645865
             35      437.69447     0.73787543      367.16848     0.61913756      530.75023      0.9020622
             40      360.30513     0.67302444      302.01209     0.56490983      437.37452      0.8301304
             45      296.60416     0.62240432      248.32868     0.52258902      360.59994     0.77203301
             50      247.08949     0.56501006       206.6391     0.47296374      300.84585     0.69419459
             55      203.52202     0.51253392      170.07935     0.42860212      248.03566     0.63258713
             60      169.81919     0.47015089      141.69124     0.39239194      207.37836     0.57955364
             65      142.84334     0.43205151      119.09373     0.36166548      174.60261     0.53631907
             70      119.20863     0.39441304      99.285338     0.32871962       145.9096     0.48695691
             75      100.58821     0.36275825      83.644376     0.30183049      123.36086     0.44822356
             80      84.942001      0.3361931      70.593862     0.27931813       104.2509     0.41659997
             85       72.71702     0.31037449      60.401327     0.25802732      89.308549     0.38522261
             90      62.113885      0.2855081      51.496339     0.23686703      76.460189     0.35420866
             95       52.94588     0.26525079      43.861085      0.2198073       65.23788     0.32947519
            100      45.605893     0.24627551      37.771994     0.20407919      56.209625     0.30620152
            105        39.0717     0.24836173      32.313698     0.20325589      48.239483     0.31268174
            110      34.060437     0.21325946      28.176758     0.17640465      42.040243     0.26557345
            115      29.198671     0.19760278      24.131516     0.16337423      36.080009     0.24624695
            120      25.584578      0.1840825      21.140219     0.15217695      31.622629     0.22926143
            125      22.290586     0.17238631      18.403842     0.14235077      27.576652     0.21490199
            130      19.501161     0.16080914      16.102241     0.13286454       24.12339     0.20043793
            135      17.043289     0.14979918      14.063874     0.12382655      21.098942     0.18668518
            140      15.160117     0.14145507      12.517476     0.11684774      18.754626     0.17652819
            145      13.258839     0.13285367      10.930173     0.10965398      16.442013     0.16641236
            150      11.518603     0.12306966      9.4772851     0.10154684       14.31465     0.15410163
            155      10.174588     0.11597941      8.3760301    0.095615535      12.636397     0.14549734
            160      9.1736671     0.11074369      7.5256982     0.09103401      11.438939     0.13930834
            165      8.1128407     0.10606733      6.6466962    0.087281236      10.130771     0.13466611
            170       7.484724    0.099858189      6.1350976    0.082166497      9.3409104     0.12583573
            175      6.5402037    0.093166114      5.3487644    0.076439022      8.1828445     0.11855654
            180      5.8216994    0.089542247      4.7572427    0.073254058      7.2907116     0.11349352
            185       5.227423    0.083252174      4.2673802    0.068123442      6.5524898     0.10521451
            190      4.8402072      0.0800819      3.9493808     0.06552762      6.0719084     0.10127252
            195      4.2276243    0.074726675      3.4411317       0.061018       5.317467    0.094831106
            200      3.9208275    0.072281347      3.1894887    0.058916949      4.9344118    0.091785468
            205      3.5473907    0.068777432      2.8815424    0.056043548       4.471177    0.087661607
            210      3.2745248    0.066548747      2.6541845    0.053969036      4.1378258    0.085296985
            215      2.9671246    0.062717702      2.4042194     0.05092765      3.7501897    0.079970003
            220      2.5492492    0.058277081      2.0622978    0.047272237      3.2269769    0.074335934
            225      2.3738752    0.059944018      1.9202962    0.048684391      3.0058103    0.076162349
            230      2.1731032    0.053662969       1.757891    0.043501739      2.7516533     0.06861398
            235      2.0598341    0.052921111      1.6580624    0.042663226       2.622194    0.067918413
            240      1.9019929    0.050709356      1.5340767    0.040947941      2.4161053    0.064954531
            245      1.7252902     0.04788621      1.3907216    0.038691569      2.1930533    0.061427152
            250       1.565631    0.045982295      1.2622593    0.037074891      1.9903505    0.059236762
            255      1.3979411    0.043024524      1.1347028    0.035053967      1.7641855    0.054904404
            260      1.2333478    0.040266352     0.98855902    0.032360814      1.5781643    0.051936823
