#  total-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1161.4518      1.3759796      943.74961      1.1195089      1465.8633      1.7533083
              1      1161.4518      1.3759796      943.74961      1.1195089      1465.8633      1.7533083
