#  pt_Z-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      361.33451     0.67449136      304.47852     0.56935482       435.4265     0.82340439
              5      845.17474     0.99364735      711.62607      0.8369962      1019.6064      1.2133501
             10      960.37307      1.0491773      808.17635     0.88384134      1159.5074      1.2836762
             15      889.10992      1.0189305      747.91151     0.85708603       1074.124      1.2426733
             20      765.99876     0.95143472      644.26774     0.80347132      925.63094      1.1682517
             25      638.27472     0.87579387      536.49444     0.73644261      771.99074      1.0683559
             30      525.50169     0.80274747      441.38772     0.67421822       636.2195     0.98008696
             35      431.93941     0.73315926      362.53359     0.61550729      523.46532     0.89583856
             40      355.35885     0.66859681      298.02822      0.5615009      431.11399      0.8243436
             45      292.02775     0.61736388      244.64301     0.51870324      354.80725     0.76549929
             50      243.05655     0.55796716      203.38818     0.46727654      295.74557     0.68536703
             55      200.02156     0.50793907      167.25631     0.42502542      243.61095      0.6266248
             60      166.55223     0.46572056      139.05561     0.38893893      203.25053     0.57379816
             65      139.92978     0.42740609      116.74373      0.3580663      170.92029     0.53030668
             70      116.53259      0.3900218      97.124402     0.32528179      142.53163     0.48127446
             75      98.182599     0.35845392      81.698893     0.29844779      120.32902     0.44267233
             80      82.771991     0.33196966      68.839871     0.27599566      101.51422     0.41116506
             85      70.790344      0.3063062      58.840462     0.25481395      86.884653     0.38001904
             90      60.254326     0.28117175      49.992814     0.23345148      74.115836     0.34863356
             95      51.211707     0.26091959      42.459525     0.21639263      63.050729     0.32391448
            100      44.042504     0.24203983      36.506233     0.20072642      54.241399     0.30078847
            105      37.678765     0.24465826      31.183467     0.20027279       46.48984     0.30802914
            110       32.80137      0.2093712      27.155691     0.17330743      40.457832      0.2606322
            115      27.973628     0.19346937      23.137581     0.16008016      34.541171     0.24099971
            120      24.528435     0.18026333      20.280651     0.14911386      30.300204     0.22443182
            125      21.323123     0.16865598       17.61663      0.1393674      26.364972     0.21016226
            130      18.547421     0.15686128      15.327313     0.12970436      22.927105     0.19544286
            135      16.232392     0.14617681       13.40525     0.12093831      20.081426      0.1820849
            140      14.342433     0.13757936      11.853048     0.11375722       17.72873      0.1713968
            145       12.52216     0.12905639      10.343738     0.10663407      15.486728     0.16116468
            150      10.838339     0.11937191      8.9425914    0.098653894      13.422718     0.14883509
            155      9.5353757     0.11211421      7.8785822    0.092631009      11.790414     0.14001242
            160       8.570539     0.10695445      7.0589859    0.088268192      10.640706     0.13396576
            165      7.5880602     0.10271343      6.2443843    0.084886036       9.429623     0.12989829
            170      6.9803397    0.095992643      5.7485157     0.07940092      8.6667187     0.12032135
            175       6.024047    0.089084282       4.949511    0.073512444      7.4993765     0.11260284
            180       5.365471     0.08596042      4.4069478    0.070668708      6.6819899     0.10841832
            185      4.8228289    0.080006227       3.955861    0.065758297      6.0140226     0.10062123
            190      4.4528739    0.076835871      3.6528791    0.063196232      5.5535009    0.096637643
            195       3.826288    0.071068588      3.1281372     0.05828003      4.7904531    0.089766774
            200      3.5625751    0.068740714      2.9140362    0.056330215       4.457233    0.086829348
            205      3.2448737    0.065749515      2.6502914    0.053881212      4.0657439    0.083336002
            210      2.9215701    0.062919637      2.3826494    0.051326641      3.6678688    0.080207395
            215      2.6428579    0.059180498      2.1519104     0.04831251      3.3232903    0.075016963
            220      2.2733157    0.054875524      1.8464894    0.044694227       2.865685    0.069691644
            225      2.1156248    0.057029913      1.7160634    0.046420552      2.6716338    0.072246285
            230       1.911801    0.050327853      1.5538808    0.041007909      2.4088964    0.064014092
            235      1.8137027    0.049596806      1.4684782     0.04022064      2.2948609    0.063275599
            240      1.6739767    0.047669707      1.3590422    0.038724432      2.1118433    0.060696797
            245      1.4874814     0.04449899      1.2053424     0.03613229      1.8806639     0.05682068
            250      1.3718309    0.042904294      1.1102081    0.034717587      1.7374998    0.055121481
            255      1.2076069    0.039971386     0.98384117    0.032663905      1.5183537    0.050790855
            260      1.0586945    0.037261297       0.852048      0.0301132      1.3492585    0.047770961
            265      0.9932471    0.036443029     0.80235123    0.029501008      1.2607212     0.04666254
            270     0.92871767    0.035129062     0.74451226    0.028205693      1.1886895    0.045316962
            275     0.82925446    0.033272616     0.66861093    0.026900184      1.0544256    0.042774736
            280     0.73933007    0.031290324     0.59907237    0.025360504     0.93516837    0.040215823
            285     0.66278493    0.029571136     0.53130893      0.0237999     0.84834849    0.038176815
            290     0.62762597    0.028806931     0.50432457    0.023251353     0.80163618    0.037106127
            295      0.6132439    0.028678296     0.49386057    0.023013975     0.78121673    0.037114523
            300     0.53440993    0.027153151     0.43071277    0.021841997     0.68080909    0.035136348
            305      0.5032562    0.030348934     0.40368264    0.024087329     0.64396977    0.039593858
            310     0.47698697    0.025153516      0.3807384    0.020133936     0.61341843    0.032579813
            315     0.39239897    0.023886647     0.31543027    0.019206894     0.50083023    0.030778159
            320     0.36614137    0.021940353     0.29058387    0.017494316     0.47392823    0.028559726
            325     0.35773937    0.021742665      0.2884333     0.01762486     0.45523515    0.027935931
            330     0.31389847     0.02026605      0.2533982    0.016442779      0.3990854    0.025927854
            335     0.31205157    0.020627051     0.25020347    0.016575161     0.39947373    0.026624672
            340      0.2877566    0.019406016     0.22958423    0.015554099     0.37025703    0.025111293
            345     0.29195727    0.019899569      0.2305541    0.015785149     0.37988997    0.026041207
            350       0.236952    0.017632691     0.18941443    0.014166232     0.30442107    0.022802802
            355      0.2368178    0.017805021     0.18695757     0.01408861       0.308728    0.023402371
            360      0.2176127    0.016901488     0.16868347    0.013151291     0.28870417    0.022519094
            365      0.1987718    0.016126319      0.1573173    0.012817282       0.258273    0.021077653
            370     0.18763283    0.015711786     0.14813053    0.012464985      0.2446593     0.02063909
            375     0.15965627    0.014459756     0.12620247    0.011492395       0.207916     0.01895935
            380      0.1732761    0.023365513     0.13607753    0.018093345      0.2267649    0.031013282
            385     0.15674937    0.014317277      0.1216753    0.011158409     0.20777307    0.019065368
            390     0.13382727    0.013254078     0.10406893    0.010361539      0.1771017    0.017631194
            395     0.12424883    0.012750121    0.096811434   0.0099952726     0.16435247    0.016968578
            400     0.11404923     0.01223283    0.089039033   0.0095841162     0.15011577    0.016173174
            405     0.10369577    0.011668082      0.0794676    0.008976731      0.1394332     0.01575804
            410    0.081297167     0.01032858    0.061703167   0.0078639676      0.1103846    0.014078979
            415    0.092467767    0.011138146      0.0732304   0.0088163618      0.1200754    0.014616513
            420    0.095292666     0.01115896    0.073016767   0.0085749729     0.12813703    0.015079413
            425    0.084630967    0.010499929      0.0650141   0.0081041199     0.11360893    0.014176431
            430      0.0573553   0.0088475314    0.044903967   0.0068752066    0.075522867    0.011861148
            435    0.065237367   0.0092289363    0.050948867   0.0072477578      0.0860745    0.012257381
            440      0.0575181   0.0086713631    0.044157533   0.0066874724      0.0772445    0.011696102
            445    0.052335133    0.008472913      0.0409201   0.0065118861    0.069101767    0.011556156
            450    0.055835133   0.0085171809    0.043779433   0.0067135889    0.073302733    0.011245479
            455    0.053740433    0.008396606    0.041866933   0.0065708256    0.071063267    0.011181385
            460    0.050035667    0.008120265    0.038452967   0.0062703122    0.067161367    0.010963736
            465      0.0454297   0.0076823393    0.034509433   0.0058616798    0.061729867    0.010477535
            470      0.0391904   0.0073407717    0.030326867   0.0057035256    0.052092634   0.0097786214
            475      0.0313767   0.0064060704      0.0239987   0.0049285051    0.042399133   0.0087042422
            480    0.041704933    0.007373962    0.032492466   0.0057798638    0.055076467    0.009796504
            485      0.0478915   0.0080261835    0.037153934   0.0062501239    0.063716067    0.010760223
            490    0.036604233   0.0069204521      0.0283685   0.0053844224    0.048653667    0.009245741
            495    0.026660733   0.0059663474      0.0200975   0.0045125915    0.036450367   0.0081856178
            500      0.0330831   0.0066187631    0.024295933   0.0048784567      0.0466116    0.009361923
            505      0.0310294   0.0063369608      0.0248922   0.0052298428     0.04001247   0.0084220335
            510    0.023504133   0.0055401088    0.018332333   0.0043408956    0.031029433   0.0073510936
            515    0.023714633   0.0055921199      0.0175793   0.0041547284      0.0330252   0.0078200371
            520    0.020775167   0.0051950587    0.015635367   0.0039161751    0.028422467   0.0071322016
            525       0.022331   0.0054163661      0.0166914      0.0040602    0.030771467   0.0074837084
            530       0.014688   0.0044346044      0.0106665   0.0032229355    0.020793833   0.0062778112
            535      0.0236104    0.005566047       0.018583   0.0044124855    0.030943367   0.0073590695
            540    0.022337667   0.0054192462    0.017837767   0.0043891588    0.028756467   0.0070494727
            545       0.024097   0.0056926955    0.018227533   0.0043316288    0.032984133    0.007835951
            550      0.0142316   0.0047263231     0.01179115   0.0033856884    0.017653166   0.0073726367
            555    0.018393866    0.004916641      0.0137875    0.003698103      0.0253291   0.0067925893
            560    0.023550133    0.005551272    0.017569267   0.0041622351    0.032668133   0.0077415435
            565    0.015574067   0.0045005739    0.011418333   0.0033079349    0.021896133   0.0063403055
            570   0.0093342334   0.0035282633   0.0072154001   0.0027462905    0.012481367   0.0047562284
            575    0.012085167   0.0040358605      0.0092787   0.0031231288    0.016225833   0.0054194796
            580    0.015649933    0.004855931    0.011626233   0.0035822063      0.0217765    0.006864272
            585    0.011689333   0.0038962167   0.0089282668   0.0029854961    0.015757133   0.0052700478
            590       0.013079   0.0041366919       0.009751   0.0030947238      0.0181401   0.0057612138
            595   0.0092456999   0.0039636612   0.0067604333   0.0028794421    0.013017733   0.0056071211
            600   0.0079381334   0.0032410403   0.0060333666   0.0024754067      0.0107844   0.0044152149
            605    0.011951367   0.0039843939   0.0088999999   0.0029723891    0.016531167   0.0055254288
            610    0.011024567   0.0044737177   0.0082503667    0.003368385      0.0151588   0.0061183969
            615              0              0              0              0              0              0
            620   0.0039520667   0.0022817485   0.0031586667   0.0018365939   0.0051175999   0.0029774347
            625   0.0039202001   0.0022632653   0.0030763667   0.0017819697   0.0051333666   0.0029747273
            630   0.0065876334   0.0029463445   0.0048242666    0.002158798   0.0092551333   0.0041447545
            635   0.0090599333   0.0034254942   0.0072066666   0.0027396622    0.011750767   0.0044938989
            640   0.0078685999   0.0032123164   0.0057285334   0.0023435641    0.011175433   0.0045753877
            645   0.0078880332   0.0032204026   0.0065600667   0.0026895182   0.0097118999   0.0039934117
            650      0.0091998   0.0034777127   0.0066223332   0.0025064143    0.013163633     0.00497652
            655   0.0052814334    0.002641686   0.0037551334   0.0018779567   0.0076511333   0.0038296302
            660   0.0039718667      0.0022931   0.0028061333   0.0016201658   0.0057918667   0.0033438913
            665      0.0037241   0.0021551124   0.0030834333   0.0017837763      0.0046287   0.0027225152
            670   0.0013027667   0.0013027015   0.0011423334   0.0011422762   0.0015016666   0.0015015915
            675   0.0051940333   0.0025968916   0.0038941667   0.0019555875      0.0071571   0.0035927107
            680   0.0039713999   0.0022941669   0.0029844332   0.0017324499   0.0054704666   0.0031760819
            685   0.0052266667   0.0026132819   0.0038832001   0.0019475173   0.0072582999    0.003636521
            690   0.0013147001   0.0013146343  0.00093923333  0.00093918637      0.0018952   0.0018951052
            695   0.0039362334   0.0022725929   0.0027289333   0.0015754824   0.0058739333   0.0033921082
            700   0.0026142334   0.0018484545   0.0021554667   0.0015244789   0.0032410668   0.0022922554
            705      0.0039172   0.0022615551   0.0030290667   0.0017620977   0.0052270001   0.0030382837
            710   0.0038993999   0.0022512129   0.0029880333   0.0017345972   0.0052832333   0.0030643123
            715   0.0012988333   0.0012987684  0.00091843332   0.0009183874   0.0018946333   0.0018945387
            720   0.0066226999   0.0029618863      0.0047634   0.0021314435   0.0094827333   0.0042434738
            725   0.0013632999   0.0013632318   0.0009728667  0.00097281805   0.0019656333   0.0019655352
