#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      19.892964     0.56294193      15.236194       0.431511      26.559884     0.75277334
           -4.9       23.86554     0.61803652      18.238633     0.47254387      31.934397     0.82846823
           -4.8      26.145919      0.6462605      20.047595     0.49590566      34.870273     0.86331189
           -4.7      30.899874     0.71692549      23.732624     0.55106625      41.141344     0.95614727
           -4.6      35.927142     0.75762536      27.626741      0.5832131      47.780049      1.0093339
           -4.5      41.799405     0.82255023        32.1647      0.6333443      55.551529      1.0953574
           -4.4      50.485082     0.89628772      38.875213     0.69069266      67.040034      1.1927189
           -4.3      57.779788      0.9592426      44.676834     0.74212494      76.422041      1.2720183
           -4.2      68.364882      1.0435509       52.83455     0.80718048      90.445952      1.3836002
           -4.1      78.701392      1.1209024      61.047511     0.87032724      103.74727      1.4811956
             -4      89.586138      1.1967418      69.568814     0.93034137      117.97482      1.5804425
           -3.9      104.15574      1.3127963      81.138186      1.0231301      136.71609      1.7289011
           -3.8        118.707      1.3784281      92.550216      1.0759809      155.69851      1.8129302
           -3.7      138.68383      1.4941209      108.41939      1.1692728      181.39582      1.9604248
           -3.6      154.88091      1.5745949      121.32209      1.2351601      202.19444       2.061676
           -3.5      178.92499       1.704365      140.40348      1.3383339       233.1676       2.229686
           -3.4      206.14081      1.8402435      162.55636      1.4526274      267.31846      2.3966707
           -3.3      236.21971      1.9554344      186.94056      1.5509244      305.21027      2.5407802
           -3.2      269.47087      2.0825509       213.9631      1.6555415      346.98308       2.693252
           -3.1      307.60678      2.2211788      244.84893      1.7733112      395.11113      2.8686155
             -3       348.5336      2.3553791      278.76477      1.8867881      446.28657      3.0285017
           -2.9      400.71952      2.5321914      321.04504      2.0297394      512.37857      3.2530618
           -2.8      457.81831      2.7411807      367.63065      2.2000848      583.93901      3.5136839
           -2.7      529.91464      2.9073235      426.68244      2.3422178      673.93617      3.7131557
           -2.6      605.35634      3.1890673      488.46584      2.5723715      768.10902      4.0670654
           -2.5      692.14864      3.3383014      559.95083      2.7010882       875.7689      4.2467439
           -2.4      809.29675      3.6141313      656.87508      2.9333643      1020.2088      4.5819848
           -2.3      927.73322      3.8523306      754.95035      3.1357453      1166.1064      4.8723711
           -2.2      1075.7632      4.2057033      877.88994       3.428661      1347.9555      5.3110262
           -2.1      1257.4723      4.4810722      1029.7915      3.6699681      1569.2489      5.6332055
             -2      1460.7823      4.8089456      1198.8714       3.948117       1818.512      6.0249872
