#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      924.36652      3.8252828      773.43163      3.2008263      1123.6135      4.6755495
           -4.9      1067.8025       4.114255      893.45536      3.4421938      1297.9791      5.0279401
           -4.8      1221.3926      4.3950315      1022.3658      3.6770022      1483.9253       5.373712
           -4.7      1394.5595      4.7169273      1167.5244      3.9481084      1693.9628      5.7648026
           -4.6       1572.223      5.0059963       1316.085      4.1916248      1910.1422       6.126621
           -4.5      1753.9772      5.3926165      1468.8955      4.5010891      2129.7634      6.6241132
           -4.4      1950.2675      5.5328763      1633.3933      4.6338944      2367.9552      6.7579258
           -4.3      2141.1272      5.8464693      1793.5529      4.8942117      2599.1359      7.1424896
           -4.2       2353.243      6.1223321      1971.1918      5.1248137       2856.748      7.4803943
           -4.1      2544.0369      6.4341522       2131.964      5.3846801      3086.6972      7.8748232
             -4      2729.5904      6.5717742       2287.829      5.5055447      3311.2034       8.084543
           -3.9      2925.2961      6.7557012      2451.4933      5.6626887      3549.4387      8.2488272
           -3.8      3086.5996      6.9711474      2586.7785        5.84038      3745.1082      8.5202145
           -3.7      3258.3714      7.1409376      2731.3557      5.9917357      3952.4066      8.7385802
           -3.6      3398.9898      7.2789871      2849.5229      6.1133877       4122.607      8.9173402
           -3.5       3555.015      7.4750974      2979.3467      6.2616208      4313.7996      9.1575356
           -3.4      3660.6459       7.608084      3068.0892      6.3692496      4441.6475      9.3741902
           -3.3      3777.9002      7.7847669      3166.2952      6.5149366      4584.2192      9.5594575
           -3.2      3887.8704      7.9533709      3258.5139      6.6439963      4717.7895       9.768607
           -3.1      3975.2833      7.8679799      3330.8383      6.5939691      4825.7609      9.6246751
             -3      4075.9021      7.9790296      3415.4897      6.6863571       4947.433      9.7551761
           -2.9       4143.952       8.031656      3472.8822       6.741131      5029.5605      9.8448514
           -2.8      4193.6031      8.0996525      3514.0175      6.7880814      5090.8345      9.9137372
           -2.7      4277.3919      8.1753001      3584.8553      6.8522349       5191.643       10.00871
           -2.6      4324.7676      8.2169103      3624.7633      6.8929838      5249.0169      10.084324
           -2.5      4352.7251      8.2764454      3647.1315      6.9317991      5285.0103      10.133809
           -2.4      4409.2716      8.2881778      3695.4817      6.9483652       5352.076       10.14156
           -2.3      4442.3642      8.3564885      3722.3845      6.9995015      5393.9643      10.242352
           -2.2      4491.2748      8.4851846      3762.9067      7.0984431      5454.2528      10.407157
           -2.1      4512.6117      8.4940267      3782.7231      7.1093005      5476.8562       10.41812
             -2      4528.2143      8.4155662      3796.2907      7.0546757       5495.092      10.305412
           -1.9      4576.1092      8.4676097      3836.5557      7.0996375      5553.1481       10.36719
           -1.8      4608.5629      8.4728071      3863.2211      7.1142975      5593.5931      10.399912
           -1.7       4620.586      8.5302819      3873.9623      7.1485322      5607.2955      10.450573
           -1.6      4656.6748       8.549891      3906.3054      7.2001904      5647.3286      10.575621
           -1.5      4667.4311      8.5267151      3915.1476       7.154194      5660.9548       10.46311
           -1.4      4692.2811      8.5618791       3936.999      7.1831095      5689.2003      10.482282
           -1.3      4722.1041      8.6803844      3961.7569      7.2731361      5726.0345      10.635036
           -1.2      4741.2892      8.7388806      3979.2263      7.3179343      5746.8966      10.725044
           -1.1      4771.6895      8.6607698      4005.5777      7.2799236      5782.2595      10.638616
             -1      4780.2983      8.8718808      4011.4745      7.4181918      5795.3401      10.891682
           -0.9      4790.1486      8.6464479      4021.5011      7.2595408      5804.1729      10.566265
           -0.8      4814.1167      8.6691554      4042.0342         7.2801      5832.5393      10.611738
           -0.7      4828.3135      8.7870043      4054.2863      7.3786664      5849.0461      10.827106
           -0.6      4820.8561      8.6707548      4047.1165      7.2801165      5841.7557      10.623508
           -0.5      4850.7165      8.7140532      4073.5942      7.3203656      5875.4476      10.688779
           -0.4      4845.2716      8.7028512      4068.4417      7.3084982      5870.0378      10.634806
           -0.3      4863.8813      8.7296654      4084.5393      7.3295748      5891.6438      10.671277
