#          pt_b        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1554.9733     0.63416208      1302.6997     0.53090847      1888.0772     0.78061342
              5      1998.3725     0.68994739      1676.7831     0.57865567       2421.929     0.84737222
             10      1313.7819     0.58826902      1103.3038     0.49399153      1590.6779     0.71956492
             15      827.34122     0.48399733      694.92638     0.40743537      1001.5707      0.5944565
             20      539.68876     0.39839606      453.15316     0.33482872      653.69068     0.48745999
             25        366.229     0.33248946      307.32335     0.27913739       443.9543     0.40645751
             30      257.46168      0.2800468      215.91281     0.23517918      312.37096     0.34304228
             35      186.57788     0.24290056      156.32339     0.20332589      226.63671     0.29804844
             40      138.83903     0.20926832      116.21894     0.17517815      168.84729     0.25683105
             45      105.55861     0.18160406      88.301243     0.15210118      128.48345     0.22322887
             50      81.770746     0.16089301      68.354492     0.13449509      99.615489     0.19835813
             55      64.623674     0.14306202      53.939253     0.11951103      78.872265       0.176049
             60      51.695793     0.12775539      43.123882     0.10675131      63.137589     0.15753808
             65      41.606114       0.114498       34.68025    0.095589277      50.862208     0.14120559
             70       34.08068     0.10457464      28.385994    0.087108814       41.70074     0.12902525
             75      28.144286    0.094188205      23.451245    0.078625442      34.419322      0.1161934
             80      23.317725    0.085779254      19.383463    0.071507103      28.625999      0.1060987
             85      19.505151    0.078945022      16.188196    0.065627701      23.988452    0.097938032
             90      16.651325    0.074142614      13.785904    0.061399015      20.532835    0.092287442
             95      14.188517    0.067620787      11.721608    0.055951034      17.537492    0.084302471
            100      12.041388    0.062076077      9.9228196    0.051228078      14.924419    0.077641782
            105      10.280435    0.057107416      8.4542976    0.047077604      12.771402    0.071540604
            110      8.8864656     0.05323171      7.3027719    0.043834791      11.048109    0.066769508
            115      7.8469515    0.050171842      6.4348456    0.041227976      9.7780169    0.063047724
            120      6.7711666    0.046586597      5.5368421    0.038173652       8.463718    0.058735897
            125      5.9822658    0.044677355      4.8888705    0.036512912      7.4827042    0.056460844
            130      5.2864973    0.045908468      4.3079315    0.037103686      6.6327336    0.058569728
            135      4.6181624    0.038964874      3.7572412     0.03173267      5.8044175     0.04939801
            140      4.1231546    0.037031588      3.3508455    0.030133088      5.1884537    0.046986014
            145      3.6161119    0.034016705      2.9338798    0.027660063      4.5587561    0.043257591
            150      3.1855255    0.031987645      2.5842395    0.026007841      4.0164258    0.040672036
            155       2.926308    0.030762416      2.3690877    0.024980116      3.6978963    0.039208689
            160      2.5381047    0.028390839      2.0517135    0.023011776      3.2124655    0.036211989
            165      2.3244193    0.027187449      1.8776606    0.022023701      2.9441136    0.034750285
            170      2.1338546    0.029503641      1.7242517    0.023696438      2.7019864    0.037878131
            175      1.8730575    0.024717925      1.5117178    0.019992108      2.3751082    0.031679273
            180      1.7015644    0.023251433      1.3732955    0.018820581      2.1573215     0.02982662
            185      1.5519062     0.03267744      1.2490895    0.026143312      1.9735802    0.041937782
            190      1.3969228    0.021222288      1.1238897    0.017101205      1.7773181    0.027229485
            195      1.2187252    0.019694233     0.97680933    0.015824087      1.5569109    0.025359575
            200       1.154669    0.020001987     0.92579975    0.016034222      1.4744123    0.025778248
            205       1.057504    0.018320188     0.84587874    0.014705474      1.3538558    0.023653038
            210      0.9426316    0.017379731      0.7550902    0.013955129      1.2049779    0.022386845
            215     0.91718006    0.017137492      0.7339254    0.013743492      1.1736406    0.022114131
            220     0.80541094    0.016021333     0.64433953    0.012860414      1.0310739    0.020736702
            225     0.72801399    0.015207051     0.58083081    0.012169531     0.93451323    0.019649844
            230     0.66310314    0.014576376     0.52811864    0.011652863     0.85292599    0.018861014
            235     0.62894733    0.014162129     0.50192536    0.011332166     0.80729047    0.018323687
            240     0.55257559    0.013285125     0.43766054     0.01055278     0.71485548    0.017300339
            245     0.50573725    0.012700074     0.40231652     0.01014184     0.65124812    0.016460289
            250     0.48871288    0.012762012     0.38777705    0.010142858     0.63125508    0.016612312
            255     0.45116532    0.011953884     0.35776422   0.0095182229     0.58303108    0.015554784
            260      0.4159029    0.011566572     0.32919312   0.0091675994     0.53852589    0.015106948
            265     0.38031193    0.011004854     0.30076776   0.0087283893     0.49286911    0.014360193
            270     0.36556136    0.012427471     0.28965729   0.0098203122     0.47274832    0.016228485
            275     0.33600464    0.010535911     0.26576816    0.008340796     0.43546684    0.013777881
            280     0.30552995   0.0099266896     0.24182637   0.0078830072     0.39547447      0.0129297
            285     0.27868508   0.0095173873     0.22166254   0.0075848191     0.35898108    0.012361263
            290      0.2709657   0.0092927881     0.21347488   0.0073521898     0.35259835    0.012163775
            295     0.23664833   0.0089239872     0.18664451   0.0070360767     0.30771117     0.01171625
            300     0.23464571   0.0086938317      0.1850278   0.0068788498     0.30507156    0.011376098
            305     0.21539056   0.0082404399     0.16988163   0.0065253566      0.2799389    0.010773216
            310     0.19995164   0.0080318734     0.15823732   0.0063534129     0.25895261    0.010539567
            315     0.18713457   0.0077300526     0.14772679   0.0061591741     0.24315494    0.010201361
            320     0.18815781   0.0077643156      0.1478601   0.0061257908     0.24563432    0.010202738
            325     0.16367157   0.0072213602     0.12927982   0.0057219768     0.21247749   0.0094453539
            330     0.14216389   0.0067644633     0.11247844   0.0053610337     0.18423551   0.0088588203
            335     0.13998332   0.0068766366     0.11060793   0.0054441911     0.18157537   0.0090019699
            340     0.13840651   0.0066442661     0.10912666   0.0052539357     0.18000672   0.0087045679
            345     0.11327192   0.0060004182    0.089263449   0.0047408454     0.14741545   0.0078687266
            350     0.11950439    0.006199415    0.095568403   0.0049760982      0.1530505   0.0080126004
            355     0.11460708   0.0061015984    0.089768147    0.004803284     0.15011188   0.0080503942
            360     0.10918675    0.005884065    0.085981704   0.0046543997     0.14220331   0.0077136114
            365     0.10267185   0.0057479816    0.080328203   0.0045137207     0.13454245   0.0075775179
            370    0.097639055    0.005585311    0.076552493   0.0043997825      0.1277043   0.0073519178
            375    0.089763145   0.0053396584    0.070907027   0.0042377751     0.11651121   0.0069816226
            380     0.07738453   0.0049690498    0.060266811   0.0038785383     0.10190551   0.0065892417
            385    0.084751661   0.0051817714    0.066490228   0.0040847362     0.11082551   0.0068175925
            390    0.070722841   0.0047637789    0.055297671   0.0037303477    0.092786691   0.0062999212
            395    0.068117359   0.0046515452    0.053280992   0.0036544447    0.089290901   0.0061319235
            400    0.064029196   0.0044950238    0.049712893   0.0035069299    0.084630348   0.0059710194
            405    0.056044642   0.0042273732    0.043466411   0.0032892638     0.07421563   0.0056317228
            410    0.064743425   0.0045229597      0.0503398   0.0035330065    0.085422745   0.0059986085
            415    0.049387251   0.0039858692    0.038568307   0.0031242822    0.064901433   0.0052714155
            420    0.049883289   0.0040242149    0.038757071   0.0031253882    0.065886491   0.0053713005
            425     0.04708914   0.0041174836    0.036809772   0.0032248255    0.061816406   0.0054357093
            430    0.048636055   0.0039491135     0.03789066     0.00308803    0.064029428   0.0052274303
            435    0.048563514   0.0039313649    0.038123025   0.0031010074    0.063454798   0.0051666261
            440    0.042320792   0.0036886815    0.033644786   0.0029480116    0.054510004   0.0047835733
            445    0.048801017    0.004654678    0.037689652   0.0035852903    0.064824522   0.0062332041
            450    0.029655086   0.0030942061    0.022938791   0.0024003174    0.039363754   0.0041332897
            455    0.032742825   0.0032360269    0.025673765   0.0025549478    0.042828988   0.0042500593
            460    0.033443625   0.0033067825    0.025592597   0.0025292854    0.044887459   0.0044740295
            465    0.033153446   0.0032359306    0.025858215   0.0025381332    0.043629268   0.0042836494
            470    0.023623345   0.0027642176    0.018345442   0.0021451279    0.031235558   0.0036978326
            475    0.025043994    0.002819447    0.019735526   0.0022329795    0.032556295    0.003683356
            480    0.030616622   0.0031436899    0.023868091    0.002469195     0.04033022   0.0041865979
            485    0.026270284   0.0029675378    0.020732893   0.0023562729    0.034140608   0.0038879072
            490    0.025955358   0.0028694323    0.020534878   0.0022827445    0.033625298   0.0037450993
            495    0.018868427   0.0024374311    0.014365474   0.0018634568    0.025484258   0.0033078548
            500    0.018868427   0.0024374311    0.014365474   0.0018634568    0.025484258   0.0033078548
