#         pt_em        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      81.895177     0.16015384      68.488225     0.13394727      99.671218     0.19633597
              5      248.69886      0.2774115      208.03804     0.23195118      302.56459     0.34044554
             10      427.22938     0.35967103      357.42227     0.30095196      519.68295     0.44274823
             15      616.50121     0.42669317      515.89331     0.35705476      749.70311     0.52527208
             20      806.23028     0.47989703      675.41347     0.40210508      979.05176     0.58849117
             25      976.96268     0.52064621      819.31439     0.43702796      1184.7667     0.63845605
             30       1083.624     0.54416091       909.2584     0.45677885      1313.2237     0.66693102
             35      1039.6816     0.53557923      872.80728     0.44953602      1259.2311     0.65740079
             40      781.03174     0.47154678      655.93226      0.3960282      945.57349     0.57696129
             45      502.81418     0.38775859      422.38839     0.32569734      608.62673     0.47418848
             50      324.50429     0.31463822      272.59464      0.2646176      392.85006     0.38564026
             55       217.9971     0.26047874       183.0461     0.21859652      264.08527     0.31845236
             60      152.40968     0.21738417      127.92074     0.18258508      184.75072       0.265782
             65      109.62523     0.18556932      91.913511     0.15557728      133.07675     0.22719696
             70      81.150751     0.15999082      67.994741     0.13406814      98.600823     0.19600427
             75      61.368841     0.14175499      51.389782     0.11842018      74.629469     0.17449646
             80      46.959238     0.12255823      39.277491     0.10252279      57.192414      0.1506653
             85      36.585029     0.10833234      30.582272    0.090561337      44.592572     0.13330529
             90      29.167341     0.10021646      24.367784    0.083431016      35.578656     0.12379886
             95       23.06115     0.08611724      19.255682    0.071892903      28.150035     0.10603269
            100      18.872776    0.078016201      15.761243    0.065124776      23.034439    0.096247344
            105       15.32539    0.069874796      12.790193    0.058348762      18.721032     0.08606428
            110      12.682344     0.06417552      10.587108    0.053548195      15.488273    0.079168973
            115      10.468975    0.058091617      8.7329196    0.048457345      12.797241    0.071658538
            120       8.744621    0.053457857      7.2879301    0.044521834      10.700515    0.066048492
            125      7.2892014    0.048201623      6.0770778    0.040265896      8.9198369    0.059612948
            130      6.1868997    0.044647656      5.1645896    0.037293719      7.5660521    0.055238565
            135      5.2523764    0.041148959      4.3747785    0.034366216      6.4392763    0.051041878
            140      4.4502129    0.037718062      3.7050689    0.031524064      5.4590278    0.046811651
            145      3.8843006    0.037216061      3.2250777    0.030687483      4.7788451    0.046640838
            150      3.2989516     0.03282437      2.7416151    0.027277163      4.0549872    0.040898835
            155      2.8279886    0.032288701      2.3478565     0.02659743      3.4799559    0.040524613
            160      2.4963192    0.029175387      2.0620117    0.024040504      3.0889472    0.036557837
            165      2.1972674    0.026801603      1.8233253    0.022249904      2.7055213     0.03348514
            170      1.9423443    0.025717356      1.6101832    0.021274375      2.3941216    0.032182908
            175      1.6900498    0.023645881      1.3980658    0.019559038      2.0881714    0.029681846
            180       1.452759    0.021523085      1.1997411    0.017822481       1.798411    0.026930614
            185      1.3361939    0.020734616      1.1033414    0.017151719      1.6541593    0.025917999
            190      1.1169637    0.018939833     0.92460784    0.015741931      1.3790627    0.023732425
            195      1.0099506    0.018048745     0.83499833    0.014938996      1.2486929    0.022583577
            200      0.8879811    0.016892548      0.7309024     0.01392619      1.1031431    0.021212105
            205     0.83699595    0.016527262     0.68758321    0.013593502      1.0422666    0.020832006
            210     0.76477061    0.015671048      0.6320325    0.012978106     0.94579899    0.019636318
            215     0.66255199    0.015850476     0.54563889    0.012950862     0.82237287    0.020036225
            220     0.58018395    0.013844661     0.47712494    0.011384786     0.72140311    0.017421275
            225     0.54136109    0.019098214      0.4451215    0.015289874      0.6733076    0.024524607
            230     0.47008081    0.012329938     0.38584017    0.010146928     0.58588985    0.015521971
            235     0.43402789    0.012410148     0.35655417    0.010134032     0.54043254    0.015746692
            240     0.39638226    0.011412069     0.32632148   0.0093917853     0.49225633    0.014374654
            245     0.34558062    0.010714225      0.2833466    0.008772983     0.43107341    0.013534312
            250     0.30834899    0.010005702     0.25315744    0.008207901       0.384282    0.012638554
            255     0.28719537   0.0096141815     0.23474102   0.0078721537     0.35954074     0.01216985
            260     0.27196148   0.0093684313     0.22223289   0.0076706253     0.34076353    0.011855004
            265     0.24925444    0.009009947     0.20600014    0.007440288     0.30807989    0.011597577
            270     0.20483777   0.0081656582     0.16755169   0.0066842772     0.25616302    0.010339027
            275     0.20062265   0.0080951517       0.163912   0.0066053149     0.25138921    0.010309644
            280     0.21553955    0.021761299     0.17479528    0.016908604      0.2719793    0.028642314
            285     0.17456836   0.0074795052     0.14312596   0.0061542419     0.21769553   0.0094360855
            290     0.14833282   0.0068878498     0.12186672   0.0056725419     0.18457591   0.0086839215
            295     0.14764192   0.0070637246     0.12063658   0.0057691335     0.18509624   0.0090255052
            300     0.13830487    0.006746026     0.11226183   0.0054904747     0.17461199   0.0086086975
            305      0.1157719   0.0061040754    0.094712541   0.0049804554     0.14476722   0.0077858758
            310     0.10400095    0.005782584    0.084842753   0.0047406938     0.13039675   0.0072996425
            315     0.10201059    0.005718859    0.083067378   0.0046844083     0.12837113   0.0073041647
            320     0.09460004   0.0055848291    0.077562945   0.0045652094     0.11806163   0.0071194666
            325    0.098111132   0.0057102493    0.080685282   0.0046806414     0.12199171   0.0072410397
            330    0.087413774   0.0053800234    0.070899328   0.0043676803     0.11035609   0.0068638122
            335    0.081807651   0.0052093744    0.066789051   0.0042521912     0.10246919   0.0066087645
            340    0.071991717   0.0048303596    0.058821057   0.0039555455    0.090140048   0.0061086824
            345    0.064273565   0.0045317827    0.053318575   0.0037721221    0.079022369   0.0056241308
