# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      111.29735     0.76689375      87.450249      0.6038517      145.32764      1.0067868
     0.31415927      120.02369     0.80479141      94.313232     0.63471689      156.71794      1.0567718
     0.62831853      126.65867     0.79938527      99.777408     0.63178033      165.01437      1.0467882
      0.9424778      135.91145     0.83313282      107.45922     0.66086913      176.44517      1.0874038
      1.2566371      157.16326      0.8993934      125.35961     0.71910825      202.24511      1.1650422
      1.5707963      198.08098      1.0542309      159.76718     0.84959643      252.00046      1.3558186
      1.8849556      271.11238      1.1928166      221.03186      0.9730906      340.98059      1.5141465
      2.1991149      422.77426      1.4802992      347.21612      1.2150709      526.02829      1.8576405
      2.5132741      753.88271      2.0121692      619.78568      1.6525827      937.33184      2.5314549
      2.8274334      1400.1111      2.7316077      1139.7141      2.2247936      1763.8964       3.475399
      3.1415927      1400.1111      2.7316077      1139.7141      2.2247936      1763.8964       3.475399
