# total-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      517.75535     0.91240534      438.37432     0.77135012      621.22536      1.1062982
              1      517.75535     0.91240534      438.37432     0.77135012      621.22536      1.1062982
