#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      4.0191547    0.014568339      3.3359066    0.012105214      4.9402072    0.018046926
             50      3.5536896    0.015040396      2.9761931    0.012601444      4.3194603    0.018407544
             75      3.4974974    0.014938954      2.9735259    0.012698736      4.1730096    0.017948507
            100      2.4873622    0.012509168      2.1267771    0.010712956      2.9472664    0.014953453
            125      1.6898534    0.011480152      1.4473996   0.0096483779       1.998389    0.014027075
            150     0.95793924   0.0055239883     0.82246689   0.0047345792      1.1308834   0.0065882304
            200     0.48420335   0.0039611434     0.41490567   0.0033935645     0.57371889   0.0047377927
            250     0.26943006   0.0029800607     0.23077773   0.0025525635     0.31918808    0.003562933
            300     0.13173827   0.0014892555     0.11239241   0.0012673249     0.15668641   0.0017942155
            400    0.055875868  0.00097453678    0.047369553  0.00082389623    0.066912861   0.0011838111
            500    0.055875868  0.00097453678    0.047369553  0.00082389623    0.066912861   0.0011838111
