#  n_b_jets-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      8246.9351      6.5566513      6938.6228      5.5209508      9963.9091      8.0439163
            0.5      2339.2068      3.8024882      1956.3644      3.1837998      2848.3986      4.6768449
            1.5      412.58999      1.7259812      348.56442      1.4471549      496.39581      2.1151182
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
