# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -2bjet
              0      245.31836     0.99602962       206.5892     0.83842926      296.29817      1.2157404
            0.4      234.70162     0.96950302      197.81377     0.81715771      283.18241       1.178394
            0.8      210.92393     0.91619033      178.11939     0.77402551      253.88348      1.1107942
            1.2      181.51641     0.89906852      153.58145      0.7538847      217.96292       1.100666
            1.6      145.73175     0.75716859      123.73402     0.64393192      174.24129     0.91153798
              2      109.27383     0.66428462      93.171513      0.5648354      129.97026     0.79978357
            2.4      109.27383     0.66428462      93.171513      0.5648354      129.97026     0.79978357
