#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.729834     0.33078567      13.993472     0.27692886      20.360592     0.40462972
              1      49.720027     0.57144251      41.615908     0.47846756       60.44053     0.70037429
              2       82.29149     0.73405085      68.748417     0.61370029        100.281     0.90003739
              3      115.45093     0.86910341      96.567208      0.7273876      140.48219       1.064941
              4       145.4532     0.97852843      121.67049     0.81858341      176.97559      1.1981999
              5      181.08231      1.1178402      151.50259     0.93203059      220.24183      1.3787722
              6      212.05855       1.196809      177.39931     0.99928807      257.96124      1.4699025
              7       247.4242      1.2727531       207.1415      1.0656195      300.69475      1.5597051
              8      283.61043      1.3581579      237.20601      1.1364033      345.11349      1.6652412
              9      318.82734      1.4416758      266.72628       1.206561      387.84551      1.7693131
             10       354.9319      1.5175427      297.20005      1.2782719      431.25068      1.8806512
             11      389.76819      1.5948152      326.09895      1.3342963      474.09798      1.9549995
             12      427.59455      1.6735626      357.80343      1.4001462      519.97353      2.0554162
             13      466.55541      1.7509085      390.41263      1.4641677      567.37246      2.1473163
             14      500.20954      1.8050891      418.57333      1.5082256      608.28673      2.2334777
             15       540.1783      1.8897607      451.94136      1.5796503      657.04762      2.3195889
             16      574.17511      1.9272756      480.49012      1.6135224      698.20497      2.3668596
             17      618.52254      2.0064711      517.62764      1.6792992      752.09208      2.4610544
             18      658.53832      2.0641007      551.04748      1.7280059      800.85781      2.5294465
             19      690.48585      2.1114484      577.99742      1.7725813      839.32182      2.6317654
             20      730.00524      2.1689585      611.29259      1.8169604      886.95822      2.6572711
             21      772.02109      2.2404121      646.55935      1.8777328      937.87912      2.7508845
             22      807.77423      2.2788326      676.89644      1.9103733      980.58174      2.7871081
             23      844.39308      2.3889704      707.68336      2.0011552      1024.8345      2.9268044
             24      880.34978      2.3793184       737.7465      1.9941736      1068.6382      2.9089362
             25      916.44255      2.4283224      768.74712      2.0678806      1111.0121      3.0598517
             26      949.36643      2.4670993      795.73319      2.0678723       1152.126      3.0167879
             27      980.17653      2.5066237      822.02125      2.1027016      1188.6441      3.0671421
             28      1008.8936      2.5401567       845.9478      2.1298414      1223.7758      3.1028486
             29      1033.7486      2.5700619      867.20443      2.1565604      1253.1284      3.1403712
             30      1056.9443      2.6006363      886.80643      2.1824886       1281.027       3.174822
             31      1071.6789      2.6167325      899.14184      2.1962441      1298.9029      3.1973852
             32      1083.0085      2.6323618      908.79681      2.2102713      1312.3644       3.226845
             33      1095.2427      2.6433169       919.1434      2.2200681      1327.0683      3.2338794
             34      1104.4162      2.6520105      926.79512      2.2255035      1338.2791      3.2387153
             35      1093.7778      2.6418631      917.81266         2.2236      1325.4685      3.2462727
             36      1079.3128      2.6341868      906.14427      2.2107903      1307.0828      3.2212964
             37      1050.0255       2.590959      881.41917       2.175546      1271.8956      3.1719319
             38      1010.0314      2.5473106      848.36117      2.1519646      1222.4821      3.1496164
