#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      491.06247      5.7755159       416.0886      4.8867913      587.93798      6.9732835
           -4.9      583.71142      6.4629255      494.50584      5.4486152      698.91433      7.8347743
           -4.8      692.33189      6.8935976      586.22196      5.8188105      829.53865      8.3449043
           -4.7      796.12525      7.4401689      675.01758        6.27487      952.19831      9.0180132
           -4.6      919.79614      7.8478949      780.49835      6.6560225      1098.9543      9.5322277
           -4.5      1018.2283      8.2108032      863.37602      6.9564959      1217.7781      9.8904019
           -4.4      1167.3052      8.8240283      990.36129      7.4862857      1394.9011      10.688728
           -4.3      1322.7618      9.3379674      1123.2719      7.9476528      1578.7992      11.283904
           -4.2      1464.2008      9.8625672      1242.1813      8.3572579      1749.8427      11.876847
           -4.1      1624.6354      10.617172      1378.3508      8.9953787      1941.3421      12.781511
             -4      1762.8988       10.79204       1494.875      9.1422521      2107.9488      13.001826
           -3.9      1946.4752      11.333284      1651.6006      9.6233058      2325.4948      13.670746
           -3.8      2128.7504      13.000341      1805.6438      10.855071      2544.4076      15.976007
           -3.7      2292.9451       12.32917      1942.5267      10.439492      2745.0869      14.858622
           -3.6      2468.0878      12.720809      2091.5094       10.78414      2953.6155      15.339438
           -3.5      2675.6978      13.335501      2265.8822      11.279474      3204.7781      16.121872
           -3.4      2809.6922      13.776715      2377.3308      11.634395      3369.0761      16.666791
           -3.3       3017.051      14.016031      2551.7457      11.860939      3619.7116      16.925651
           -3.2      3159.4066      14.338062      2672.0223      12.125304      3790.6416      17.340059
           -3.1       3349.307      15.802918      2834.5008      13.555138      4015.1519      19.906551
             -3      3497.8515      15.145711      2959.4359      12.868843      4194.4134      18.803144
           -2.9      3658.6571       15.39339      3087.5375       13.00022      4402.1531      18.622636
           -2.8      3844.2231      16.050492      3242.1908      13.507306      4629.0703      19.509848
           -2.7      3986.5571      16.098883      3364.3619       13.65258      4796.4117      19.761164
           -2.6      4164.6969      16.487142      3507.4674      13.890195       5024.274      20.047287
           -2.5      4288.0002      16.699776       3609.521      14.062199      5176.2015      20.319334
           -2.4       4432.788      17.186256      3729.6455        14.4612      5354.2413      20.912969
           -2.3      4598.8356      17.289839       3866.294      14.536221      5560.3739      21.069993
           -2.2      4710.1009      17.462753      3955.1745      14.676261      5703.4742      21.331683
