#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      20.806474    0.057025574      17.223003    0.047220366      25.640041    0.070836562
             60      61.704423    0.097869179      51.403194     0.08158518      75.450038     0.12073945
             70      1392.1388     0.37945978      1166.4277     0.31802111      1690.3567     0.46757251
             80      2270.9622     0.39380745      1905.4704     0.33047586       2752.671     0.48894205
             90      66.710173     0.10217834       56.22244     0.08614686      80.426967     0.12439605
            100       21.09627    0.057480379      17.847728    0.048641114      25.315961    0.069646456
            110      10.070678    0.040286129      8.5377272    0.034158196       12.05497    0.048736271
            120      5.7787884    0.030172804      4.9083226    0.025621966      6.9021926    0.036241229
            130      3.7032506    0.024168384      3.1521844    0.020552464      4.4117576    0.028992193
            140      2.5196383    0.019903923      2.1503179    0.016982276      2.9921604    0.023779664
            150      2.5196383    0.019903923      2.1503179    0.016982276      2.9921604    0.023779664
