#        pt_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1488.0593      0.6173711      1267.8798     0.52581598      1768.2536     0.74451874
              5      1352.8111     0.59531188      1147.3927      0.5051468      1617.4938     0.72054914
             10      928.82364     0.50910283      783.18803     0.42951212      1119.0125     0.62113972
             15      688.47799     0.44480635      577.80208     0.37354105      834.41394      0.5438063
             20      535.29245     0.39683378      447.56691     0.33197806      651.78644     0.48726137
             25       427.5286     0.35738377      356.30841     0.29809048      522.65294     0.44103878
             30      347.59782     0.32573118       288.9154     0.27076627      426.34251     0.40335534
             35        286.438     0.29652858       237.5338     0.24595542      352.31716     0.36786089
             40      237.69993     0.27049735      196.69583     0.22407236      293.12792     0.33657484
             45      199.32881     0.24878866       164.6404     0.20566374      246.35845     0.31035239
             50      167.76247     0.23153626      138.29166     0.19071371      207.84097     0.28974089
             55      141.88183     0.21368338      116.80383     0.17578438      176.05447     0.26768737
             60      120.92443     0.19678247      99.414877      0.1617443      150.29201     0.24663867
             65      102.89192     0.18198387      84.533107     0.14949069      127.98168     0.22858358
             70      88.465366      0.1683683       72.58605     0.13818673      110.20415     0.21166544
             75      76.250285     0.15532976      62.501001     0.12738292      95.101147     0.19501171
             80      65.926559     0.14861254      54.007801     0.12149459      82.277921     0.18735302
             85      57.249724     0.13519358      46.851598      0.1107028      71.534393     0.17015894
             90      49.756187     0.12563339      40.692674     0.10280715      62.218138     0.15812999
             95      43.422789     0.11884855      35.509317    0.097226814      54.302926     0.15017568
            100      37.933981     0.11114644      31.005927    0.091005316      47.465072     0.13993746
            105      33.129182     0.10303458      27.067316    0.084221085      41.472301     0.12983853
            110      29.462817     0.10395698      24.060182    0.084393096      36.901577     0.13210132
            115      25.889942    0.091454883      21.133211    0.074677672      32.442993     0.11544265
            120      22.845785    0.085885969      18.638476     0.07009041      28.645997     0.10834376
            125      20.279626    0.081379463      16.549381    0.066555719      25.419673      0.1029628
            130      18.102833    0.077455225      14.763742    0.063170621      22.706495    0.098148088
            135      15.904232    0.071205255      12.976042    0.058111178      19.938617    0.089897743
            140      14.227332      0.0676218      11.603769    0.055228947      17.842857    0.085407609
            145      12.827218    0.064164741      10.453669    0.052324998      16.101473    0.081001041
            150      11.556137    0.061068835      9.4200307    0.049816926      14.521643     0.07729449
            155      10.432621     0.05786274      8.5027058     0.04722331      13.116767    0.073334138
            160      9.2707461    0.054200639      7.5432329    0.044222129      11.680351    0.068777706
            165      8.4293469    0.051825586      6.8522412    0.042284909      10.632189    0.065888954
            170      7.4863733    0.048898741      6.0859483    0.039878244      9.4432099    0.062333408
            175      6.9250486    0.053896123      5.6137197    0.043427867      8.7608313    0.069036475
            180      6.1739612    0.044632667      5.0071544    0.036298203      7.8080566    0.056847571
            185      5.6208095    0.042377889       4.551453    0.034408946      7.1211665    0.054115186
            190      5.1598545    0.041236125      4.1683696    0.033378871      6.5539499    0.052768374
            195      4.7269413    0.039141423       3.817634    0.031697724      6.0060779    0.050081033
            200      4.2837227    0.037855503       3.463863     0.03073006      5.4362382    0.048705398
            205      3.8449388    0.034875887      3.1001797    0.028218556       4.895035    0.044703946
            210      3.5343643    0.041418264      2.8495723    0.033019398      4.5000825    0.053621452
            215       3.259538    0.032703475      2.6255013    0.026388116      4.1538865    0.042010242
            220      2.9951647    0.030896078      2.4073449     0.02491698       3.826168     0.03973551
            225      2.7729758     0.02975911       2.226359     0.02397334      3.5466391    0.038334765
            230      2.4867461    0.028152115       1.992555    0.022636447      3.1876612     0.03631547
            235      2.3319996    0.031317854       1.870656    0.025016388      2.9855048    0.040512947
            240      2.1189326    0.026180689      1.6983964    0.021043793       2.715703    0.033782288
            245      1.9987583    0.025715193          1.599    0.020630395       2.566839    0.033241395
            250      1.8164802    0.024142367      1.4533378    0.019389043      2.3326104    0.031195548
            255       1.693969    0.024972865      1.3517037    0.019831339      2.1814509    0.032600023
            260      1.5354261    0.022507409      1.2284351    0.018048792      1.9719195    0.029115105
            265      1.4352528    0.021673184      1.1434646    0.017291893      1.8517765     0.02821485
            270      1.3312255    0.021021959      1.0623158    0.016794053      1.7145452    0.027313642
            275      1.2024193     0.01952611     0.96148698    0.015671682      1.5454695    0.025263974
            280      1.1244913    0.018952068     0.89513977    0.015152901      1.4523993    0.024640071
            285      1.0082005    0.017856285     0.80300731    0.014281947      1.3013032     0.02318627
            290     0.95998931    0.017485368     0.76281518    0.013944869      1.2422945    0.022773861
            295      0.9076918    0.017074515     0.72123582    0.013607366      1.1748356    0.022262413
            300     0.85683124    0.016691398     0.68276626    0.013348167      1.1055586    0.021682947
            305     0.79273558    0.016027196     0.62890256    0.012762504      1.0276505    0.020913043
            310     0.77572604    0.025416394     0.61486769    0.019847552      1.0061485      0.0334474
            315     0.66963808    0.014897999     0.53220513    0.011867768     0.86646749     0.01944943
            320     0.66151385     0.01528196     0.52437392    0.012107783     0.85837527    0.020016433
            325     0.60273619    0.013818066     0.47687145    0.010978781      0.7836476    0.018070746
            330     0.58001973    0.013635465     0.45921104    0.010834975     0.75356599    0.017830724
            335     0.55074632    0.027525791      0.4350237    0.021825537     0.71717241    0.035533933
            340     0.47919854     0.01238618     0.38061934    0.009878267     0.62049309    0.016150875
            345     0.45173808     0.01204665     0.35840865   0.0095852439     0.58573476    0.015758872
            350     0.43050292    0.011700209     0.34008232   0.0092883485     0.56084355    0.015346779
            355     0.40705912    0.011342158     0.32173225    0.009000705     0.53002992    0.014865722
            360     0.38936283    0.012719278     0.30605207   0.0099673497     0.50989521    0.016807632
            365     0.34659358      0.0105449     0.27439137   0.0083803949     0.45044324    0.013792841
            370     0.33491305    0.010319238     0.26416212   0.0081764234     0.43706433    0.013548606
            375      0.3200577    0.010081662     0.25147966   0.0079520861     0.41953776    0.013310901
            380     0.29432278    0.010584181     0.23094816   0.0082930692     0.38612135    0.014009751
