#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      515.41088      5.8851008       434.6744      4.9583737      620.84758      7.1503689
           -4.9      603.78197      6.4610451      509.49226      5.4336452      726.83765      7.8534871
           -4.8      713.14805      7.0014207      602.96163      5.9027885      856.24629      8.5166625
           -4.7      807.32257      7.5044099      682.16123      6.3123881      970.06896      9.1173185
           -4.6      925.02177       8.543588      781.70982      7.1088029      1111.2963      10.536932
           -4.5      1072.5256      8.4497406       907.3205       7.136391      1286.6013      10.242354
           -4.4      1190.4129      8.9384238      1007.6642      7.5766265      1426.9553      10.861276
           -4.3      1332.1054      9.5649542      1128.1204      8.0843514       1595.756      11.597634
           -4.2      1499.6129      9.9809134      1269.1431      8.4507019      1797.8304      12.108334
           -4.1      1646.5133      10.507926      1394.3321      8.8840114       1972.314      12.690383
             -4      1806.7655       10.96184      1529.2272      9.2718943      2165.8587      13.240992
           -3.9      1997.9449      11.470593      1692.9971      9.8150383      2391.2993      14.072575
           -3.8       2148.463      11.949122      1819.4432      10.114695      2573.4141      14.425855
           -3.7      2322.6299      12.410131      1967.8607      10.513582      2780.2651      15.037685
           -3.6      2484.8694      12.771962      2102.6029      10.801752      2979.4955      15.420736
           -3.5      2648.1225      13.134783      2240.9793      11.124519      3174.8634      15.862099
           -3.4      2828.7471      13.602419      2394.2449      11.512061       3390.591      16.449267
           -3.3      2995.1937      14.951019      2532.2728      12.509798      3595.2129      18.290411
           -3.2      3182.5417      14.454751      2690.2144      12.178814      3820.9206      17.768252
           -3.1      3325.0691       14.75039      2814.1446       12.79155      3985.6897      18.859035
             -3      3521.0767      15.107983      2972.0738      12.762109      4235.1956      18.295723
           -2.9      3672.3503      15.465244      3100.2622      13.061331      4416.4282      18.728636
           -2.8      3851.3854      15.789882      3248.2985      13.325153      4637.5066      19.146418
           -2.7      4011.8688      16.859662      3382.1613      14.211402      4833.3882      20.475383
           -2.6      4139.2628      16.398392      3488.5198      13.835885      4988.6464      19.995017
           -2.5      4300.8054      16.896611      3621.8614       14.34595      5188.6442       20.82415
           -2.4      4408.9359      16.958448      3712.1617      14.284418      5320.4734      20.668633
           -2.3      4565.6147      17.189191      3836.9887      14.452392      5522.6705      20.924684
           -2.2      4688.3929      17.698552      3938.0069      14.845597      5675.2035      21.676601
           -2.1      4839.5123      17.789992      4063.2335      14.882342      5861.2253      21.955722
             -2      4931.9823      17.871559      4139.4138      15.003158      5975.9992      21.819497
           -1.9      5060.2188       18.13785       4243.833      15.212026      6137.1394      22.185255
           -1.8      5163.5688      18.295324      4326.1287      15.330439      6270.7065      22.375179
           -1.7      5299.4238      18.494614       4435.858      15.495711      6443.0118      22.687046
           -1.6       5372.065      18.647639      4495.2243      15.610251       6533.969      22.902575
           -1.5      5514.0932      19.502925      4610.6755      16.227392       6712.906      24.083061
           -1.4      5528.7004      18.881395      4624.6557      15.987272      6727.3798      23.706317
           -1.3      5654.8641      19.159083      4724.7836      16.011315      6890.8465      23.554549
           -1.2      5693.0446      19.160627      4752.5872      16.000607      6944.9435      23.552845
           -1.1       5747.644      19.301992      4797.6481      16.122634       7012.528      23.756794
             -1      5813.8778      19.399595      4851.1276      16.192839      7096.6935      23.881494
           -0.9      5909.9386      19.519833      4928.2907      16.287305      7219.2276      24.029322
