# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0       24.42543     0.37301966      18.750392     0.28737047      32.698235     0.50035913
     0.31415927      26.769119     0.36805449      20.539454     0.28316693      35.861438     0.49540854
     0.62831853      27.615929     0.37343957      21.183267     0.28726777      37.015289     0.50303955
      0.9424778      28.928865     0.38543662      22.248455     0.29756604      38.683972     0.51718362
      1.2566371      32.795539     0.42452766      25.416439     0.32952068      43.527889     0.56653082
      1.5707963      39.523105     0.54859093      30.972224     0.42861348      51.887885     0.72497464
      1.8849556      53.835516     0.55385287      42.984684     0.44161564       69.32596     0.72078634
      2.1991149      84.088354      0.6579896      68.311844     0.53585747      106.28648     0.83907709
      2.5132741      165.79372     0.93940101      135.29031     0.76724576      208.46243       1.192218
      2.8274334      407.09386      1.5606786      325.83818      1.2486754      522.69871      2.0233289
      3.1415927      407.09386      1.5606786      325.83818      1.2486754      522.69871      2.0233289
