# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      790.41338      1.7633399      669.49907      1.4953456      947.59184      2.1399778
            0.4      739.61787      1.3869711      625.17528      1.1728783      889.08974      1.6854541
              1      581.93403      1.2371371      489.04927      1.0402489      704.69373       1.511932
            1.6      373.42265     0.91690333      310.89733     0.76421951      457.33896      1.1337352
            2.3      166.87142     0.49090771      136.60913     0.40255681      208.27824      0.6173084
            3.4      39.933902      0.2305009      31.663063     0.18317223      51.548635     0.29941397
            4.6      39.933902      0.2305009      31.663063     0.18317223      51.548635     0.29941397
