#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60      33.215609     0.22849297      27.555643     0.18964383      40.823761     0.28271434
             61      36.689289     0.24074666      30.506597     0.20010723      44.965948     0.29773883
             62      40.908817     0.25352542      34.017699     0.21079197      50.130093     0.31310035
             63      45.996324     0.26849087      38.275705     0.22363362      56.316425     0.33100678
             64      51.757856     0.28484181      43.105808     0.23806905      63.306411     0.35540511
             65      59.214008      0.3059485      49.306743     0.25489515      72.442706     0.37718465
             66      67.625859     0.32755553       56.35612     0.27301333        82.6543      0.4032428
             67      78.639676     0.35167841       65.56433     0.29337705       96.06268     0.43279519
             68       92.19911      0.3806016      76.882567     0.31744968       112.6054     0.46870792
             69      110.79769     0.41738478      92.460733     0.34853804      135.19266      0.5134075
             70      133.21945     0.45838438      111.18833     0.38256761      162.52738     0.56336394
             71      163.20441     0.50689242      136.38429     0.42400852      198.79275     0.62430898
             72      208.20116     0.57405725       173.9889     0.47993367      253.60811     0.70475731
             73      272.35758     0.65346853      227.76513     0.54652071      331.46458      0.8022487
             74      367.96712     0.75789902      307.80225     0.63419006      447.67831     0.92976898
             75      528.96961     0.90776198       442.6694      0.7598211       643.2363       1.112425
             76      818.65653      1.1306892      685.39656     0.94668593      994.96535      1.3861884
             77      1415.0775      1.4692047      1185.3777      1.2324915      1718.6783      1.8050143
             78      2903.4267      2.0737843      2433.0086      1.7374283      3524.8111      2.5419379
             79      7110.3083      3.0501929      5960.6958      2.5572186      8627.8052       3.746615
             80      11084.402      3.5675789      9296.6145      2.9938423      13442.314      4.3926518
             81      5824.3642      2.8153562       4886.551       2.360698      7060.5584      3.4538238
             82      2424.4092      1.9006702      2034.7577      1.5954833      2937.7347      2.3305711
             83      1232.2428      1.3792491      1034.6061      1.1577267      1492.4309      1.6852444
             84      729.81838      1.0641244      613.05299     0.89398661      883.40946      1.3002538
             85      478.63579     0.86503119      402.13425      0.7267273      579.23868      1.0557234
             86      337.25967     0.72767097      283.51623     0.61190441      407.86566     0.88724628
             87      251.64886      0.6378013      211.61227     0.53566005      304.21837     0.77753077
             88      193.37601     0.55357469      162.73718     0.46555151      233.54172     0.67444032
             89      153.46483     0.49232862      129.12142     0.41416544      185.39736     0.59921202
             90      123.93841     0.44716078      104.35741     0.37607286      149.58599     0.54550735
             91      102.77228     0.40268208        86.5486     0.33918568      124.01939      0.4893105
             92      85.598353      0.3677265      72.111072     0.30983542      103.24995     0.44775175
             93      73.700746     0.34223045      62.151021     0.29037495      88.787988     0.42048325
             94      63.440326     0.31660482      53.477918     0.26675703      76.464054      0.3847166
             95      54.815311     0.29487926      46.227617     0.24849226      66.034574     0.35814152
             96      48.118986     0.27846887       40.58829     0.23450208      57.954907     0.33867269
             97      42.571593     0.25964407      35.900079     0.21904221       51.29022     0.31447632
             98      38.106861     0.24428763      32.132612     0.20612363      45.915867     0.29636144
             99      34.038865     0.23123366      28.729778     0.19525981      40.966726     0.27978213
            100      30.854537     0.22083883      26.076867     0.18670235      37.072113     0.26714441
            101      27.679464     0.20815631      23.388122     0.17610876      33.267295     0.25166005
            102      25.100848      0.1985143      21.240717     0.16805361      30.111715     0.24078262
            103       23.10116     0.19034756      19.534046     0.16133498      27.738755      0.2316073
            104      21.157995     0.18265535      17.896917      0.1542795      25.394079      0.2217041
            105      19.618009     0.17553783      16.610002     0.14857452      23.519771     0.21219706
            106       17.66905     0.16699481      14.947921     0.14127416      21.204757     0.20182756
            107      16.311354      0.1600823      13.827838     0.13573596      19.524035     0.19523463
            108      15.220437     0.15561019      12.876589     0.13150016      18.267185     0.18808383
            109      14.249846     0.14948279      12.078266     0.12664459      17.059904      0.1806309
            110      13.224576     0.14381597      11.204567     0.12192208      15.842523     0.17327965
            111      12.140976      0.1383555      10.293812     0.11723023      14.531275     0.16681171
            112      11.566676     0.13454887      9.8046743     0.11405636      13.848494     0.16202633
            113      10.828874     0.13038489      9.1795152     0.11054431      12.963592     0.15723465
            114      10.077371     0.12550175      8.5333619     0.10636282      12.081114     0.15108053
            115      9.5541212     0.12739005      8.0946609     0.10761865       11.44553     0.15392165
            116      9.2319996     0.12012215      7.8221766     0.10185827       11.05957     0.14443956
            117      8.3503119     0.11446599      7.0898095    0.097929787      9.9765635     0.14043122
            118      8.0531825     0.11328818      6.8162656    0.095841849      9.6604765     0.13658306
            119      7.6786966     0.12404563      6.5384293     0.10515297      9.1405628       0.153169
            120      7.6786966     0.12404563      6.5384293     0.10515297      9.1405628       0.153169
