#   total-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16166.534      3.9418651      13369.105      3.2600233      19950.012      4.9363567
              1      16166.534      3.9418651      13369.105      3.2600233      19950.012      4.9363567
