# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      17.947122     0.45139651      15.547396     0.38919121      20.921936     0.53388436
            0.6      56.820255      1.1606788      49.154562     0.94456072      66.372537      1.4716907
            1.2      107.14431      1.1130054      92.505337     0.95594379      125.47443      1.3213389
            1.8      159.81407       1.325664      136.28413      1.1310908      190.10109       1.587986
            2.4      186.97031      2.0266623      157.08413      1.7029105      226.49989      2.4722706
            2.7      208.19638      2.1304408      173.60843      1.7792465      254.46112      2.6166843
              3      136.70639      1.7452125      113.35264      1.4493488      168.17443      2.1834634
            3.3      49.946554     0.68322566      40.595377     0.55761841      62.829133     0.86536139
              4      11.514616     0.27451232      9.1758667     0.21940273      14.788054     0.35387314
              5      11.514616     0.27451232      9.1758667     0.21940273      14.788054     0.35387314
