# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0       63.03669      0.6431542      53.453719      0.5456613      75.457192     0.77428291
              1        202.189      1.7012458      170.93148      1.4105564      243.01908      2.1225415
            1.6      337.64629      2.3778117      284.48569      2.0002793       407.5658      2.9024592
              2       534.8774      2.9542851      449.99683      2.4892989      646.82413      3.6044842
            2.4      816.38404      5.1750869      685.56702      4.3503805      989.44723      6.3155059
            2.6      1141.9307      6.1029257      960.36668      5.1442256      1381.3298      7.4540425
            2.8      1726.4722      7.4883631      1452.9931        6.30965       2086.467      9.1295446
              3      2564.5559      9.1523164      2164.0601      7.7210462      3089.2755      11.143147
            3.2      1431.6588      6.8389506      1202.0329      5.7471804        1735.26      8.3970157
            3.4      920.34319       5.488994      767.91563      4.5823151      1123.9807      6.7553865
            3.6      567.63359        3.04644       469.8082      2.5238477      699.84264      3.7845989
              4      320.57421      2.2960665      262.71924      1.8843452      399.71359      2.8904319
            4.4      157.28256      1.3133227      127.23399      1.0647893      198.75413      1.6692808
              5      59.065371     0.80337225      47.002295     0.64047544      75.900311      1.0367138
            5.6      59.065371     0.80337225      47.002295     0.64047544      75.900311      1.0367138
