#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      127.47812     0.45543754      107.66335     0.38470866      153.19182     0.55598493
              1      374.23359     0.77838706      316.06717     0.65740638      449.72793     0.94456663
              2      606.98228     0.99398292       512.2828     0.83774789      730.09672      1.2102859
              3      810.37656      1.1308949      683.66549      0.9528178      975.27105      1.3734632
              4      975.68702       1.237902      822.72757      1.0427584      1174.9555      1.5071858
              5      1101.9054      1.3089533      928.59017      1.1015899      1328.0263      1.5924462
              6      1190.0521      1.3555287      1002.3958      1.1416258      1435.1411      1.6525904
              7      1250.0262      1.3869798      1052.4331       1.165526      1508.3757      1.6984026
              8      1274.3949      1.3989965       1072.667      1.1769403      1538.3061      1.7097143
              9      1283.5894      1.4196635      1079.7995      1.1916966      1550.5532       1.734233
             10      1273.0638      1.3966952      1070.7536      1.1756528      1538.1972      1.7080603
             11      1249.7611      1.3927325      1050.8428      1.1699145      1510.6444      1.7017166
             12      1215.5283      1.3670637      1021.9016      1.1482521      1469.5726      1.6735452
             13      1176.7146      1.3429877      988.78811      1.1282275      1423.5644      1.6394579
             14      1129.9092      1.3147875      949.29191      1.1074891      1367.2619      1.6185285
             15      1086.0098      1.2958161      912.18333      1.0875366      1314.5819      1.5831106
             16      1035.7315      1.2704885      869.81105      1.0661633      1254.0033      1.5510501
             17      990.14347      1.2428419       831.4622      1.0423812      1198.9439      1.5205713
             18      941.87171      1.2028648      790.71713      1.0100703      1140.8977      1.4688713
             19      895.89803      1.1750254      752.00853     0.99085703      1085.4238       1.449333
             20      849.53644      1.1439475       713.0455     0.96103421      1029.3599      1.4033981
             21      805.93955      1.1152621      676.28153     0.93637331      976.86541      1.3640945
             22      761.85016      1.0854427      639.18907     0.91086502      923.61738      1.3268737
             23      724.21288      1.0574244      607.57632     0.88774493      878.06382        1.29294
             24      685.11488      1.0289977      574.70875     0.86381944      830.79417       1.257928
             25      651.37941      1.0052357      546.24943     0.84349435       790.1869      1.2309781
             26      615.92318     0.98492182      516.39924     0.82523259      747.40601      1.2056052
             27      584.61369     0.95573625      490.10724     0.80146929      709.49018      1.1703594
             28      552.52283     0.92524023      463.23187     0.77609297      670.50092      1.1315889
             29      523.02623     0.90119091      438.37018     0.75557876       634.9453      1.1024189
             30       496.2781     0.87801553       415.8212     0.73597896      602.72374      1.0739098
             31      470.41007     0.85631482      394.18066     0.71776537      571.25766      1.0469287
             32      446.89643     0.83471226      374.39713     0.69957228      542.85115      1.0216279
             33      425.19549     0.81603333      356.20655     0.68377176      516.50594     0.99927908
             34      402.87968      0.7918176      337.32843     0.66355545      489.73994     0.97008119
             35      384.90452     0.77430046      322.45262     0.64943184      467.56951     0.95043317
             36      365.63486     0.75661017      306.18373      0.6342128      444.39586     0.92721584
             37      347.03808     0.75726628      290.55174     0.63184752      421.90643     0.93419845
             38      329.29012     0.71881849      275.67192     0.60201655      400.36603     0.88104289
             39      313.97439     0.70166415       262.7903     0.58791482      381.85419      0.8607041
             40      299.59763     0.68446763      250.72721     0.57337746      364.42844     0.83883882
             41      285.53476     0.66826473      238.90167     0.55956201      347.42979     0.81915005
             42      271.89616     0.65178773      227.46912     0.54568256      330.87263     0.79889488
             43      259.39382     0.63986966      216.99039     0.53532636       315.6967     0.78527366
             44      247.68686     0.62324507      207.23355     0.52524783      301.38328     0.77665856
             45      236.54516     0.60827948      197.83617     0.51020887      287.96503     0.74879607
             46      225.95529     0.59687786      188.91127     0.49936406      275.19667     0.73335179
             47      216.99194     0.58277005      181.40574     0.48760478      264.30067     0.71489433
             48      206.78726     0.56980656      172.73374      0.4764551      252.13199     0.69956541
             49      197.97911     0.57352429      165.41108     0.47753388      241.32371     0.71010374
             50      197.97911     0.57352429      165.41108     0.47753388      241.32371     0.71010374
