#         y_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.79102889     0.11530744     0.64884446    0.094530513     0.98517199     0.14386514
           -4.9      1.3664374     0.14306048      1.1388371      0.1194448      1.6665315     0.17466251
           -4.8      4.0154989     0.23550354      3.3505752     0.19658869      4.8962214     0.28808375
           -4.7      13.517168     0.44148484      11.378443     0.36849788      16.305723     0.54627789
           -4.6      37.309531     0.74677318      31.380936     0.62832392      45.071307      0.9044569
           -4.5      86.912602      1.1798788      73.313584     0.99556577      104.59747      1.4240979
           -4.4       159.8875      1.6098165      135.07834      1.3612632      192.05973      1.9406951
           -4.3      286.07821      2.1586808       242.2502      1.8280148      342.60835      2.5956037
           -4.2      438.35511      2.8887021       371.4909      2.4448252      524.46909      3.4737639
           -4.1      639.70782      3.1970722      542.78175      2.7124199      764.21171      3.8343103
             -4      883.48468      3.7476961      750.38966      3.1887843      1054.0469      4.5084503
           -3.9      1143.1886      4.2498124      971.14992      3.6098469       1363.662      5.0950051
           -3.8      1445.3914      4.7626414      1227.7754      4.0490847       1724.451      5.7184189
           -3.7      1754.5557      5.2432703      1490.9611      4.4657386      2092.3538      6.3471889
           -3.6      2072.5948       5.688676      1759.9018      4.8307079      2474.2104      6.8262016
           -3.5      2397.4156      6.1217229      2035.4835      5.1958338      2862.5799      7.3584509
           -3.4       2727.497      6.5161199      2314.7505      5.5400928      3258.6621      7.8648183
           -3.3      3041.1795      6.8851291      2579.1649      5.8373454      3636.8832      8.2943325
           -3.2      3336.6724      7.1996602       2828.345      6.1039595      3993.0152      8.6800843
           -3.1      3618.9822      7.5231108      3064.0398      6.3680993      4337.6187      9.0986829
             -3      3895.7964      7.7850632      3296.5658       6.587774      4672.8181      9.4170661
           -2.9      4141.3289      8.1047387      3501.7496      6.8604943      4972.1254      9.9355107
           -2.8      4378.1769      8.2605214      3696.4778      6.9732488      5266.7412      10.008968
           -2.7      4589.4948      8.4495075      3872.1754      7.1291577      5525.7837      10.296382
           -2.6      4779.4788      8.7230033      4028.6758      7.3450103      5761.4179      10.627176
           -2.5      4941.1625      8.7823536      4160.4041      7.3938431      5964.4984      10.685818
           -2.4      5136.4515      9.0432184      4320.6168      7.5924417      6207.7701      11.040666
           -2.3      5252.5196      9.0350275      4415.3022      7.5998237        6353.33      11.033801
           -2.2      5398.7955      9.1834944      4533.9847      7.7116749      6537.8315      11.215284
           -2.1        5524.39      9.2761176      4635.3548      7.7865563      6697.1546      11.356431
             -2       5602.936      9.3476821      4697.3921      7.8400001       6799.233      11.459721
           -1.9      5717.9158      9.4431123       4790.672      7.9120242      6944.1721      11.569894
           -1.8      5789.1189       9.489159      4847.8542      7.9478823      7034.8263      11.637481
           -1.7      5861.5814      9.5525137      4904.0715      7.9933557      7130.8504      11.720544
           -1.6      5917.8147       9.618802      4947.3691      8.0411756      7205.8284      11.808868
           -1.5      5985.6388      9.6460959      5003.7681       8.072343      7288.6406      11.862663
           -1.4      6043.1278      9.8225713      5050.2546      8.1960969      7361.3316      12.089989
           -1.3      6100.0563      9.7476501      5095.5433      8.1536896      7434.6263      12.018164
           -1.2      6126.7169      9.7658777      5115.2483      8.1552032      7471.6574      12.012177
           -1.1      6171.2763      9.9682628      5151.2028      8.3071674      7528.1191      12.290313
             -1      6210.3021      9.8802359      5182.6306      8.2431317      7577.6323      12.174305
           -0.9      6244.8535      10.005968      5210.8102       8.351802      7620.8775      12.370414
           -0.8         6249.9      9.8862962      5214.6162      8.2517997      7627.6929      12.233626
           -0.7      6284.6167      9.8869956       5242.229      8.2504498      7672.4981      12.203023
           -0.6      6303.8667      9.9473387      5258.4494      8.2991296      7695.5567      12.281849
           -0.5      6298.9619      10.033863      5253.5455      8.3544047      7691.0451      12.387877
           -0.4      6295.5003      9.9265475       5250.456      8.2816026      7687.1697      12.262496
           -0.3      6305.3902      9.9214412      5257.7169      8.2730367       7701.126      12.220139
           -0.2      6319.7603      10.055915      5270.8151      8.3943893      7716.5045      12.468184
           -0.1      6310.7542      10.105284      5261.1594      8.4108207      7709.4329      12.473498
              0      6313.6598      9.9501086      5265.3884      8.3076968      7709.6677      12.341133
            0.1      6299.3075      9.9431894      5253.4394      8.3258047      7692.1381      12.378132
            0.2       6309.797      9.9711737      5261.6169      8.3102962      7705.8938      12.300148
            0.3      6305.3084      9.9138937       5257.344      8.2699875      7701.5119      12.224985
            0.4      6293.1375      10.061844      5248.3502      8.3785029      7684.5867      12.417404
            0.5      6271.0653      10.040766       5230.777      8.3613176      7656.1411      12.390204
            0.6      6271.0504      10.066279      5230.8953      8.3785941      7655.9569      12.425071
            0.7      6253.7547      9.9612071      5216.3571      8.3071945      7634.9895      12.290906
            0.8      6223.8509      9.8536664      5193.8756       8.224381       7594.184      12.128409
            0.9      6205.9116       9.836842      5181.0494      8.2147599      7568.4657      12.131423
              1      6172.8103      9.8515595      5152.2605      8.2203684      7530.3412       12.12252
            1.1      6145.1082      9.7852303      5131.7276      8.1743688      7491.9906      12.048546
            1.2      6106.2784      9.7846439      5099.5384      8.1715446      7444.4809      12.024518
            1.3      6046.8187       9.769456      5053.6652      8.1707132      7365.2683      12.035642
            1.4      6000.0261      9.6723058       5015.103      8.0896839      7307.4678      11.878784
            1.5      5941.7521      9.6189951      4968.8422      8.0463852      7232.3027      11.803108
            1.6      5880.5787      9.5639201      4919.6034      8.0041281       7154.647      11.730775
            1.7      5796.9394      9.5002581      4853.7771      7.9581123      7045.5224      11.646284
            1.8      5702.4726       9.411748      4778.1607      7.8880754      6924.6069      11.539358
            1.9      5606.8064      9.3683574      4700.7087      7.8537028      6803.7298       11.47171
              2      5497.6535      9.2633269      4613.2255      7.7724994      6664.2683      11.331597
            2.1      5399.4204      9.1637744      4534.2204       7.698119       6539.129      11.182355
            2.2      5224.4919       9.046083      4391.7981      7.5867099      6319.3591      11.175631
            2.3       5122.805      8.9169007      4310.1127      7.5088042      6189.6468      10.863747
            2.4      4956.6021      8.7767134       4174.684      7.3963524      5980.8045        10.6832
            2.5      4781.3428      8.6165005      4029.3823      7.2633894      5765.2538      10.480825
            2.6      4583.5167      8.4604657      3866.7112      7.1358791      5519.4124      10.263338
            2.7      4359.8767      8.2295818      3681.4938      6.9562275      5243.7982      9.9819878
            2.8      4150.7605      8.0402626      3508.0948      6.7951107      4986.4886      9.7249023
            2.9       3909.235      7.7923481      3307.8675      6.5962269      4689.0793      9.4126404
              3      3623.9459      7.5056592      3068.9078      6.3564588      4342.3106      9.0537567
            3.1      3340.1569      7.2034904      2831.1695      6.1071419      3997.3955      8.6738894
            3.2      3032.0481       6.861598      2572.4227      5.8241273      3624.1631      8.2586344
            3.3      2734.5146      6.5236201      2320.3701      5.5371595      3267.6642      7.8460289
            3.4      2398.6014      6.1143263       2038.115      5.2695546      2860.9498      7.5591285
            3.5      2081.5103      5.7002325      1767.8181      4.8408407      2484.2254      6.8397521
            3.6       1760.219      5.2520128      1495.2803      4.4618934      2100.0394      6.2969019
            3.7      1434.7424      4.7452927      1218.8499      4.0321337      1711.5039      5.6867092
            3.8      1153.5184      4.2654032      979.41136      3.6218188      1376.9546      5.1130488
            3.9      875.61697      3.7237882      743.26267      3.1624845      1045.5182      4.4670129
              4      639.74181      3.1960546      543.00912      2.7155609      763.87822      3.8351737
            4.1      441.66465      2.6688296       374.5191      2.2633222      527.99822      3.2066798
            4.2      282.55537      2.1458407      239.30248      1.8184963      338.32003      2.5808745
            4.3      166.40693      1.6456562      140.56234      1.3906576      199.93691      1.9866023
            4.4      84.143929      1.1497037      71.092189     0.97904141      101.05098      1.4369887
            4.5      37.416176     0.75450094      31.522859     0.63529973      45.094475     0.91387499
            4.6      13.307662     0.43303539      11.140774     0.36275152      16.173425     0.52734354
            4.7      4.3062159     0.24686579      3.5645188     0.20444419      5.3103192     0.30535305
            4.8      1.4582978     0.14634636      1.2055682     0.12101674      1.7998523     0.18132188
            4.9     0.72740456     0.10645579     0.60037615    0.087848047     0.89838375     0.13192511
              5     0.72740456     0.10645579     0.60037615    0.087848047     0.89838375     0.13192511
