# dphi_Z_bjet1-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS-1bjet
              0      257.74671      1.6787352      215.83689      1.4092199      313.37029      2.0601907
            0.6      280.12964      1.9334442      234.06342      1.5956784      341.50323      2.4260096
            1.2      384.96084      2.0511822      320.20364      1.7075722      471.88864       2.532828
            1.8      624.58108      3.2137198      519.79948      2.6768537      765.13349      3.9724257
            2.2      1079.0315      4.1835657      899.19768      3.4897845      1319.6801      5.1550187
            2.6      1999.1074      6.5653509      1673.0356      5.5021719      2432.1543      8.0638129
            2.9      3788.9143      10.047429      3195.6895      8.4739751      4566.7993      12.240149
          3.142      3788.9143      10.047429      3195.6895      8.4739751      4566.7993      12.240149
