#         pt_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1550.1159     0.63417036      1298.9762     0.53129985      1881.5451     0.78081802
              5      1996.8821      0.6891658      1675.6896     0.57806351      2419.8378     0.84668847
             10       1312.238     0.58854299      1102.0241     0.49448796       1588.782     0.72092999
             15      828.60086     0.48595719        695.916     0.40804014      1003.2248     0.59484078
             20       540.5942     0.39878044      453.80531     0.33499027      654.98577     0.48773091
             25      366.97462     0.33197128      307.89427     0.27897394      444.95789     0.40697197
             30      258.29906     0.28132961      216.55973     0.23602256      313.48632     0.34446283
             35      186.62124     0.24005428      156.33403     0.20126239      226.73809     0.29417767
             40      139.97943     0.20886422      117.14546      0.1750496      170.28316     0.25659599
             45      106.06648     0.18188332      88.690616     0.15223954      129.16486     0.22334457
             50      82.240373     0.16033634      68.698146     0.13406209      100.27484     0.19708017
             55      64.605609     0.14294256      53.949826     0.11945876       78.80554     0.17598567
             60      51.832503     0.12786165      43.228575     0.10671785      63.322201     0.15741633
             65      41.777917     0.11569848      34.817172    0.096437557      51.083244     0.14262164
             70      34.042721     0.10385998      28.355564    0.086594418      41.652765     0.12813629
             75      28.137192    0.098562367      23.416344     0.08161114      34.461687     0.12236263
             80      23.473008    0.086123298      19.524748    0.071802531      28.796661     0.10651675
             85      19.771171    0.079161332      16.395881    0.065787817      24.336626    0.098190327
             90      16.709961    0.073066013      13.828588    0.060572884       20.61454    0.090899576
             95      14.256335    0.067194557      11.770323      0.0556775      17.633216    0.083881606
            100      12.138326     0.06212517      9.9985353     0.05126541      15.051877    0.077697479
            105      10.459736    0.057943176      8.5993781    0.047678155      12.997859    0.072807789
            110      9.1195772    0.053811347      7.4847424    0.044295789      11.353706    0.067547742
            115      7.8670791    0.050141225      6.4528081    0.041215547      9.8004117    0.062983388
            120       6.807239    0.046971359      5.5679403    0.038498746      8.5059205    0.059229063
            125      5.9632084    0.043897176      4.8720787    0.035933136      7.4612289    0.055522697
            130      5.3095471    0.041196344       4.329585    0.033670803      6.6565693    0.052065734
            135      4.6639163    0.038536265      3.7985314    0.031458559       5.854599    0.048827809
            140      4.1353447    0.036612651      3.3532951     0.02973946      5.2162673    0.046560451
            145      3.6204326    0.033894612      2.9330997    0.027533804      4.5714038    0.043113871
            150        3.21371    0.032082418      2.6005915    0.026095454      4.0630141    0.040981815
            155      3.0085918    0.038962421      2.4289027    0.031014876      3.8131691    0.050380352
            160      2.6200247    0.029703352      2.1199448    0.024060738      3.3125997    0.037890821
            165      2.3263317    0.027154713      1.8778415    0.021989495      2.9488192    0.034668464
            170      2.1111301    0.026167137      1.7015411    0.021132222      2.6806163    0.033609422
            175      1.9141709    0.025111081      1.5385517    0.020227948      2.4374643    0.032221369
            180      1.7226614    0.023379784      1.3836646    0.018828555      2.1955892    0.030027216
            185      1.5445618     0.02254288      1.2414213    0.018121479       1.967435    0.029133374
            190      1.3948693    0.021082225      1.1206941    0.017002484      1.7771622    0.027054261
            195      1.3248292    0.020733144      1.0612795    0.016655482      1.6933292    0.026675513
            200      1.1426976    0.019141986     0.91275324    0.015327605      1.4649828    0.024709451
            205      1.0630826    0.018458081      0.8511408     0.01481106      1.3595988    0.023789473
            210     0.97725013    0.017805956     0.78121808    0.014303297      1.2518714    0.022982526
            215     0.87254228    0.016788586     0.69549299    0.013417314       1.121282    0.021723914
            220     0.81522773    0.016318856     0.65053945     0.01305259       1.046371    0.021103348
            225     0.74519717    0.015409409     0.59610406    0.012372661     0.95406656     0.01989632
            230     0.65260321    0.014428245     0.52295063    0.011595324     0.83366075    0.018584407
            235     0.61113449    0.013905345     0.48764109    0.011133202     0.78446993    0.017981133
            240     0.58694601    0.016626024      0.4664176    0.012996125     0.75678711    0.021948337
            245      0.5496075    0.013304174     0.43622097    0.010587053     0.70957933    0.017298103
            250      0.4959216    0.012564362     0.39444595      0.0100343      0.6389164    0.016295896
            255     0.44753648     0.01198048     0.35563632   0.0095383644     0.57714046    0.015578329
            260     0.40624747    0.011399368     0.32242222   0.0090571641     0.52444017    0.014847271
            265     0.38218677    0.011154968     0.30405698   0.0088871811     0.49213406    0.014493015
            270     0.37498521    0.011113718     0.29710351   0.0088226693     0.48496987     0.01447473
            275     0.34034115    0.010689423     0.27007716   0.0084833721     0.43941996    0.013941407
            280     0.31669636    0.010029654     0.25041739   0.0079635757       0.410542     0.01307624
            285     0.30037012    0.009773778      0.2376886   0.0077548371     0.38897088    0.012751037
            290     0.27493144   0.0093393166     0.21759628   0.0074246598     0.35594375    0.012167477
            295     0.24792195   0.0089032143     0.19578202   0.0070474166     0.32182783    0.011650644
            300     0.23397256    0.008641117     0.18509529   0.0068556152     0.30321033    0.011296631
            305     0.21466358   0.0083465417     0.16950575   0.0066061582     0.27867411    0.010911232
            310     0.22156729   0.0084251333     0.17552876   0.0066958164     0.28665416    0.010983276
            315     0.20130082   0.0079905648     0.15898641    0.006336923     0.26124691    0.010432155
            320     0.16457306   0.0072094666     0.13037227   0.0057410875     0.21285956   0.0093816286
            325     0.16034262   0.0072060753     0.12566723   0.0056589186     0.20983006   0.0095136038
            330     0.14821713    0.006888224      0.1170331   0.0054406277      0.1924408    0.009053971
            335     0.14627638   0.0068241386     0.11482743    0.005380271     0.19104512    0.008966732
            340     0.14437285   0.0067808929     0.11402695     0.00535578     0.18737487   0.0089284016
            345     0.13471176   0.0065826713     0.10510509   0.0051517476     0.17708422    0.008703896
            350     0.11619049   0.0061134673    0.091481657   0.0048205783     0.15132489   0.0080470391
            355     0.12482499   0.0064891689    0.097964578    0.005110579     0.16305425    0.008517938
            360     0.10498091   0.0058287002    0.083300552   0.0046443215     0.13559998   0.0075845676
            365     0.11265161   0.0060047642    0.089062249    0.004780726     0.14608138   0.0078706395
            370    0.084008819   0.0051755656    0.066132957   0.0040887989     0.10944113   0.0067941655
            375    0.079679936   0.0050412428    0.062511461   0.0039676798     0.10420502   0.0066394303
            380    0.097731236   0.0055947922     0.07677892   0.0044062101     0.12760819   0.0073638587
            385    0.072147259   0.0047702963    0.056527603     0.00375495    0.094418808   0.0062742609
            390    0.066589172   0.0047062722    0.052393277   0.0036928711    0.086820808   0.0062162111
            395    0.067826731   0.0052735562    0.052236671   0.0040560068    0.090388956   0.0070722661
            400    0.075130364   0.0048741317    0.059037679   0.0038476292    0.097978199   0.0063871128
            405    0.070816519   0.0049002188    0.055445226   0.0038491663    0.092800824   0.0064667694
            410    0.055914486    0.004248734    0.044251949   0.0033427192    0.072469884   0.0056802119
            415    0.053920211    0.004140847     0.04186056   0.0032312633    0.071340256   0.0055003073
            420    0.058718951   0.0043674065    0.046460384   0.0034835127    0.076114782   0.0057354436
            425    0.049168739    0.003963767    0.038223425   0.0030902747    0.064941769   0.0052711362
            430    0.047644226   0.0038988955    0.037162265   0.0030524178    0.062701681   0.0051687904
            435     0.04411515   0.0037305671    0.034326563   0.0029149205    0.058177327   0.0049447273
            440    0.043594494   0.0037143168    0.034102241   0.0029189697    0.057182833   0.0049015817
            445    0.050295062    0.006566151    0.039290924   0.0050987528    0.065974086   0.0086699182
            450    0.037106171   0.0038170016    0.029232445   0.0030154107    0.048273725   0.0049887687
            455    0.036456375   0.0034098517    0.028328516   0.0026676002    0.048119432   0.0045129697
            460    0.031605106   0.0031630146    0.025246987   0.0025388786    0.040525466   0.0040840928
            465    0.035076631   0.0033822572    0.027398271   0.0026463688    0.046083625   0.0044811918
            470    0.030909636   0.0031788363    0.024292037   0.0025071074     0.04031984    0.004186339
            475    0.029847483   0.0030812843    0.022948523   0.0023787477    0.039873998    0.004136004
            480    0.026226251   0.0028794705    0.020242681     0.00223278    0.034917959   0.0038519188
            485    0.027974046   0.0030249509    0.021559368   0.0023438419     0.03724617   0.0040394888
            490    0.028070172   0.0031805862    0.021999672   0.0024920397    0.036738111    0.004198547
            495    0.026711885   0.0029467301    0.020552701   0.0022752095    0.035662361   0.0039551385
            500    0.026711885   0.0029467301    0.020552701   0.0022752095    0.035662361   0.0039551385
