#  n_light_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      2979.2587      4.2463311       2526.442       3.602549      3563.6942      5.1357129
            0.5       35868.09      4.7812374      30051.046      4.0415964      43555.778      6.4387241
            1.5              0              0              0              0              0              0
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
