#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       430.7389      1.6862495      360.75416       1.410465      523.15621      2.0698602
              1      1206.0187      2.7968119       1010.169      2.3410822      1464.6512      3.4284836
              2      1775.5215      3.3568139      1487.6467      2.8115607      2155.5327      4.1104786
              3      2103.9585       3.640087      1763.5482      3.0734917      2552.9993      4.5397768
              4      2240.4495      3.7427338       1878.767      3.1362041      2717.1888      4.5942437
              5       2235.288      3.7234918      1874.8963      3.1310151      2710.1891      4.5867805
              6       2152.181      3.6980753      1805.7457      3.0981474      2608.4805      4.5275812
              7      2020.8633      3.5509458      1695.7766      2.9796136      2448.9685      4.3430369
              8       1867.416      3.4197126      1567.3319      2.8723143      2262.4757      4.1845826
              9      1718.0048      3.2871135      1442.2199      2.7595115      2080.9881      4.0159776
             10      1569.4948      3.1455345       1317.675      2.6403173      1900.9069      3.8435436
             11      1426.5232      3.0378735      1198.0509      2.5525505      1727.0227      3.7096095
             12      1298.1872      2.8664635      1090.2344      2.4083648      1571.7708      3.4988493
             13      1186.6415      2.7592443       996.4364       2.316946      1436.9542      3.3739666
             14      1078.6353      2.6252691      906.33293      2.2111283      1305.1083      3.2162425
             15      982.71941      2.5085799      825.80728      2.1123716      1188.9425      3.0971905
             16      896.32345      2.3984506      752.96242      2.0153318      1084.8943      2.9276376
             17      817.47798      2.2925125      686.67369      1.9263368      989.58335      2.7985814
             18      749.77679       2.194124      629.43397      1.8422665      908.32657      2.6772858
             19      688.70981       2.104584      578.30089      1.7682912      834.11911      2.5711641
             20      634.72862      2.0247531      532.89431       1.700707      768.89243      2.4718065
             21      581.98375      1.9385029      488.73413      1.6294241      704.79067      2.3722018
             22      533.31905      1.8562497      447.89574      1.5593877      645.80983      2.2664965
             23      493.70564      1.7882567       414.4734      1.5032733      598.13849      2.1867903
             24      454.56698      1.7150949      381.45282      1.4400474      551.02741      2.0933916
             25      425.53038       1.661088      357.09457      1.3947791      515.79936      2.0309428
             26      393.27372       1.594788      330.07912       1.341016      476.61913      1.9499958
             27       366.1771      1.5404399      307.29076      1.3168551      443.85597      1.9531243
             28      335.55206      1.4808179      281.34932      1.2417172      407.20022      1.8103235
             29      313.86883      1.4349754      263.23241      1.2037113      380.76074      1.7541141
             30      294.74535      1.3836795      247.29509      1.1616408      357.38073      1.6907218
             31      274.25617      1.3359587      230.01758      1.1216674      332.71789      1.6358382
             32      255.17558      1.2874425      213.90203      1.0812263      309.76481      1.5779084
             33      242.27098      1.2547916      202.99559      1.0527765      294.25786      1.5340149
             34      224.38155       1.210784        188.078      1.0155908      272.40861      1.4795577
             35      212.75742      1.1772532      178.42865      0.9885577      258.13764      1.4395282
             36      198.39611      1.1384022       166.1792     0.95428217      241.07364      1.3934599
             37      185.31909      1.1086392       155.2053     0.92794879      225.22115      1.3580151
             38      174.66649       1.068949      146.21158     0.89675035       212.4065      1.3140344
             39      163.74853      1.0357135      137.13699      0.8679356      199.01299      1.2675565
             40      156.88349      1.0133517      131.45105     0.85025677      190.56158      1.2462053
             41      147.44563     0.98195018      123.43024     0.82263403       179.3042      1.2024449
             42      138.54585     0.96554753      115.94797     0.80696281      168.53586      1.1851067
             43      131.66723     0.93450866      110.17456     0.78213817      160.19713      1.1501559
             44      123.46308     0.89833017      103.24448     0.75192308      150.33642      1.1017251
             45      119.56989      0.8840021      99.908557     0.73941951      145.74123       1.084537
             46      111.40648     0.85980993      93.318456     0.72225781      135.38188      1.0640706
             47      105.51091     0.83096803      88.168078      0.6951121      128.58857      1.0202667
             48      99.882046     0.81144965      83.403201     0.67786606      121.83852     0.99614006
             49      95.156877     0.78918267      79.495765     0.66033608      116.00882     0.96909759
             50      95.156877     0.78918267      79.495765     0.66033608      116.00882     0.96909759
