# dR_bb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            0.4      195.02837       1.407537      160.92266      1.1473293      241.33948       1.778557
            1.2      100.57717     0.92515203      84.096932     0.77224138      122.50555      1.1367294
              2      101.08729      1.2855046      86.192606      1.0970412      120.22151      1.5370765
            2.4      135.94695      1.2243974      118.03167      1.0626246      158.02187       1.432749
              3      109.35716       1.388165      95.817452      1.2059116      125.63785      1.6300166
            3.4      14.401755     0.40697827      12.448983     0.35273806      16.898427     0.48553982
              4      2.5415403     0.19863599      2.1394017     0.16516053      3.0724787     0.24537624
            4.5     0.23522666    0.055472637     0.19651867    0.046502129     0.28651333    0.067956439
              5     0.23522666    0.055472637     0.19651867    0.046502129     0.28651333    0.067956439
