#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      2840.0997      1.5578803      2390.1614      1.3142062       3429.578      1.9241392
             15      1698.4892       1.323566      1426.1396      1.1119485      2057.0781       1.621321
             20       943.9244      1.0469993      791.33072     0.87758915      1145.4584      1.2823154
             25      574.75207     0.83496277      480.94993     0.69903977      699.05957      1.0228875
             30      376.09137      0.6866451      314.40174     0.57487809      457.98446      0.8488454
             35      260.26761     0.57453575      217.25076     0.48084169      317.51718     0.70803432
             40      189.19249     0.49345269      157.74644     0.41166271      231.12483     0.60752179
             45      141.69565     0.42714316      117.94734     0.35587947       173.4483     0.52618397
             50      108.44511      0.3743196      90.220242     0.31169161      132.82876     0.46134198
             55      85.988757     0.33416566      71.460181     0.27812133       105.4587     0.41314583
             60      68.753236     0.29946274      57.087565     0.24882534      84.407341     0.37001817
             65      56.363055     0.27116613      46.838701     0.22557437       69.12422     0.33462159
             70      46.960581     0.24937299      38.968719     0.20693477      57.691553     0.30856244
             75      39.113954     0.22642365      32.436851     0.18787521      48.086316     0.28030049
             80      32.561338     0.20654873      26.995067     0.17134948      40.043792      0.2555439
             85      28.059106     0.19249606      23.269313     0.15970172      34.494847     0.23806504
             90      24.182664     0.17836702      20.044244     0.14794702      29.746596     0.22072401
             95      21.209635     0.16706062      17.595357     0.13871251      26.061994     0.20651112
            100      21.209635     0.16706062      17.595357     0.13871251      26.061994     0.20651112
