#         pt_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      578.95151     0.41774167      488.48127     0.35209467      696.64861      0.5084211
              5      1219.9936     0.57469915      1027.1771     0.48319241      1472.0805     0.70283347
             10      1208.9954     0.56999804      1016.3156     0.47927369      1461.8481     0.69891791
             15      989.93089     0.52467655      831.23645     0.44071324      1198.7701     0.64291573
             20      765.33078     0.46645753      642.16024     0.39165451      927.74015     0.57121622
             25      585.49307      0.4141642      490.87159     0.34730562      710.50586      0.5071873
             30      448.33195     0.36513998      375.58679     0.30603067      544.61569     0.44701825
             35      348.16839     0.32604275      291.53006     0.27300969       423.2184     0.40048308
             40      272.82185     0.28832427      228.26439     0.24169826      331.96217     0.35466359
             45      216.85175     0.25937651       181.2596     0.21690724      264.18361     0.31921263
             50      173.99021     0.23211071      145.30177     0.19405575      212.20814     0.28540524
             55      141.07008     0.20992181      117.72501     0.17537167      172.20882      0.2586337
             60      115.50357     0.18997619      96.284429     0.15851197      141.18718     0.23417136
             65      95.201344     0.17272499      79.275351     0.14397669      116.52084     0.21327965
             70      79.274162     0.15837797      65.972315     0.13191036      97.098633     0.19573625
             75      66.547766     0.14425214      55.315606     0.12009707      81.627095     0.17829622
             80      56.500732     0.13319172      46.931179      0.1109211      69.360693     0.16509695
             85      47.827191     0.12267229      39.692049     0.10196065       58.77343     0.15195425
             90      40.923804     0.11445852      33.929959    0.094979988      50.347375     0.14216903
             95      35.200796     0.10523141      29.172092    0.087376678      43.328565     0.13077282
            100      30.473744     0.09798283      25.231218    0.081263625      37.562788     0.12189152
            105      26.461495    0.091877256      21.872469    0.076109539      32.690451     0.11458148
            110      22.914198     0.08527263      18.884135    0.070420299      28.399589     0.10653483
            115      20.269753    0.079970056      16.680233    0.066005399      25.163669     0.10016302
            120      17.836429    0.076006038      14.636702    0.062437548      22.209989    0.095535403
            125      15.732045    0.073322454      12.879816    0.059916094      19.638492    0.092597869
            130      13.890253      0.0705243      11.346202    0.057355804      17.382262     0.08945429
            135       12.35007    0.062843806      10.069367    0.051343447      15.486749     0.07943022
            140       10.88431    0.058954559      8.8595226    0.048120539      13.674037    0.074755831
            145      9.8506847    0.057012077      7.9946696    0.046338274      12.414104    0.072567377
            150      8.9161601    0.053791637      7.2257064    0.043677566       11.25461    0.068507995
            155      7.8426689    0.050562091       6.344693    0.040979769      9.9185102    0.064484889
            160      6.9707734    0.047076119      5.6254289    0.038071081      8.8390521    0.060180798
            165      6.3820428    0.045576816      5.1510069    0.036830398      8.0912945    0.058360144
            170       5.817939    0.043087641      4.6898591    0.034804431      7.3860407     0.05514419
            175      5.1830648    0.040513653       4.166966    0.032676024      6.5992956    0.052040802
            180      4.6474011    0.038745384      3.7285692    0.031212136      5.9302941    0.049931354
            185      4.2447997    0.037170523      3.3982079    0.029818871      5.4291002    0.047878074
            190      3.7766683    0.034616498      3.0247632     0.02779685       4.828149    0.044623369
            195      3.5897241    0.033811583      2.8686911    0.027094527      4.6002748    0.043626363
            200      3.2354677    0.032562981      2.5817075    0.026022658      4.1526593    0.042108797
            205      3.0027646     0.03087396      2.3931195    0.024665293      3.8589709    0.039960686
            210      2.7572971    0.029656542      2.1913732    0.023616532      3.5540185     0.03851009
            215      2.4762841    0.028105828       1.971371    0.022436417      3.1862558    0.036446114
            220      2.2608919    0.027140979      1.7934603    0.021580492      2.9200137    0.035267944
            225      2.0782538    0.025929768      1.6490949    0.020624631      2.6829558    0.033719316
            230       1.940272    0.024887633      1.5392528    0.019791288      2.5058596    0.032382978
            235      1.7792593    0.023783497        1.40565    0.018841744      2.3081254    0.031043464
            240      1.6666687    0.023069871      1.3193523    0.018325488      2.1575831    0.030080812
            245      1.5062863    0.022321247      1.1909041    0.017680542       1.952631     0.02917324
            250      1.4031556    0.031853412      1.1059932    0.025226737      1.8245489    0.041256259
            255      1.3338011    0.020604971      1.0541735    0.016343786      1.7300431     0.02694843
            260      1.2135278    0.019707934     0.95728195    0.015573256      1.5767879    0.025809754
            265      1.1250772    0.019247041      0.8836379    0.015126175       1.468461    0.025313942
            270      1.0709932    0.018495003      0.8408197     0.01454489      1.3988051    0.024358897
            275     0.97192014    0.017605104     0.76352736    0.013871669      1.2685649    0.023122614
            280     0.90237221    0.016941036     0.70638511    0.013307893      1.1820741    0.022346004
            285     0.83403286    0.016293606     0.65337211    0.012799102      1.0915472    0.021440756
            290     0.77713254     0.01584124     0.60860205    0.012445463      1.0178456    0.020907539
            295     0.72926497    0.016447001     0.57083978    0.012876022     0.95548312    0.021689785
            300     0.67898298    0.014784318      0.5302204    0.011541414     0.89197553    0.019681717
            305     0.66460165    0.014554581     0.51743884    0.011349502     0.87582655    0.019320013
            310     0.60482133    0.016715334      0.4731735    0.012920539     0.79284935    0.022297457
            315     0.54335081      0.0133475     0.42332533    0.010412996     0.71543737     0.01773624
            320     0.53751834     0.01314087     0.41788616     0.01024401     0.70916678    0.017428984
            325     0.48229525    0.012454557     0.37755453   0.0097780433     0.63179673    0.016447603
            330     0.45662698    0.012108997     0.35469073   0.0094177142     0.60309475    0.016095484
            335     0.42030267    0.011565537     0.32696231   0.0090249572     0.55426757    0.015341171
            340     0.42726156    0.011662688     0.33203868    0.009080216     0.56413528    0.015541567
            345     0.37332731     0.01093236     0.29097525   0.0085571562      0.4914464    0.014491922
            350     0.32853977    0.010227274     0.25525323   0.0079479296     0.43395532     0.01365658
            355     0.33350182    0.010373925     0.25959376   0.0080949322     0.43961335    0.014014735
            360     0.32415291    0.010137118     0.25040413   0.0078540603     0.43072479    0.013538645
            365     0.29465277   0.0098620872     0.23042671   0.0077492691     0.38651617    0.013133668
            370     0.28206793   0.0096331548     0.21886894   0.0075033496     0.37305132    0.012800044
            375     0.25688711   0.0090979729     0.19890409   0.0070571087     0.34058225    0.012143794
            380     0.24833751    0.009128842     0.19198142     0.00706722     0.32967369    0.012192582
            385     0.23989138   0.0088229265     0.18382994   0.0067668845     0.32126375    0.011885677
            390     0.22290735   0.0084952003     0.17273713   0.0066361013     0.29532322    0.011386751
            395     0.22379245   0.0099713034     0.17359329   0.0077239933     0.29609652    0.013294187
            400     0.19518861   0.0079323409     0.15142437   0.0061596459     0.25815632    0.010600873
            405     0.19784964   0.0079588361      0.1541129   0.0062128299     0.26073855    0.010782574
            410     0.17893676   0.0075367509     0.13760495   0.0058132556     0.23884135    0.010105732
            415     0.15604463   0.0070874342     0.12048495   0.0054902717      0.2074359   0.0094712029
            420     0.16323849   0.0072526538     0.12578544   0.0055930439     0.21745588   0.0097366032
            425     0.15268256   0.0069610123     0.11767585   0.0053779608      0.2034374   0.0093315442
            430     0.14353725   0.0067862951     0.10991504   0.0051897378     0.19244034   0.0091827278
            435     0.13481305   0.0065475828     0.10328541   0.0050329227      0.1806454   0.0088073443
            440      0.1214758   0.0063023507    0.093794902   0.0048615682     0.16157759    0.008472893
            445     0.12279179   0.0064368655    0.094695038   0.0049671595     0.16355496   0.0086440617
            450     0.13589313   0.0072742153     0.10412323   0.0055992573     0.18214534   0.0097577582
            455    0.099166899   0.0056606366    0.076058768   0.0043356562     0.13281826   0.0076578842
            460     0.11729278   0.0066680554    0.089848595   0.0051009312     0.15724824    0.008999935
            465     0.10236727   0.0057277646     0.07874054   0.0044080053     0.13667048   0.0077336835
            470    0.089601953   0.0053348038    0.068912661   0.0041222023     0.11958059   0.0071548008
            475    0.093290852   0.0054425988    0.071430548   0.0041824647     0.12512049   0.0073268536
            480    0.093905338   0.0055304074    0.071699176    0.004221367     0.12634533   0.0074949393
            485    0.079699368   0.0050740159    0.061349596   0.0039166722     0.10634792   0.0068167981
            490    0.071889932   0.0048454715    0.055580428   0.0037057926    0.095548892   0.0067027608
            495    0.068221889   0.0049382454    0.052275326   0.0038103273    0.091411733   0.0066219462
            500    0.072516687    0.004829783    0.055343217    0.003692126    0.097621225   0.0065451075
            505    0.072604506   0.0048952253    0.055670652   0.0037415395    0.097309836     0.00664635
            510    0.065026451   0.0045496199    0.049345466   0.0034632204    0.088065242   0.0061851874
            515    0.065193582   0.0045465422    0.049473894   0.0034625952    0.088300008   0.0061822204
            520     0.05420493   0.0041348516    0.040507635   0.0030952767    0.074483345   0.0056954924
            525    0.054831829   0.0043108596    0.041615886   0.0032816233    0.074221777   0.0058621867
            530    0.049544162   0.0039935114    0.037649996   0.0030400209    0.067001392   0.0054365969
            535    0.048530796   0.0039387276    0.036740808   0.0029855199    0.065896671   0.0053783313
            540    0.049398175   0.0040171344     0.03720493   0.0030371579    0.067369316   0.0054869166
            545    0.048845611   0.0039403832    0.037629036   0.0030543338    0.065109956   0.0052891954
            550    0.049609852   0.0041196518    0.037296855    0.003109987    0.067791877   0.0056338921
            555    0.037043305   0.0034487673    0.028224594   0.0026373473    0.049911117   0.0046617173
            560    0.041820088   0.0036554141    0.032111589   0.0028208024    0.055947819   0.0049184124
            565    0.036094726   0.0034105459    0.027292725   0.0025840875    0.049072901   0.0046528609
            570    0.034077247   0.0033754906    0.025753213   0.0025467925     0.04632453   0.0046192921
            575    0.029224842    0.003078228     0.02197551   0.0023192275    0.039953709   0.0042235478
            580    0.038275654   0.0034803047    0.028955078   0.0026415185    0.052008267   0.0047466083
            585    0.033684426   0.0032572308    0.025521513   0.0024791303    0.045700392   0.0044396616
            590    0.029413157   0.0031496611    0.021808836   0.0023328977    0.040761665   0.0043849856
            595    0.030910156   0.0031789365    0.023127091   0.0023824604    0.042483457   0.0043859362
            600    0.025630108   0.0028499433    0.019187843   0.0021419041     0.03519471   0.0039247509
            605    0.020964442    0.002619862     0.01565066   0.0019508732    0.028858784   0.0036336246
            610    0.025320032    0.002862934    0.019216543   0.0021803042    0.034288859   0.0038943465
