#   m_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23              0              0              0              0              0              0
             24              0              0              0              0              0              0
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27   0.0053831531   0.0031559324   0.0040601441   0.0023621078   0.0074944376   0.0044577853
             28   0.0031040416   0.0021949756   0.0022438576   0.0015902564   0.0045419769   0.0032152839
             29              0              0              0              0              0              0
             30   0.0093106443   0.0038010815   0.0075369747   0.0030786042    0.011787475   0.0048175341
             31   0.0015820328   0.0015819537   0.0012260904   0.0012260291   0.0021259703    0.002125864
             32   0.0077376952   0.0034605858   0.0063235694   0.0028329399   0.0096631054   0.0043442257
             33   0.0062861546   0.0031429286   0.0049796319   0.0024926885   0.0082066828   0.0041131495
             34   0.0078261705   0.0034998289   0.0063083234   0.0028263883   0.0099766306   0.0044811717
             35    0.006230012   0.0031148891   0.0050958784   0.0025502899   0.0077797119   0.0039000269
             36    0.010965986   0.0041452253   0.0088289316   0.0033430436    0.014006042   0.0053221258
             37    0.017145978   0.0051701255    0.013212645   0.0040026224    0.023193357   0.0070423577
             38     0.01087471   0.0041107855    0.008787315   0.0033264773    0.013821689   0.0052487926
             39    0.021744298   0.0058120968    0.017251701   0.0046304218    0.028330492   0.0076362624
             40    0.037391317    0.007632778    0.031118487   0.0063738808    0.045607443   0.0093996863
             41    0.025107643   0.0062770982    0.020082873   0.0050346952     0.03242601   0.0081554567
             42    0.029832093   0.0072217907    0.023731653   0.0056302647    0.038733133    0.009706858
             43    0.035913605   0.0074893134    0.028568628   0.0059644893    0.046639616   0.0097458163
             44    0.038901561   0.0077817841    0.030631773   0.0061384753    0.051177231    0.010292118
             45    0.049832133    0.008810872    0.039706923   0.0070311106    0.064569268    0.011467847
             46     0.05967499    0.009681029    0.047295958   0.0076863715    0.077851941    0.012676285
             47    0.043858343   0.0082904595    0.035171789   0.0066748515    0.056354822    0.010763605
             48    0.085793157    0.011569815    0.070143617   0.0094856358     0.10743029    0.014606373
             49     0.07830004    0.011093372    0.062494838   0.0088633642     0.10122865    0.014429219
             50    0.090639815    0.011902546    0.074587956   0.0098358461     0.11248792    0.014917894
             51    0.092192757    0.012004044    0.077105882    0.010064343     0.11185406    0.014688305
             52    0.096007867    0.012230616    0.082952221    0.010774568     0.11098627    0.017581828
             53     0.12359684    0.013907171    0.099480873    0.011214182      0.1580617    0.017865791
             54     0.13397703    0.014456345     0.11012273    0.011984754     0.16664062    0.018586621
             55     0.13905798    0.014742569     0.11323413    0.012050665     0.17525314    0.018751314
             56     0.14338551    0.014950752     0.11827243    0.012373309     0.17753813    0.018649171
             57     0.14781012    0.015166386     0.11989708    0.012335595     0.18716342    0.019317914
             58     0.17483281    0.016525581     0.14191977    0.013451489     0.22110332    0.021045935
             59     0.23579504    0.019192248     0.19348015    0.015784129      0.2939962    0.024087633
             60     0.23448051    0.019149288      0.1906946    0.015608117     0.29585942     0.02430866
             61     0.23449916    0.019149286     0.18914966    0.015489116     0.29910364    0.024568872
             62     0.28118636    0.021043938     0.23092709    0.017283615     0.35037187    0.026589183
             63      0.2754435    0.020710588     0.22633445    0.017073023     0.34291393    0.026013273
             64     0.25872989    0.020207251      0.2125064     0.01646115     0.32226322    0.025874178
             65     0.31851589    0.022304659     0.25882577    0.018170025     0.40238591    0.028330211
             66     0.39551541     0.02484126     0.32480856    0.020443001     0.49272489    0.031126786
             67     0.38057359    0.024478274     0.31250272    0.020100747     0.47418991    0.030846408
             68     0.43517147     0.02606076      0.3582074    0.021496359     0.54058543    0.032579759
             69     0.46057815    0.026822773     0.37681973     0.02201297     0.57683654      0.0338077
             70     0.47442277    0.027213311     0.38808583    0.022300817     0.59428704    0.034224783
             71      0.5364084    0.028928029     0.43754826    0.023648193     0.67441144     0.03652449
             72     0.51551361     0.02847038     0.42234354    0.023283277     0.64446963    0.035988387
             73     0.64520616    0.031715953     0.53005982    0.026102622     0.80366999    0.039665795
             74     0.70520052    0.033269483     0.58277439    0.027547987     0.87148251    0.041712841
             75     0.76208435     0.03450408     0.62524286    0.028363131     0.95102429    0.043239411
             76     0.79555958    0.035222695      0.6591447     0.02932265      0.9800545    0.044029474
             77     0.90348587    0.037661654     0.74524818    0.031020099      1.1194642     0.04709821
             78     0.99901829    0.039470316      0.8222094     0.03258095      1.2417462    0.049358014
             79       1.120541    0.041799178     0.92967975    0.034795623      1.3779365    0.051845498
             80      1.2513919    0.044250547      1.0329916    0.036519013      1.5491713    0.055380317
             81      1.3688397    0.046347241      1.1319443     0.03827765      1.6907723    0.057942279
             82      1.4645184    0.047882604      1.2129109    0.039687588      1.8054669    0.059425423
             83      1.6887302    0.051291469      1.4073562    0.042882924      2.0648159    0.063489523
             84      1.9106368    0.054591675      1.5898981    0.045502658      2.3407449    0.067137797
             85      2.2086192    0.058812446      1.8356334    0.048912763      2.7104455    0.073213833
             86      2.5254253    0.062781024      2.0964134    0.052207817      3.1038823    0.077572255
             87      3.1722217    0.070309535      2.6452898      0.0587478       3.875983    0.086327717
             88      3.7280164    0.076326856      3.1066595    0.063650678      4.5592471    0.094201214
