# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 30
             -8     0.39654833     0.16192799     0.31821666      0.1308391     0.50491167     0.20836897
           -7.9     0.46080166     0.17416669     0.34226833     0.12958011         0.6386     0.24190613
           -7.8        0.52748     0.20870977       0.440065     0.16938826     0.64990668     0.26793504
           -7.7      1.1935233     0.30607368     0.90700334     0.23074963      1.6173283     0.42018959
           -7.6      1.3004517     0.29087861      1.0367683     0.23303323      1.6772567     0.37768836
           -7.5      1.3522733     0.30346509      1.0879617     0.24600306      1.7231067     0.39185182
           -7.4       2.063345     0.37124993      1.5995033     0.28859946        2.73766     0.49536488
           -7.3        2.51826     0.44781497      1.9673233     0.34714633      3.3134467     0.59884319
           -7.2        3.09601     0.45183416       2.451145     0.35936984       4.021265     0.58991843
           -7.1      3.8631283     0.52782691      3.0238983     0.41155653        5.08498     0.70511563
             -7      4.1876417     0.53722479      3.2319283     0.41518529      5.5814716     0.72081585
           -6.9       5.159155     0.58535018        4.01527     0.45647679      6.8142333     0.77737501
           -6.8      6.2597633     0.68172666      5.0355567     0.54818621       7.984165     0.87811452
           -6.7        6.78857     0.69998929        5.39736     0.55613424      8.7715067     0.91320012
           -6.6      8.3956333     0.74238445      6.6422867     0.58963258      10.902543     0.96937828
           -6.5      9.4640583     0.79336355       7.491965     0.63056492      12.274688      1.0345335
           -6.4      11.818415     0.89930237      9.3332684     0.71067509      15.371153      1.1792964
           -6.3      16.646647      1.0951275      12.996305     0.85461543       21.91218       1.454062
           -6.2      16.890712      1.0734002      13.499828     0.86266744      21.709813      1.3884341
           -6.1      21.810732      1.2125538      17.378442      0.9673588      28.107987      1.5764325
             -6       24.45467      1.2789779      19.324593      1.0130183      31.782612      1.6737692
           -5.9      25.796185      1.3709211      20.296825      1.0777565      33.670738      1.8046295
           -5.8      29.301868      1.4265464      23.154033      1.1269841       38.06016      1.8683441
           -5.7       37.79848      1.5782541      30.141722      1.2635525      48.656372      2.0439027
           -5.6      43.272682       1.707727      34.501237      1.3666828      55.700432      2.2096717
           -5.5       50.96704      1.8478517      40.386265      1.4703345      66.020813      2.4026485
           -5.4       60.48085      2.0062993      48.276388       1.603471      77.753233       2.599506
           -5.3      65.962887      2.0911346      52.877063      1.6819161      84.390458      2.6923171
           -5.2       75.26285      2.2598232      59.888629      1.8046766      97.066152      2.9318407
           -5.1      87.654162      2.4088137      70.169607      1.9351175       112.3301       3.106547
             -5       99.15177      3.7471603      79.397508      3.0586448      126.96628      4.7041729
           -4.9      111.00942      2.7092093      89.045515      2.1797865      141.89175      3.4817997
           -4.8      119.83885      2.8117668      96.652225      2.2750655      152.31474      3.5939601
           -4.7      139.94779      3.0520239      112.60762      2.4616336      178.34291      3.9146871
           -4.6      160.86203       3.272626       129.5566      2.6426311      204.76874      4.1989867
           -4.5      177.83449      3.4113214      143.26727      2.7575635      226.25046      4.3640132
           -4.4      199.54234      3.6265334      161.46274      2.9425546      252.68598      4.6278577
           -4.3      221.69004      3.8175662      179.54947      3.1007469      280.49549      4.8648083
           -4.2      243.58435      4.0158665      197.02186      3.2545945      308.55942      5.1224771
