# total-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       32231.76        6.19488      27194.002      5.2567052      38809.373      7.9295112
              1       32231.76        6.19488      27194.002      5.2567052      38809.373      7.9295112
