# pt_bb-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
            410    0.083426138   0.0051272183      0.0628717   0.0038733486     0.11379093   0.0070136572
            415    0.073139824   0.0048282968     0.05528537   0.0036599928    0.099456375   0.0065830455
            420    0.075787091   0.0048850184    0.057576375    0.003724161     0.10259249   0.0066396737
            425    0.067959824   0.0046473198    0.051772045    0.003542817    0.091782009   0.0063214907
            430    0.063985298   0.0044807605    0.048242385   0.0033886062    0.087261649   0.0061276214
            435    0.062598992   0.0044387596    0.047656871   0.0033911412    0.084541937   0.0060143011
            440    0.050822201   0.0040554294    0.038719328    0.003088673    0.068671717   0.0055199971
            445     0.05571184   0.0044025533    0.041941897   0.0033402157    0.076151141   0.0059950821
            450    0.061977255   0.0045546616    0.046596855   0.0034440746    0.084748756    0.006220446
            455    0.046218519   0.0038128506    0.035286539   0.0029221098    0.062281353   0.0051588665
            460    0.058424066   0.0049862627    0.044116999   0.0037742955    0.079547563    0.006791048
            465    0.041577527   0.0036207312    0.031446699   0.0027465169    0.056565738   0.0049429041
            470    0.033388395   0.0032446475    0.025411525   0.0024779911    0.045133902   0.0044017667
            475    0.037906122   0.0034621743     0.02878453   0.0026380764    0.051386995   0.0047123947
            480    0.039692053   0.0035891176    0.030072565   0.0027143959    0.053919056   0.0049128067
            485    0.034507307   0.0032911238    0.026245666   0.0025139242    0.046730364   0.0044788916
            490    0.027031421   0.0029157333    0.020190916   0.0021826559    0.037217751   0.0040253705
            495    0.030871669    0.003540457    0.023207579   0.0026923772    0.042221785   0.0048001286
            500     0.03332942   0.0032384582    0.025171421   0.0024547868     0.04540541   0.0044271841
            505    0.026915062   0.0029353273    0.020150252   0.0022032507    0.037005458   0.0040477729
            510    0.024476583   0.0027728106      0.0184889   0.0021024387    0.033381649   0.0037957836
            515    0.025617159   0.0028515265    0.019434542   0.0021695103    0.034792765   0.0038915252
            520    0.019532629   0.0024808588    0.014550468   0.0018527651    0.026976767    0.003435488
            525    0.022353453      0.0026533     0.01670497   0.0019890593    0.030781425   0.0036633942
            530    0.018063329   0.0024337506    0.013656311   0.0018346759    0.024628611   0.0033485988
            535    0.020631148   0.0025402018    0.015377663   0.0018994069    0.028511253   0.0035201658
            540    0.019082401   0.0025600765    0.014332453   0.0019322522    0.026152485   0.0035106524
            545    0.018602633   0.0024237082    0.014271485   0.0018679688    0.024972173   0.0032705031
            550    0.016370404   0.0022708254    0.012165618   0.0016911494    0.022679544   0.0031532106
            555    0.012976342   0.0020648483   0.0095378711   0.0015193645    0.018136607   0.0028869486
            560    0.015732621   0.0022254188     0.01175026   0.0016666922     0.02167487   0.0030731993
            565    0.014527195   0.0021421907    0.010875374   0.0016080918     0.02000501    0.002959522
            570    0.010271108    0.001788803   0.0077355903   0.0013511084      0.0140501   0.0024562395
            575    0.010561881   0.0018472321   0.0079863945   0.0014027608    0.014402977    0.002529326
            580    0.015743377   0.0022269449    0.011906643   0.0016894793    0.021433958   0.0030445497
            585    0.012219896   0.0019574092    0.009075126   0.0014569677    0.016942689   0.0027208581
            590    0.010672173   0.0018315786   0.0077288435   0.0013261363    0.015139384   0.0025997594
            595    0.014197519   0.0021166936    0.010585202   0.0015833568    0.019624058    0.002934631
            600   0.0070020168    0.001494104   0.0051409524   0.0010988309   0.0098206802   0.0021006422
            605   0.0072389195   0.0015102325   0.0053435454   0.0011173259    0.010101136   0.0021135479
            610    0.006949892   0.0015379142   0.0051531732   0.0011447282   0.0096744058   0.0021479879
            615   0.0066446658   0.0014502915   0.0051034894   0.0011215431   0.0089219848   0.0019616336
            620   0.0072155502   0.0015045573   0.0052521809   0.0010964904    0.010205234   0.0021308971
            625   0.0078869948   0.0015776748    0.005885018   0.0011810786     0.01088914   0.0021852029
            630   0.0067440256   0.0014790176   0.0049296679    0.001082629   0.0095115967   0.0020925224
            635   0.0070170468   0.0014966418   0.0050862425   0.0010871662   0.0099833133   0.0021337959
            640   0.0054264345   0.0013169126   0.0041033453  0.00099974528   0.0073983353   0.0018047951
            645    0.010086835   0.0017842992   0.0075674509   0.0013429854    0.013885082    0.002470525
            650   0.0056741816   0.0013378685   0.0041542457  0.00098065532   0.0079898039   0.0018889939
            655    0.005707643   0.0013455454   0.0042466187   0.0010060849   0.0079215366    0.001874338
            660   0.0074252741   0.0018022254    0.005644674   0.0013837682    0.010056431   0.0024237654
            665   0.0070035455   0.0014987429   0.0052987195   0.0011369105   0.0095387755    0.002052952
            670   0.0043861065   0.0011735902   0.0032313165  0.00086633495   0.0061348139   0.0016465879
            675   0.0047017527   0.0012139904   0.0034790316  0.00090088241   0.0065520208   0.0016965509
            680   0.0044431213   0.0011876787   0.0034587995   0.0009302081   0.0058818728   0.0015836302
            685   0.0028156462  0.00093867749   0.0020357823  0.00067983157   0.0040183994   0.0013413848
            690   0.0034921328   0.0010531817   0.0026387915  0.00079893759   0.0047735414   0.0014468383
            695   0.0047411685    0.001224524   0.0036880432  0.00095819518   0.0063021529   0.0016423525
            700   0.0034796158   0.0010492778   0.0025284034  0.00076557336   0.0049482673   0.0014960603
            705   0.0033164705   0.0010601822   0.0024960705  0.00079843593   0.0045432093   0.0014641258
            710   0.0028312525  0.00094378855   0.0020393598  0.00068025414   0.0040470988   0.0013500897
            715   0.0034593678   0.0010430572   0.0025355102  0.00076602387   0.0048627531   0.0014688041
            720   0.0024401761  0.00086443311   0.0017732613  0.00062971161   0.0034593918   0.0012267672
            725   0.0039720288    0.001110162   0.0029283473  0.00082503125   0.0055657143    0.001556053
            730   0.0040962625   0.0011372545   0.0030402481  0.00084744554   0.0057192237   0.0016009214
            735   0.0022266266  0.00084212758   0.0016382233  0.00062149628   0.0031266907   0.0011870519
            740   0.0028373509  0.00094593555   0.0020855782  0.00069837044   0.0039911485   0.0013365393
            745   0.0015807443  0.00070717181   0.0012559024  0.00056548121   0.0020503882  0.00092793261
            750   0.0035189596   0.0010628257   0.0025047539  0.00075648714   0.0050956623   0.0015415553
            755   0.0012487955  0.00062436741    0.000939976  0.00047221792   0.0017141337  0.00086090587
            760   0.0019040737  0.00077746469   0.0013956863  0.00057055372   0.0026735574    0.001093508
            765   0.0015797279  0.00070648313   0.0011344858  0.00050739301   0.0022617927   0.0010115316
            770   0.0012832653  0.00064161393  0.00098336138  0.00049555159   0.0017311725  0.00087163412
            775  0.00094304122  0.00054445257   0.0007297959   0.0004236579   0.0012579992  0.00073057627
            780   0.0015596478  0.00069746136   0.0011141256  0.00049823936   0.0022457703   0.0010043193
            785  0.00094399357  0.00054500969   0.0006694758   0.0003865863   0.0013712685    0.000791684
            790    0.001897559  0.00077470075   0.0014289956   0.0005860705   0.0026067627   0.0010674213
            795   0.0012767347  0.00063837484   0.0010310764  0.00051805213   0.0016211685  0.00081493814
            800   0.0021905883  0.00082793229   0.0016489956  0.00062632372   0.0030097479   0.0011434771
            805   0.0015991997  0.00071555939   0.0011778151  0.00052818824   0.0022440896   0.0010087568
            810    0.001587603  0.00071000133   0.0012368547  0.00055638793   0.0021011365  0.00094700052
            815  0.00031227692   0.0003122613  0.00022184074  0.00022182964   0.0004527491  0.00045272645
            820  0.00063605441   0.0004497606  0.00049842337  0.00035415071   0.0008367347  0.00059374418
            825  0.00095332533  0.00055044687  0.00072542615  0.00042101288   0.0012965346  0.00075329178
            830  0.00095486192  0.00055129104  0.00067963985  0.00039243959   0.0013812565  0.00079744383
            835  0.00063123651  0.00044636438  0.00050593037  0.00035926573   0.0008127571  0.00057923544
            840  0.00095716686  0.00055267883  0.00071887958  0.00041683099   0.0013198639  0.00076687726
            845  0.00031182874  0.00031181315  0.00021878351  0.00021877257  0.00045819128  0.00045816835
            850   0.0012492277  0.00062544151  0.00088184876  0.00044115883   0.0018237695  0.00091464782
            855              0              0              0              0              0              0
            860   0.0012791997  0.00063972096  0.00097142858   0.0004892575   0.0017460664  0.00087962214
            865  0.00062700282  0.00044333682  0.00048782713  0.00034659014  0.00083464584  0.00059369983
            870  0.00031283714   0.0003128215  0.00022244898  0.00022243786  0.00045279712  0.00045277447
            875  0.00093717489   0.0005410521  0.00066121648  0.00038175924   0.0013688035    0.000790277
            880  0.00032555423  0.00032553796  0.00023134054  0.00023132897  0.00047115646  0.00047113289
            885  0.00062546616  0.00044225246  0.00044011205  0.00031119718  0.00091515806  0.00064715573
            890  0.00097062024   0.0005604091  0.00068470587  0.00039535226   0.0014179352  0.00081863154
            895  0.00031486194  0.00031484619  0.00022507402  0.00022506277  0.00045321329  0.00045319064
            900              0              0              0              0              0              0
            905  0.00031317327  0.00031315762  0.00022380952  0.00022379834   0.0004505002  0.00045047767
            910  0.00031194878  0.00031193319  0.00021729491  0.00021728405  0.00046204082  0.00046201769
            915   0.0003152221  0.00031520633   0.0002639696   0.0002639564  0.00038344937   0.0003834302
