# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ500
              0       508.7634     0.88283398      433.47458     0.75092778      604.47922      1.0617906
              1      1476.3575      1.4937991      1259.2542      1.2746692      1751.6983      1.7995747
              2      1829.4109      1.6511318      1560.1724      1.4076955      2171.2485      1.9856295
              3      1825.2429      1.6496484      1555.6247      1.4054173      2168.3062      1.9764821
              4      1715.9212      1.6026226      1461.3155      1.3658367      2040.6404      1.9300019
              5      1559.9021      1.5310703      1326.7807      1.3021356      1858.2625      1.8392021
              6      1429.7753      1.4685603      1214.7012      1.2478566      1705.8873      1.7665291
              7      1311.3051      1.4111524      1113.0648      1.2005297      1566.3853      1.7120092
              8      1204.6499      1.3531129      1021.0894      1.1478192      1441.6875      1.6365055
              9      1109.8543      1.3019767      939.68829      1.1028319       1330.184      1.5754186
             10      1029.3025      1.2534824      870.42959      1.0603905      1235.5946      1.5169848
             11      955.55002      1.2113645      807.27261      1.0217997      1148.5251      1.4779142
             12      892.69921      1.1697933      753.51779     0.99145435      1074.1842      1.4304583
             13      836.84052      1.1343856      705.54884     0.95672579      1008.4758       1.378461
             14      786.43887      1.1004473      662.58618     0.92769652      948.60071      1.3399351
             15      739.73654      1.0679872      622.58328     0.89970862      893.47379       1.302358
             16       697.7856      1.0374052      586.88489     0.87291088      843.50815      1.2642836
             17      660.59938      1.0096932      555.07908     0.84886293      799.52988      1.2312515
             18      623.79049     0.98235582      523.69966     0.82530531      755.80727      1.2003101
             19      592.66651     0.95750706      497.20635     0.80370727      718.75816      1.1695679
             20      564.19997      0.9382725      472.90106     0.78650566      685.00456       1.148576
             21      535.73623     0.91062796      448.91584     0.76388289      650.67762      1.1152967
             22      510.58915     0.89134209      427.53512     0.74655547      620.70082      1.0922952
             23      487.17084     0.87024643      407.72317     0.72866689      592.58806       1.067731
             24      465.18633     0.84968498      388.96447     0.71102408      566.51291      1.0421659
             25      445.52782     0.83308841      372.27121     0.69683787       543.0336      1.0245216
             26      424.01921     0.81298334      354.14435     0.67933923      517.09637     0.99911894
             27      405.85468      0.7961367      338.78715     0.66470624      495.28328     0.97972766
             28      389.86666       0.780079      325.20399       0.651045       476.2049     0.96017047
             29      372.90923     0.76250928      310.92627     0.63681565      455.73134     0.94541395
             30      357.37784      0.7470971      297.76535     0.62273886      437.13688     0.92095701
             31      343.43887     0.73408368      286.05875     0.61164871       420.2551     0.90542427
             32      329.00667     0.73338344      273.81981     0.60853427      402.99456     0.90886833
             33      316.63015     0.70453967      263.54502     0.58740875      387.78797     0.87209624
             34      304.27153     0.69277824       253.0852     0.57670233      372.96027     0.85765468
             35      291.83702     0.67665219      242.63878     0.56311595      357.91914     0.83786014
             36      280.50116      0.6630918        233.113     0.55142353      344.19427     0.82032249
             37      271.10125     0.65491459      225.12368      0.5438084      332.98328     0.81077353
             38      260.39468     0.64377901        216.183     0.53427485       319.9224     0.79745082
             39      251.23402      0.6309107      208.55012     0.52360496      308.72252     0.78249573
             40      241.16502      0.6153781      200.05717     0.51084663      296.59046     0.76201939
             41      230.92568     0.60348763      191.47062     0.50052302      284.17009     0.74846678
             42      223.99628     0.59386045      185.68489     0.49322421      275.71279     0.73836753
             43      216.72235     0.58369558      179.54243     0.48438874      266.96901     0.72804445
             44       207.3725     0.57183613      171.79402     0.47410845      255.44821     0.71054735
             45      201.12188     0.56294203      166.48402     0.46615126      248.00021     0.69969455
             46      193.83213     0.55490285      160.44584     0.45950252      239.01356     0.68986936
             47      186.24856     0.54330737      154.11467     0.45067531      229.75786      0.6806369
             48      180.80588     0.53490743      149.54586     0.44248694      223.16238     0.66557517
             49      173.97581     0.52340722      143.86016     0.43313708      214.79801     0.65124207
             50      173.97581     0.52340722      143.86016     0.43313708      214.79801     0.65124207
