#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      513.27154     0.78916716      435.31758     0.67136512      613.33892     0.95736551
            105      524.06964     0.79782849      444.55752      0.6763813      626.22595     0.96359241
            110      490.41723     0.77333723      416.23839     0.66124561      585.70587     0.94570139
            115      442.73224     0.73711432      375.55513     0.62540091      529.25525     0.88810003
            120      395.72396     0.70058558      335.53106     0.59407313      473.41054     0.84482898
            125      350.49202     0.66091415      296.97745     0.56052815      419.73271     0.80362938
            130      311.64035     0.63258121      263.95001     0.53626943      373.45169     0.76854581
            135      277.11399     0.59271921      234.44115     0.50364358      332.60933     0.72541649
            140      248.77516     0.56363518      210.27552     0.47632792      298.97834     0.68467616
            145      222.57761     0.53281908      187.88711     0.44962276      267.97356     0.64720813
            150      201.46111     0.50728165      169.91186     0.42893323      242.84493      0.6192107
            155      181.79401     0.48229528      153.13831     0.40643483      219.49284     0.58792908
            160      165.25446     0.46087897      139.00169     0.38782642      199.90491     0.56220856
            165      150.44639     0.44136716      126.45205     0.37098583      182.16963      0.5401099
            170      137.94592     0.42208114       115.7347     0.35417013      167.42143     0.51660395
            175      126.73859     0.40460925      106.18319     0.33911588      154.09214     0.49589514
            180      116.55611     0.39083325      97.512398     0.32679611      141.96731     0.48016271
            185      108.20033     0.37481072      90.487083     0.31409058      131.85499     0.46179983
            190        99.6118      0.3663118      83.132529     0.30510695      121.70063     0.45250563
            195      93.134814     0.34760054      77.647333     0.29009682      113.93163     0.42903935
            200      86.677387     0.33626291      72.160523     0.28010315       106.2171     0.41507339
            205      80.526633     0.32384721       66.96563     0.26946127      98.811669     0.40086584
            210      75.731739     0.31425047       62.95681     0.26160498      92.964335     0.38939082
            215       71.37991     0.30550682       59.16216      0.2535549       87.93462     0.37952549
            220      66.814472     0.29528236      55.360577     0.24490231      82.339294     0.36649612
            225      62.661233     0.28672548      51.865155     0.23752038      77.314167     0.35705674
            230      59.104348      0.2799428      48.894497     0.23164777      72.970684     0.34938006
            235      55.856859     0.27144802      46.149081     0.22443494      69.063653     0.33851251
            240      53.011306     0.28674185       43.73403     0.23452379      65.655618     0.36126328
            245       49.92917     0.25635721      41.177168     0.21147272      61.862926     0.32016586
            250       49.92917     0.25635721      41.177168     0.21147272      61.862926     0.32016586
