#  m_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23              0              0              0              0              0              0
             24              0              0              0              0              0              0
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27              0              0              0              0              0              0
             28              0              0              0              0              0              0
             29              0              0              0              0              0              0
             30              0              0              0              0              0              0
             31              0              0              0              0              0              0
             32              0              0              0              0              0              0
             33              0              0              0              0              0              0
             34              0              0              0              0              0              0
             35              0              0              0              0              0              0
             36              0              0              0              0              0              0
             37              0              0              0              0              0              0
             38              0              0              0              0              0              0
             39              0              0              0              0              0              0
             40              0              0              0              0              0              0
             41              0              0              0              0              0              0
             42              0              0              0              0              0              0
             43              0              0              0              0              0              0
             44              0              0              0              0              0              0
             45              0              0              0              0              0              0
             46              0              0              0              0              0              0
             47              0              0              0              0              0              0
             48              0              0              0              0              0              0
             49              0              0              0              0              0              0
             50              0              0              0              0              0              0
             51              0              0              0              0              0              0
             52              0              0              0              0              0              0
             53              0              0              0              0              0              0
             54   0.0067839998   0.0067836605   0.0059801668   0.0059798677   0.0077380002   0.0077376133
             55              0              0              0              0              0              0
             56              0              0              0              0              0              0
             57              0              0              0              0              0              0
             58              0              0              0              0              0              0
             59   0.0066218332    0.006621502   0.0051086667   0.0051084113   0.0089194997   0.0089190537
             60              0              0              0              0              0              0
             61              0              0              0              0              0              0
             62              0              0              0              0              0              0
             63   0.0065158335   0.0065155077   0.0055506668   0.0055503893   0.0077111663   0.0077107808
             64    0.013018833   0.0092052545       0.010919   0.0077209263    0.015756667    0.011142886
             65   0.0065059998   0.0065056745       0.005397   0.0053967302   0.0079953333   0.0079949335
             66              0              0              0              0              0              0
             67              0              0              0              0              0              0
             68              0              0              0              0              0              0
             69              0              0              0              0              0              0
             70    0.019345333     0.01117049      0.0157505   0.0091032769    0.024374667    0.014103821
             71              0              0              0              0              0              0
             72    0.013031666   0.0092143497       0.010669   0.0075466214    0.016303167    0.011537669
             73   0.0065195002   0.0065191742   0.0053760002   0.0053757313   0.0080798333   0.0080794293
             74    0.012840167   0.0090806379    0.010781666   0.0076427244       0.015528    0.010994222
             75    0.025594834    0.012802172    0.022511334    0.011277931    0.028932834    0.014677098
             76              0              0              0              0              0              0
             77    0.012682833   0.0089682894    0.010733167   0.0075984847    0.015176167    0.010739773
             78    0.032651333     0.01460281    0.026402667    0.011847378         0.0415    0.018677158
             79    0.039147334    0.015981138    0.032127334    0.013138731    0.048826167    0.019990926
             80        0.03212    0.014365464      0.0263425    0.011794777    0.040096501    0.017939628
             81    0.045712666     0.01727688    0.037633333    0.014251875    0.056784667    0.021542785
             82    0.025505333    0.012758674    0.022020333    0.011010346    0.029673667    0.014899968
             83    0.019529001    0.011274974    0.018676833    0.011055108       0.020141    0.011851161
             84    0.039263333    0.016030002    0.032872167    0.013465138    0.047840834    0.019706215
             85       0.039014    0.015926808    0.032601333    0.013340827    0.047521833    0.019472573
             86    0.045525333    0.017208248    0.035656833    0.013508873    0.060117333    0.022779441
             87        0.11668    0.027504425    0.097435168    0.022996937      0.1422465     0.03357601
             88      0.1083285    0.026325215    0.094331666    0.023114816     0.12601617     0.03082884
             89     0.11718633    0.027622106    0.097425501    0.023000235     0.14374017    0.033993376
             90      0.1033355    0.025839875    0.086330335     0.02165837      0.1259385    0.031648202
             91       0.221322    0.037962965     0.18452317       0.031687     0.27047517     0.04654072
             92      0.3187715    0.045541677     0.26638567    0.038134767      0.3883555    0.055745293
             93     0.64806984    0.064813104     0.53718133    0.053825835     0.79822866    0.080123881
             94     0.82736683    0.073168372     0.69404266    0.061486035      1.0032525    0.089595262
             95       0.900846    0.076486883      0.7473515    0.063556856      1.1084467     0.09438182
             96       1.030219    0.081712741     0.86585384    0.068761876       1.245752    0.099136703
             97      1.3716487    0.095063702      1.1543363    0.079907678      1.6557416     0.11601656
             98      1.5671213     0.10086703      1.3003372    0.083860122      1.9276153     0.12468446
             99      1.7428987     0.10650277        1.45892    0.089288688      2.1194642     0.13003013
            100      1.8922168     0.11096941      1.5799578    0.092782751      2.3088797     0.13592845
            101      2.0381603     0.11504692       1.702022    0.096184512      2.4867523     0.14079712
            102      2.3098828     0.12319266      1.9313893     0.10313892      2.8138233     0.15083064
            103      2.5202392     0.12797089      2.0988073     0.10676989      3.0864515     0.15732413
            104      2.6155935     0.13031104       2.174817     0.10854447      3.2086553     0.16044636
            105      2.5665235     0.12934545      2.1421517       0.107907      3.1340858     0.15952352
            106      2.7922897     0.13467389      2.3346867     0.11290641      3.4016176     0.16503061
            107      3.0225537     0.14021162        2.51845     0.11698382      3.6988367     0.17217815
            108      3.0426742     0.14052149      2.5270397     0.11693544      3.7393522     0.17350276
            109      2.8962103      0.1378295      2.4073883     0.11435829       3.555003     0.17095802
            110      3.2562937     0.14747912      2.7212518     0.12322056      3.9690988     0.18092742
            111      3.3352752     0.14784748      2.7614769     0.12209131      4.1152318     0.18497433
            112      3.4148017      0.1494668      2.8272555     0.12383856      4.2142345     0.18622414
            113      3.6663467     0.15520979      3.0377325     0.12836404      4.5195215     0.19338978
