#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      22426.836      9.6459408      18761.608      8.0824088      27288.161      11.903318
     0.31415927      17392.853      8.7178723      14522.921      7.2789472      21211.106       10.75599
     0.62831853      14078.346      7.9620825       11755.84      6.6464149      17167.387        9.81692
      0.9424778      11957.681      7.4076566      9994.4933       6.191085      14563.799      9.1062306
      1.2566371      10662.088      7.0137068      8928.3379      5.8767601      12955.046      8.6145021
      1.5707963      9850.7051      6.7585062      8265.3857       5.670894      11939.066      8.2679435
      1.8849556      9434.8022      6.6604366      7935.9044      5.6014675      11399.561      8.1419248
      2.1991149      9268.5351      6.6244275      7814.0412      5.5796933      11166.294      8.0702552
      2.5132741      9269.0892      6.5925782      7831.7114      5.5692031      11136.302      8.0028594
      2.8274334      9324.9783      6.6468597      7890.7268      5.6206466      11182.612      8.0584081
      3.1415927      9324.9783      6.6468597      7890.7268      5.6206466      11182.612      8.0584081
