#         pt_b2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2674.5274     0.75580248       2239.622     0.63257935      3249.2914     0.93392237
              5      2451.0055     0.73200527      2055.2792     0.61384472      2972.9769     0.89982856
             10      1157.7949     0.55780301      972.02983     0.46872483      1402.4636       0.682402
             15      574.87203     0.41170717      482.79732      0.3460741      696.15972     0.50440929
             20      313.84095     0.30880551      263.57648     0.25969287      380.09539     0.37783226
             25      185.44184      0.2403773      155.70372     0.20192664      224.67689     0.29434834
             30       116.6398     0.19152774      97.908366     0.16087332      141.37331     0.23433926
             35      76.509236     0.15545004      64.196741     0.13050906      92.782476      0.1902458
             40      52.759134     0.12932178      44.275583     0.10862908      63.970962     0.15832335
             45      37.287272     0.10860297      31.294109     0.09116563      45.229822     0.13308294
             50      27.248766    0.093381943      22.839087    0.078382617      33.148682     0.11477428
             55       20.40281    0.082079969      17.063017    0.068558314      24.881479     0.10133271
             60      15.394689    0.069958681      12.845609    0.058515218      18.821145    0.086417854
             65      11.891315    0.061431075      9.8989998    0.051246979      14.575321    0.075956963
             70      9.1879235    0.054754626      7.6441366    0.045557705       11.26882    0.067948257
             75      7.4342429    0.056346784      6.1794614    0.046298123       9.127533    0.070680805
             80      5.9022838    0.043299702      4.9039612    0.036065415      7.2495963    0.053680052
             85      4.7997771     0.03928142      3.9795134    0.032630104      5.9093918    0.048814937
             90      3.9193334    0.036184358       3.248082    0.029969283      4.8271319    0.045107158
             95      3.2885979    0.032356984      2.7273075    0.026895845      4.0473889    0.040193058
            100      2.6739796    0.029149509      2.2113315    0.024165018      3.3014523    0.036362826
            105      2.2526563     0.02726594       1.863839    0.022580401      2.7795961     0.03407949
            110      1.8686231    0.024387231      1.5478502    0.020249946      2.3028921    0.030357037
            115      1.6033149    0.022595651      1.3292307    0.018803974      1.9736633    0.028090819
            120      1.3597535    0.020776304      1.1263506    0.017269489      1.6755604    0.025847903
            125       1.134625     0.01903438     0.94016795    0.015789359       1.397479    0.023706975
            130      1.0135703    0.017999246     0.84132755    0.014971486      1.2461804    0.022370531
            135     0.88266869    0.017083682     0.72955536    0.014152146      1.0900593    0.021336765
            140      0.7433126    0.015396883     0.61509424    0.012786019     0.91662581    0.019171971
            145     0.65324946    0.014438007     0.54153264    0.011971327     0.80449357    0.018152044
            150     0.58911574    0.013650899      0.4895418    0.011382524     0.72303176    0.016899169
            155     0.51154495     0.01287257     0.42433269    0.010724822     0.62923019     0.01605101
            160     0.42456167    0.011639183     0.35340738   0.0096932825     0.51989493    0.014450666
            165     0.40695365    0.011364925     0.33875676   0.0095071289     0.49851716    0.014065606
            170     0.35705831    0.010683608     0.29753952   0.0089429492     0.43679965    0.013450675
            175       0.332482    0.011167895     0.27578679    0.009169501     0.40872933    0.014058385
            180     0.26842137   0.0092469128     0.22436715   0.0077435387     0.32712041    0.011413764
            185     0.24303822   0.0090537572      0.2012729   0.0074724194     0.29946543    0.011492103
            190     0.23005309   0.0085891921     0.19009438   0.0071215439     0.28415321    0.010707374
            195      0.2120922   0.0086743904     0.17605895   0.0071720557     0.26043439    0.010815501
            200      0.1687994   0.0073424419     0.14081011   0.0061453084     0.20616309   0.0090524148
            205     0.16787418   0.0073810959      0.1399556   0.0061463277     0.20517149    0.009171404
            210     0.14724158   0.0068494568     0.12280391   0.0057239689      0.1798608   0.0084742569
            215     0.12929999   0.0065963954      0.1083105   0.0055232633     0.15719974   0.0081414357
            220     0.12830968   0.0064448752     0.10714094   0.0053920542     0.15649612   0.0079420988
            225     0.10482246   0.0057776927    0.087773886   0.0048526461     0.12738534   0.0070882952
            230     0.10610397   0.0058418195    0.089056375   0.0049120324     0.12848611   0.0071494641
            235    0.096727491   0.0055971335    0.080732781   0.0046700531     0.11797639   0.0069173208
            240    0.093140712   0.0054641578    0.078317271   0.0046064146     0.11255955   0.0066687433
            245     0.07625912   0.0049048419     0.06420994   0.0041530381    0.092035078   0.0059716465
            250    0.065076679   0.0045460266    0.054429356   0.0038161908    0.079141929   0.0055770197
            255    0.066505018   0.0045953481    0.055315398   0.0038422654    0.081482465   0.0056709848
            260    0.057833101   0.0042956292    0.048098159   0.0035884111    0.070801753   0.0053063676
            265    0.056392325   0.0042930112    0.046740256   0.0035688328    0.069346242   0.0053369195
            270    0.054495174   0.0045998751    0.045698704   0.0038190619     0.06605086   0.0057164604
            275    0.050722841    0.004109243    0.042523745    0.003449895    0.061528708   0.0050436409
            280     0.04800453   0.0040719445    0.040572765   0.0034276328    0.057590268   0.0049576529
            285    0.042639688   0.0037401327    0.036177855   0.0031738206    0.050937391   0.0045251388
            290    0.036068555    0.003378711     0.03053471   0.0028812141    0.043210372   0.0040902264
            295    0.034107859    0.003303846    0.028699984   0.0027906573    0.041166523   0.0040277258
            300    0.030715046   0.0031198048    0.025718063    0.002624309     0.03729972   0.0038182845
            305    0.027476359   0.0029870655     0.02344088   0.0025472121    0.032604882   0.0035896732
            310    0.029561496   0.0030504904    0.025467243   0.0026404271    0.034649644   0.0036010402
            315    0.027195702   0.0029339582    0.022514502   0.0024415566    0.033470228    0.003638427
            320    0.022719216   0.0026781984     0.01910373   0.0022617492    0.027435702   0.0032579642
            325    0.012046747   0.0019547015    0.010167363   0.0016713949    0.014487307   0.0023987372
            330    0.019980928    0.002518017    0.016947043   0.0021460881     0.02386529    0.003029468
            335    0.022473309   0.0026684348    0.019305522   0.0023013119    0.026401216   0.0031604132
            340     0.01958373   0.0024909773     0.01646477   0.0021045516    0.023644442   0.0030290037
            345    0.015433045   0.0022063357    0.012855254   0.0018473766    0.018859584   0.0027159863
            350    0.018098039   0.0023991255    0.015586779   0.0020731111    0.021227083   0.0028352083
            355    0.018022345   0.0026073514    0.014961112   0.0021440034    0.022081633   0.0032633433
            360    0.014188403   0.0021171106    0.011952405   0.0017919055    0.017093597   0.0025760999
            365    0.016193341   0.0023138698    0.013932301   0.0019790282    0.018938359   0.0027569746
            370    0.011694502   0.0019237042    0.010055854    0.001662513    0.013733397   0.0022740942
            375    0.010798752   0.0018523077   0.0092476031   0.0015926214    0.012752437    0.002206066
            380   0.0086200802   0.0016593911   0.0074694758   0.0014420601   0.0099904522   0.0019340612
            385   0.0095387116   0.0017424768    0.008152517   0.0014947771     0.01126978   0.0020766387
            390   0.0082528851   0.0016187025   0.0068438255   0.0013472276    0.010114342   0.0019966284
            395   0.0073071228   0.0015237537   0.0061406803   0.0012863661    0.008822481    0.001854095
            400   0.0079182633   0.0015837169   0.0068256343   0.0013691236   0.0092523889   0.0018624883
            405   0.0066335174   0.0014478042   0.0056742937   0.0012483235   0.0078429932   0.0017359329
            410   0.0085506923   0.0016456696   0.0070620728   0.0013669601    0.010552637   0.0020481058
            415   0.0056740616   0.0013387772   0.0046838896   0.0011156559   0.0070340616   0.0016782678
            420   0.0061175511   0.0014048102    0.005257439   0.0012103404   0.0071782313    0.001655765
            425   0.0053619128   0.0013008986   0.0045586075   0.0011099894   0.0063769187   0.0015531483
            430   0.0071410885   0.0014920249   0.0061787595   0.0012946277   0.0083087154   0.0017493952
            435   0.0064339655   0.0014413871   0.0053832733   0.0012082605   0.0077890756   0.0017571884
            440   0.0089488035   0.0017582798    0.007512501   0.0014756764    0.010803785   0.0021562714
            445   0.0070594878   0.0015888104   0.0059073149   0.0013192429   0.0085657303   0.0019705736
            450   0.0059809924   0.0013733789   0.0051484513   0.0011867028   0.0070082273   0.0016216454
            455   0.0025437295  0.00098540555   0.0022260664   0.0008618773   0.0029025051   0.0011350939
            460   0.0057235613   0.0013492534   0.0047336774   0.0011211729   0.0070384154   0.0016703575
            465   0.0031515087  0.00099656051   0.0027956302  0.00088577066   0.0035464905   0.0011265254
            470    0.002537639  0.00089764412   0.0022614326  0.00080008321    0.002834902   0.0010025446
            475   0.0038296599   0.0011055412   0.0032693878    0.000945994   0.0045182233    0.001309608
            480    0.002572469   0.0009112349   0.0022023369  0.00078374648   0.0030231532   0.0010739841
            485   0.0048906843   0.0013993219   0.0039922849   0.0011284769   0.0061037375   0.0017887745
            490   0.0037941016   0.0010952563   0.0031880673  0.00092502716    0.004577383   0.0013324294
            495   0.0019054582  0.00077792786   0.0016288355  0.00066693505   0.0022460664   0.0009198607
            500   0.0019054582  0.00077792786   0.0016288355  0.00066693505   0.0022460664   0.0009198607
