#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      511.53032     0.88597727      435.72183      0.7533767      607.95444      1.0659185
              1      1487.8953      1.5051856      1268.7202      1.2838376       1766.037      1.8139319
              2      1848.6404      1.6690608      1576.0312      1.4218897      2195.0097      2.0094045
              3      1849.6003       1.670192       1575.665      1.4215684      2198.4853      2.0032233
              4        1742.63      1.6197661      1483.2611      1.3794449      2073.7815      1.9520246
              5      1588.8404      1.5535125       1350.542       1.319987      1894.1965      1.8681201
              6      1459.4133      1.4897965      1239.0029      1.2645906      1742.7459        1.79416
              7      1341.2017      1.4325234      1137.5445      1.2172798      1603.6224      1.7397137
              8      1234.6021      1.3728095      1045.5531      1.1632204       1479.095      1.6623051
              9       1139.998      1.3227737       964.3209      1.1192397       1367.809      1.6024086
             10      1059.0388      1.2740152      894.67882      1.0765683      1272.7944       1.543685
             11      984.87866      1.2335441      831.16424      1.0393865      1185.2559      1.5064046
             12      921.13391       1.189586      776.65776      1.0069241      1109.8346      1.4561015
             13      864.99066      1.1546972       728.4242     0.97261746      1043.8235      1.4050101
             14      814.07615      1.1292904      685.01512     0.95002069      983.35391      1.3779574
             15      766.44824      1.0879471      644.26156     0.91532741      927.06182      1.3284241
             16      723.86484      1.0570673      608.02948     0.88827908      876.33468      1.2900132
             17      686.13938      1.0305142      575.77166     0.86515486      831.70176      1.2585077
             18      648.74976      1.0027087      543.90583     0.84120237      787.27329       1.226915
             19       617.1877     0.97809491      517.04188     0.81981799      749.69813      1.1964554
             20      588.11416     0.95836489      492.25351     0.80222086      715.16552      1.1748369
             21      559.04485     0.93106768      467.75927     0.77981437      680.10683      1.1420412
             22         533.27     0.91144589      445.87569     0.76230632      649.32994      1.1185215
             23      509.43166     0.89076126      425.70038     0.74467742      620.72629      1.0945779
             24       486.6016      0.8697362       406.2457     0.72666025      593.60364      1.0684175
             25      466.34665     0.85253467      389.08067     0.71200367      569.35451      1.0499521
             26      444.19424      0.8329383      370.42109     0.69496354      542.62341      1.0251145
             27      425.84988     0.81580035      354.90036     0.68003406      520.61355      1.0054463
             28      409.33836      0.8001968      340.90114     0.66677241      500.86202     0.98640075
             29      391.91389     0.78279048      326.23879     0.65267766      479.81119     0.97165293
             30      375.81444     0.76634831      312.62852     0.63785824      460.48304     0.94619752
             31      361.43022     0.75321073      300.56146     0.62659969      443.03934      0.9303751
             32      346.33885      0.7517445      287.78051     0.62291278      424.96172     0.93275571
             33      333.49186     0.72317899      277.12158     0.60192524      409.16727     0.89638949
             34      320.91373     0.71163447      266.48491     0.59142954      394.06117     0.88222603
             35      308.03061     0.69552316      255.67349     0.57782939      378.45796     0.86248198
             36      296.21298     0.68176417       245.7593     0.56603675      364.12346     0.84464247
             37      286.52725     0.67359821      237.53416     0.55840152      352.55912     0.83513884
             38      275.41555     0.66184914      228.26699     0.54838423      338.98464     0.82103691
             39      266.00363     0.65077581      220.43507     0.53911974      327.46063     0.80836437
             40      255.53466     0.63401315      211.61275     0.52538236      314.83334     0.78637317
             41      244.96817     0.62172424       202.7655     0.51478242      301.99445      0.7722348
             42      237.66277     0.61301772      196.67607     0.50823112      293.06208     0.76316734
             43      230.09805     0.60186699      190.29902     0.49856636      283.94992     0.75163306
             44      220.23602     0.58979318      182.12579     0.48811353       271.7998     0.73394435
             45      213.73219     0.58069435      176.62526     0.48009434      264.00932     0.72271018
             46      206.37143     0.57242411       170.5238     0.47319155      254.94258     0.71268774
             47      198.41308     0.56242671      163.89196     0.46561362      245.20979      0.7055921
             48      192.47309     0.55248881      158.91674     0.45623733      237.99328     0.68843737
             49      185.65426     0.54104043      153.24421     0.44695181      229.63731     0.67413718
             50      185.65426     0.54104043      153.24421     0.44695181      229.63731     0.67413718
