# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      1668.5663      2.8868984      1376.0476      2.3834957      2067.4963      3.6034515
     0.31415927      1803.8831      3.0133343      1487.2583      2.4883793      2235.8028      3.7692115
     0.62831853      1938.3156      3.1076116      1598.9647      2.5659237      2400.5848      3.8796236
      0.9424778      2117.1667      3.2809861      1747.3964      2.7087326      2620.0689      4.1023467
      1.2566371      2437.9119      3.4897133      2012.6156      2.8826284      3015.6219      4.3533941
      1.5707963      2933.4833      3.8163415      2420.7423      3.1517274      3629.7806      4.7596167
      1.8849556      3721.4271      4.2976336      3068.7154      3.5440315      4608.0445      5.3669282
      2.1991149      4916.5268      4.9428841      4051.3559      4.0707966       6091.989      6.1859092
      2.5132741      6597.6259       5.664182      5430.9986       4.661839      8183.9739      7.0868484
      2.8274334      8388.5482      6.4444118      6895.2626       5.290158      10422.355      8.0921825
      3.1415927      8388.5482      6.4444118      6895.2626       5.290158      10422.355      8.0921825
