# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23              0              0              0              0              0              0
             24              0              0              0              0              0              0
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27              0              0              0              0              0              0
             28              0              0              0              0              0              0
             29              0              0              0              0              0              0
             30      366.34014     0.75679751      304.63909     0.62967526      449.05844     0.93480934
             31      352.46948     0.74384856      293.01267     0.61861666       432.2203     0.91915248
             32      337.67308     0.74282843      280.49657     0.61528434      414.46916     0.92210142
             33      325.31359     0.71436695      270.23716       0.594237       399.2803     0.88554249
             34      313.01475     0.70288684      259.86201     0.58402312      384.46574     0.87165854
             35      300.44592     0.68705401      249.30673     0.57062896      369.25672     0.85228412
             36      288.86981     0.67341234      239.59856     0.55892845      355.20945     0.83461495
             37       279.4747     0.66538396      231.62696     0.55143117      343.98038     0.82518972
             38      268.74361     0.65401625      222.69289     0.54176796      330.84272     0.81151631
             39      259.57457     0.64309433      215.05094      0.5325868      319.63779     0.79905472
             40      249.33441     0.62618819      206.43056      0.5187993      307.27039     0.77680724
             41      238.91725     0.61413783      197.69981     0.50833941      294.62832     0.76306075
             42      231.98485      0.6057756      191.93782     0.50212829       286.1227     0.75436384
             43      224.56043     0.59455978      185.67911     0.49242773      277.17941     0.74274873
             44      214.99287     0.58287157      177.75986     0.48228162      265.37342       0.725498
             45      208.44172     0.57360122      172.22233     0.47412302      257.52099     0.71404434
             46      201.52708      0.5657236      166.49436     0.46757561      248.99683      0.7044673
             47      193.54777     0.55568136      159.84745     0.45996545      239.23459     0.69736973
             48      187.88654     0.54601407      155.10817     0.45080529      232.35179      0.6804746
             49      181.20461     0.53460402       149.5459     0.44154694      224.17074     0.66624943
             50      181.20461     0.53460402       149.5459     0.44154694      224.17074     0.66624943
