#      n_b_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      920.59606      2.5341748      782.01124      2.1426756      1098.8749      3.0677059
            0.5      6094.5204      5.8582252      5126.7854      4.9465544      7363.4882      7.2253622
            1.5      31832.232      6.3899764      26668.691      5.3671025      38657.109      8.1369522
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
