#     total-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      11004.214      3.5500191      9247.4493      2.9831881      13316.616      4.3630315
              1      11004.214      3.5500191      9247.4493      2.9831881      13316.616      4.3630315
