#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      160.29143      3.2979316      131.67459      2.7152023      199.35527      4.1142174
           -4.9      193.80399      3.6213393      159.48609      2.9960278       240.5044      4.5383813
           -4.8      244.78819      4.0684304      201.48645      3.3496779      303.73239      5.0795036
           -4.7       294.1292      4.4529263      242.64827      3.6816601      363.92426        5.53623
           -4.6      359.92947      4.9197812      297.20216      4.0621279      444.79759      6.1406634
           -4.5      452.91752      5.5043654       373.4936      4.5409723      560.67091      6.8523223
           -4.4       545.7275      6.0482336      450.78854      5.0031983      674.16895      7.5014081
           -4.3      673.64358      6.6938607      557.16992      5.5405748      830.84972      8.2983616
           -4.2      808.82616      7.3383216      668.95946       6.072483      997.63202      9.1024526
           -4.1       962.4334      8.0510539      796.92722      6.6773065       1185.409      9.9564477
             -4      1129.2306      8.6436878      936.22352      7.1702651      1388.6812      10.704492
           -3.9      1341.9681      9.4050249      1113.4714      7.8126066      1648.6509      11.619116
           -3.8      1556.5225      10.139206       1291.957      8.4209491      1911.4261      12.525155
           -3.7      1824.9636      10.985264       1515.118      9.1236727      2240.4329      13.554273
           -3.6      2068.4827      12.637525      1718.5069      10.518428      2537.2112      15.571373
           -3.5      2352.1379      12.431883      1956.8241      10.345764      2880.3197      15.315255
           -3.4      2610.3927      13.066418      2173.2101      10.891107       3193.817      16.131573
           -3.3      2902.7852      13.791224      2416.3467      11.482855      3552.0592      16.980617
           -3.2        3178.06      14.480775      2651.4681      12.335934      3878.1097       18.59819
           -3.1      3447.0387      15.018364      2875.2948      12.539262      4207.6481      18.486709
             -3      3745.5525       15.75975      3126.5917      13.152994      4567.7926      19.388705
           -2.9      4012.0005      16.248078      3350.7517      13.579453      4889.6479      20.381026
           -2.8      4268.3336      16.634408      3564.8079      13.896555      5202.2302      20.405557
           -2.7      4485.7201       17.08091      3750.1729      14.296696      5460.3643      20.965724
           -2.6      4729.1251      17.506589      3953.0631      14.637954      5757.9455      21.469287
           -2.5      4896.8858      17.805771      4096.5734      14.908858      5956.4173      21.825919
           -2.4      5096.9874      18.220835      4265.4943       15.24704      6197.3465      22.338127
           -2.3      5273.1603      18.486228      4416.0503      15.482539        6405.81      22.613244
           -2.2      5359.2698      18.737795      4488.9972      15.685627      6509.1269      22.940685
           -2.1      5542.0386      19.587174      4645.8687      16.347968        6724.44      24.122492
             -2      5628.0971      19.122398      4721.0842      16.037531      6823.4056      23.405457
           -1.9      5712.0354      19.305791      4789.6934      16.184805      6928.6969      23.604011
           -1.8      5792.5647      19.308578      4863.4658      16.217156      7015.3644      23.559211
           -1.7      5818.9356      19.424022      4888.4833       16.36013      7042.2912      24.181532
           -1.6      5847.5793      19.478828      4914.0209      16.353346      7074.4019      23.902991
           -1.5      5923.3526       19.72122      4974.8295      16.550819      7171.7649      24.072934
           -1.4      5970.1378      19.685411       5019.799      16.551875      7218.1009      24.027667
           -1.3      6007.4197      19.801608      5049.2335       16.62963      7266.9582       24.15666
           -1.2      6049.8828      19.741021       5089.819      16.607635      7309.7031      24.070936
           -1.1      6006.7412      19.697718      5053.2845      16.571658      7258.2145      24.013604
             -1      6057.8791      19.822715      5098.5348      16.674773      7316.2124      24.185891
           -0.9      6043.4034      19.839236       5089.606        16.6702       7292.583      24.382346
           -0.8      6026.2597      19.783814      5074.1144      16.644594      7274.2551      24.118637
           -0.7      6056.9625      19.797419       5101.245      16.671944       7309.151       24.10846
           -0.6      6034.5366      19.725866      5082.8273      16.625661      7281.2596       24.14971
           -0.5      6052.9025      19.759368      5097.6458      16.630484      7304.7982      24.061576
           -0.4      6009.6926        19.7616      5063.9454      16.634988       7247.881       24.08467
           -0.3      6032.0854      19.720386      5081.7333       16.62244      7276.9949       24.00289
           -0.2      5975.4119      19.647001      5033.6599      16.550534      7209.1109      23.923856
           -0.1      6015.1913       19.71361      5068.8905      16.608334      7254.0084      24.026379
              0      6023.7887      20.437456      5080.5753      17.399216      7255.8984      25.766908
            0.1      6050.2585      19.834153       5099.305      16.710594      7294.7818      24.172364
            0.2      6035.5228       19.77913      5087.2098      16.669361      7276.2843       24.10513
            0.3      6015.9256      19.669126      5069.5294      16.575924      7254.6855      24.007045
            0.4      6027.9875      19.689183      5076.9739      16.589517      7274.1363      23.964931
            0.5      5998.1897      19.675059      5049.2028      16.559761      7242.9089      23.949466
            0.6      6020.6727      19.881443      5070.9527      16.726435      7264.7529      24.252237
            0.7      5995.7854      19.818149      5048.6336      16.665027      7237.1275      24.168641
            0.8      6037.6547      19.745437      5082.4753      16.630863      7290.0815      24.095135
            0.9      6049.2102      19.751932      5092.3913      16.635123      7303.5633      24.059589
              1      5989.9577      19.659315      5039.2922      16.549793      7237.7381      23.938221
            1.1      6007.0196       19.65212      5052.3614        16.5293       7260.446      23.939783
            1.2      5988.8638      19.656912      5038.2237      16.600067      7236.1052      24.153963
            1.3      5956.2005      19.565121      5006.9615      16.459229      7203.4544      23.879512
            1.4      5956.6883      19.587595      5006.4164      16.464109      7205.4035      23.884602
            1.5       5907.747      19.511012      4962.7741      16.393227      7150.6964       23.79103
            1.6      5856.4208       19.43944       4917.473      16.324404      7092.2405      23.722774
            1.7      5805.0706      19.454786      4871.7445      16.328205      7034.4643      23.762863
            1.8      5733.8025      19.248711      4810.7881       16.15628       6950.096      23.487045
            1.9       5609.894      19.119088      4704.2891       16.02904      6804.1175      23.398555
              2      5529.3455      18.913109      4637.3351      15.871613      6705.1394      23.138322
            2.1      5377.5621      18.651212        4506.27       15.63526      6527.8444      22.808383
            2.2      5238.8336      18.384809      4388.5245      15.408319      6362.0308       22.47273
            2.3      5080.8953      18.154382      4252.2278      15.205316      6177.4857      22.248637
            2.4      4887.0316      17.831397       4091.084      15.341819      5939.0854      23.000868
            2.5      4747.7888      17.569688      3970.0929      14.708718      5778.0131      21.554613
            2.6       4467.125      17.030343      3733.9023      14.241828      5439.0806      20.861425
            2.7      4248.9091      16.614219      3548.8666      13.886281      5178.0274      20.390854
            2.8      3990.8705      16.322973       3330.701      13.640623      4868.3874      20.027478
            2.9      3759.0662      15.620307      3134.4879      13.036017      4590.3837       19.17385
              3      3460.8082      15.100326      2886.0845      12.595176      4225.4366      18.577906
            3.1      3161.0232      14.371133      2634.7868      12.002707      3861.8731      17.690451
