#         m_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            750      2.1124289    0.037805954      1.6277102    0.029253282      2.8049005    0.050248391
            760      1.9575296    0.036604495      1.5085776    0.028293979       2.598613    0.048652771
            770      1.9785284    0.036406901      1.5238505    0.028132128      2.6284188    0.048663657
            780      1.8072324    0.035186071      1.3912778    0.027219403      2.4019883     0.04689741
            790      1.7837446    0.034751877      1.3715984    0.026792678      2.3732804    0.046286251
            800      1.7214192    0.037837084      1.3249361    0.029222949      2.2884272      0.0503217
            810      1.6751995    0.035919242      1.2875956    0.027986638      2.2301632    0.047369508
            820      1.5581297    0.032308257      1.1990315    0.024922199      2.0717862    0.043078931
            830      1.5296497    0.032818934      1.1733473    0.025189249      2.0403273    0.043903822
            840      1.4439357    0.032879369      1.1093043    0.025537571      1.9233061    0.043534011
            850      1.4086375    0.031591319      1.0805649    0.024303838       1.878669    0.042161846
            860      1.3300602     0.03027314       1.017773    0.023240857      1.7784162    0.040494756
            870       1.260803    0.029321395      0.9657075    0.022528424      1.6844418    0.039273419
            880      1.2324011    0.029356845     0.94446853    0.022570487      1.6454279    0.039227389
            890      1.1751674    0.028726331     0.90097974    0.022080947      1.5686339    0.038418393
            900      1.1478966    0.029529544     0.87708002    0.022702215      1.5372428    0.039440812
            910      1.0626638    0.027208751     0.81165062    0.020725644      1.4238074    0.036674388
            920      1.0824267    0.027118975     0.82672227    0.020745624      1.4502993    0.036410026
            930      0.9875733    0.025942611     0.75447392     0.01989197      1.3227842    0.034760793
            940     0.92131488    0.026056139      0.7015621    0.020057813      1.2381651    0.034762396
            950     0.95186984    0.025907619     0.72775598     0.01988278      1.2741108    0.035145093
            960     0.91117099    0.024871592     0.69310331    0.018943105      1.2258111    0.033529819
            970     0.87182992    0.024618516     0.66367733    0.018804273      1.1720892    0.033109635
            980     0.82559873     0.02341204     0.62841402    0.017829277      1.1101146    0.031575878
            990     0.82115575      0.0237777      0.6256699    0.018156478       1.102835    0.031974252
           1000     0.82115575      0.0237777      0.6256699    0.018156478       1.102835    0.031974252
