#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      409.83305      2.6389512      348.09345      2.2253719      489.38739      3.2081488
           -4.9      494.06254        2.90485      419.97298       2.464887      589.26958      3.5320266
           -4.8      582.48777      3.1314566      494.95777      2.6507389      695.05642      3.7816982
           -4.7      696.36486      3.3745002      591.77717      2.8581299      830.79159      4.0723268
           -4.6      816.09656      3.6413665      693.62612      3.0860602      973.38772      4.3924509
           -4.5      936.39469      3.8899297      796.21239      3.3083297      1116.1659      4.6963466
           -4.4      1083.7382      4.2268374      921.42943      3.5843296      1291.8427      5.0838356
           -4.3      1222.3905      4.4271811      1039.8882      3.7613553      1455.9781      5.3224408
           -4.2      1379.0765      4.7433956      1172.5715      4.0229483       1643.681       5.718435
           -4.1      1533.2614      5.1632214      1303.4239      4.3598425      1827.8264      6.2606474
             -4      1707.1652       5.392907      1451.5206      4.5660693      2034.5574      6.5299624
           -3.9      1883.4846      5.4725346      1600.9278      4.6484271      2245.5875      6.5770952
           -3.8      2058.6776        5.81269      1749.9514      4.9281223      2454.1612      7.0253981
           -3.7      2234.7987      5.9699785      1898.6774      5.0727021       2665.838      7.1874116
           -3.6      2407.9933       6.171532      2045.2037      5.2382578      2873.5535      7.4260715
           -3.5      2592.7715      6.5226588      2200.8532      5.5254794      3096.3804        7.90484
           -3.4      2783.3368      6.6195654      2360.4785      5.6128795      3327.8488      7.9716424
           -3.3      2952.0127       6.815551      2502.9628      5.7802897      3530.4707      8.2180522
           -3.2       3135.452      7.0168633        2656.54      5.9451352      3753.4894      8.4664012
           -3.1      3315.7785      7.2223662      2808.7238      6.1467889      3970.3824      8.8630444
             -3      3496.4532      7.4195653      2958.2723      6.2775803      4193.1561      8.9696987
           -2.9      3650.0705      7.6435959      3085.8344      6.4611907      4381.8523      9.2435276
           -2.8       3840.123      7.7676999      3245.0728      6.5712078      4612.6727      9.4339795
           -2.7      3993.8681       7.907678       3370.603      6.6739343      4805.3303      9.5822241
           -2.6      4149.8083      8.1035603      3500.1035      6.8316102       4996.755       9.858504
           -2.5      4308.4626      8.2699543      3631.6891      6.9785124      5191.9345      10.067294
           -2.4      4456.2497      8.3401251      3751.4706      7.0228606      5378.8745      10.144449
           -2.3      4587.9644      8.4888525      3859.4348      7.1392175      5543.1517      10.348485
           -2.2      4738.0934      8.5986709      3982.7703      7.2280982      5729.9715      10.484945
