# n_light_jets-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS
           -0.5      302.44773     0.68517307      255.16956     0.57819155      364.37417     0.83728432
            0.5      10701.766      3.5202551      8992.2798      2.9578251      12952.242      4.3258156
            1.5              0              0              0              0              0              0
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
