#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      77.413467     0.35663077      65.230547     0.30042854      93.275923     0.43804986
              1      231.29771     0.61654513      194.75703     0.51837788      278.96459     0.75072692
              2      378.81375     0.79019099       319.0849     0.66634709      456.67807      0.9667732
              3      513.18101     0.90629182       432.0727     0.76221891      619.03757      1.1026596
              4      629.51007      1.0161252      529.92937     0.85346041       759.5431      1.2383659
              5      726.26242      1.0677851      611.30656     0.89809443      876.42165      1.3017824
              6      807.95924      1.1209155      680.06098     0.94384565      975.05045      1.3660281
              7       866.0859      1.1570751      728.84988     0.97330818      1045.4694      1.4109304
              8      913.49354      1.1859848      768.71146     0.99764431      1102.7826      1.4442937
              9      944.89976      1.2040344        795.092      1.0133401      1140.7991      1.4679549
             10      964.04538      1.2175949      811.10264      1.0238795      1164.1305      1.4854584
             11      976.67912      1.2235184      821.63816      1.0293954         1179.6      1.4917004
             12       974.4556      1.2236114      819.75607      1.0277407      1176.9326      1.5013202
             13      968.47431       1.217109      814.68391      1.0256077      1169.8163       1.487289
             14      957.74051      1.2117127      805.66299      1.0193202      1156.8561      1.4774192
             15      940.69898      1.2015817      791.25167      1.0109468      1136.4319      1.4670003
             16      921.62576      1.1942102      775.10074      1.0058176      1113.6094      1.4591017
             17      901.19645      1.1752685      757.86757     0.98860844      1089.0468      1.4318223
             18      876.76511      1.1596941      737.25358     0.97526412      1059.6592      1.4131934
             19      849.13358      1.1415994      713.91707     0.96005541      1026.4725       1.392468
             20      826.68395      1.1271584      695.08702     0.94949451      999.26885      1.3803996
             21       798.1525      1.1073733      671.02263     0.93510548      964.93933      1.3607825
             22      772.07034      1.0912708      649.13082     0.91877968      933.34839      1.3385389
             23      746.03535      1.0741403      627.09112     0.90270555      902.16712      1.3099494
             24      720.71325      1.0576886      605.66288     0.88882221       871.8291       1.289486
             25       695.5735      1.0386108      584.43415     0.87280318      841.61193      1.2669812
             26      669.56009      1.0177157      562.67239      0.8554554      809.97523      1.2418515
             27      646.29208      1.0075433      543.00022     0.84575338      782.06403      1.2309754
             28      620.65323     0.98150542       521.3457     0.82487785      751.24631      1.1986593
             29      596.98916     0.96153129      501.40209     0.80814305      722.73706      1.1737833
             30      573.57707     0.94573927      481.66077     0.79390343      694.54577      1.1546362
             31      554.26905     0.93056637      465.39387     0.78099274      671.27138      1.1361054
             32      533.80164     0.92805693      448.07849     0.77684312      646.72799      1.1371798
             33      510.78788     0.89111659      428.78487     0.74833746      618.81136      1.0881779
             34       491.2665     0.87584231      412.28859     0.73506158      595.36388      1.0710264
             35      471.38874     0.85797275      395.43989     0.71995507      571.59243      1.0492087
             36      456.03551     0.84218963      382.62147     0.70701267      552.87234      1.0287434
             37      438.13769     0.82951712      367.59102     0.69598847      531.20614       1.015149
             38      421.56479     0.81285861      353.46642      0.6813615      511.51179     0.99419289
             39      405.27603      0.7966965      339.82382     0.66803734      491.72963     0.97404699
             40      388.13838      0.7831916      325.37748     0.65603962      471.08878     0.95873537
             41      374.40389     0.76654497       313.7622     0.64248485      454.60714     0.93809892
             42      359.37998     0.74965701      301.19465     0.62862366      436.32846     0.91702989
             43      347.44419     0.73682383      291.15281     0.61903668      421.91539      0.9103155
             44      332.46701     0.72278648      278.59123     0.60673562      403.74406     0.88780028
             45      320.34707     0.72045963      268.35488     0.60631086       389.1766     0.89873722
             46      308.80237     0.69576686      258.57411     0.58281775      375.36696     0.85286579
             47      296.56867     0.68359994       248.2613     0.57223744      360.62858     0.83795967
             48      285.27043     0.67377801       238.7109     0.56355639      347.05482     0.82735157
             49       274.9276     0.67013878      230.10432     0.55963846      334.39438     0.82437613
             50       274.9276     0.67013878      230.10432     0.55963846      334.39438     0.82437613
