#         pt_j1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1428.3613     0.60794615      1217.1085     0.51786003      1697.1517     0.73287979
              5      1324.7511     0.59028841      1123.5345     0.50086673      1584.0366     0.71442482
             10      906.98012     0.50394172      764.58826     0.42505853      1093.0132     0.61502944
             15      671.52592      0.4398336      563.39437     0.36924809      814.18481     0.53793649
             20      521.80339      0.3921981      436.11768     0.32796986      635.65937      0.4817833
             25      416.66713     0.35310894      347.13326     0.29442038      509.58585      0.4359587
             30      338.96221     0.32189023       281.6495     0.26747076      415.89879     0.39872909
             35      279.42172     0.29306198      231.65522     0.24300959      343.78541     0.36367232
             40      231.95796      0.2673165      191.90143     0.22138879      286.11485      0.3327047
             45      194.52154     0.24588748      160.64364     0.20322793      240.45499     0.30679979
             50      163.75394     0.22887549      134.97165      0.1884928      202.89496     0.28645959
             55       138.5868     0.21133125      114.07495     0.17381511      171.98848     0.26478962
             60      118.18524     0.19464918      97.155592     0.15997227      146.89471     0.24398189
             65       100.5983     0.18003735       82.64621      0.1478818      125.12803     0.22614177
             70      86.562203     0.16662158      71.023253      0.1367478      107.83114     0.20946807
             75      74.587959     0.15367118      61.138783     0.12601754      93.023036     0.19292319
             80      64.465608     0.14707544      52.810189      0.1202257      80.452297     0.18541357
             85      56.014249     0.13376968      45.842733     0.10954059      69.983474     0.16834694
             90      48.683629     0.12429062      39.816547     0.10170769      60.872324     0.15642528
             95      42.470968     0.11759869      34.734039    0.096207088      53.104503     0.14859163
            100      37.127399     0.11001086      30.347327    0.090075756      46.452494     0.13849819
            105      32.432901     0.10197431      26.500393    0.083358285      40.595292     0.12848438
            110      28.853681     0.10303632      23.563992     0.08363742      36.134651     0.13093678
            115      25.359676    0.090537591      20.702621    0.073935601      31.773088     0.11426652
            120      22.386952    0.085044342      18.265908    0.069408385      28.066281      0.1072626
            125      19.845986    0.080534825      16.196761    0.065869528      24.872536     0.10188699
            130      17.738937    0.076711402      14.468705      0.0625699       22.24595    0.097194755
            135       15.59384    0.070511493      12.723395    0.057548485      19.547568    0.089009261
            140      13.927256    0.066901418      11.359496    0.054643569      17.464765    0.084482567
            145      12.560454    0.063510648      10.237417    0.051794916      15.763847    0.080162002
            150      11.333494    0.060489806      9.2391505    0.049348015      14.239308    0.076543779
            155      10.219639    0.057279446      8.3299731    0.046750143      12.846377    0.072579547
            160      9.0794844    0.053642889      7.3892508    0.043775456      11.437153    0.068059459
            165      8.2483809    0.051269386      6.7066254     0.04184138      10.401933    0.065170516
            170      7.3373478    0.048413816        5.96443    0.039434038      9.2562846    0.061637579
            175      6.7822911    0.053477825      5.4991588    0.043090664      8.5785961    0.068498025
            180      6.0445599    0.044172755      4.9038141    0.035934059      7.6419879    0.056244824
            185      5.5219688    0.042006222      4.4722143    0.034113358      6.9948784    0.053633579
            190      5.0597057    0.040849523      4.0879444    0.033069524      6.4261212    0.052266155
            195      4.6350838    0.038770545      3.7444798    0.031404618      5.8878063    0.049594758
            200      4.1942051     0.03747466      3.3929639    0.030433202      5.3203332    0.048202633
            205      3.7670785    0.034523821        3.03843    0.027942958      4.7944085    0.044240596
            210       3.465226    0.040829508      2.7945566    0.032535989      4.4111209    0.052898661
            215      3.1941431    0.032383142      2.5735217    0.026136532      4.0695226    0.041588106
            220      2.9256008     0.03053623      2.3529147    0.024643367      3.7349345    0.039246469
            225      2.7205682    0.029472912       2.184812    0.023749048      3.4788588    0.037957656
            230      2.4464674    0.027922578      1.9608233    0.022460434      3.1351843    0.036005353
            235      2.2834821    0.031070022      1.8319592    0.024817167      2.9230941    0.040191306
            240      2.0778553    0.025925469      1.6655699    0.020841267      2.6629915     0.03344849
            245      1.9526502    0.025429574      1.5630934    0.020413185      2.5060005    0.032852956
            250      1.7794465    0.023886262      1.4243362    0.019193524      2.2840483    0.030849957
            255        1.65522    0.024723347      1.3213946    0.019638191      2.1305858    0.032266093
            260      1.5070123    0.022301385      1.2059443    0.017886575      1.9351186    0.028845299
            265      1.4046612    0.021444776      1.1193055    0.017112296      1.8120087    0.027914046
            270       1.301992     0.02079738      1.0391886     0.01661684      1.6766292    0.027019492
            275      1.1723484    0.019280002     0.93800323    0.015482941      1.5059207    0.024932177
            280      1.1061984    0.018793037     0.88091445    0.015031863      1.4282298    0.024424615
            285     0.98517309    0.017651475     0.78476888    0.014119579      1.2714394    0.022917257
            290     0.93669966    0.017274345     0.74470942    0.013783452      1.2114898    0.022486931
            295     0.88604252     0.01687437     0.70440281    0.013454191       1.146222     0.02199147
            300     0.83449458    0.016479434     0.66525367    0.013183786      1.0763365    0.021400767
            305     0.77309358     0.01583357     0.61337191    0.012608973       1.002161     0.02065945
            310     0.75775809    0.025304699     0.60072423    0.019758083     0.98270797    0.033301399
            315     0.65394469     0.01473176      0.5199831    0.011740315     0.84578341    0.019226348
            320     0.64768238    0.015132359      0.5133201    0.011988544     0.84062241    0.019820271
            325     0.59139397    0.013688034     0.46804229    0.010878623     0.76866681    0.017895323
            330     0.56837094    0.013500313     0.44981532    0.010722881     0.73877264    0.017661803
            335     0.54222018    0.027476841     0.42842972    0.021788327      0.7058512    0.035466607
            340     0.46934405    0.012258978     0.37279913   0.0097754194      0.6077358    0.015983736
            345     0.44357768     0.01193975     0.35186603    0.009498105     0.57531192    0.015624086
            350     0.42180094    0.011578117     0.33319204   0.0091913128     0.54957453    0.015188839
            355     0.39815783    0.011214906     0.31493562    0.008906713     0.51804117    0.014688143
            360     0.38122704    0.012618774     0.29957259   0.0098851117     0.49942433    0.016680256
            365     0.34090937    0.010459442     0.26998975   0.0083154387     0.44289561    0.013676438
            370     0.32322524    0.010138701     0.25515172   0.0080394523     0.42147012    0.013301361
            375     0.31282851   0.0099683015     0.24584524   0.0078639876     0.41001158    0.013159971
            380     0.28806654    0.010491282     0.22595946   0.0082166665     0.37805539    0.013890773
            385     0.28577756    0.012348802     0.22463236   0.0096412974     0.37416872    0.016323275
            390     0.25064385   0.0088759682     0.19662633   0.0069962094     0.32901404    0.011717004
            395     0.23541849   0.0087809545     0.18518202    0.006930583      0.3083194    0.011595968
            400     0.24996639    0.011658133     0.19530712   0.0090739605      0.3293828    0.015454857
            405     0.21115583   0.0081862725     0.16793736   0.0065185144     0.27320562    0.010725189
            410     0.19959269   0.0079919338     0.15627084   0.0062795564     0.26265253    0.010595041
            415     0.20688987   0.0081539466     0.16301341   0.0064515727     0.27023279    0.010718048
            420     0.17711702   0.0075100696     0.13778707   0.0058629177     0.23463969    0.010014408
            425     0.17521237   0.0074666702     0.13761108   0.0058943814     0.22981802   0.0098578774
            430     0.15918417    0.007076723     0.12425549   0.0055507443     0.21013907   0.0093978841
            435     0.15653903   0.0070325497     0.12227397   0.0055170413     0.20652912   0.0093366906
            440     0.14604976   0.0068053505     0.11364845   0.0053158076     0.19334405   0.0090601242
            445     0.14009144    0.006693254     0.10911478   0.0052299616      0.1854045   0.0089295168
            450      0.1363787    0.006559723     0.10648323   0.0051467337     0.17999774   0.0087133202
            455     0.11983966   0.0061945716    0.093011309   0.0048285202     0.15917297   0.0082799236
            460     0.10615444   0.0058244606    0.082075686   0.0045217827     0.14149958   0.0078106634
            465      0.1224608   0.0062418515    0.095114646   0.0048640109     0.16255986   0.0083482138
            470     0.10979742   0.0059476573    0.085806315     0.00466493     0.14484483   0.0079015709
            475    0.096187811   0.0055113288    0.074865146   0.0043110087     0.12736832   0.0073421408
            480     0.09781062   0.0056541348    0.075919264   0.0044072999     0.12986019   0.0075545625
            485    0.095350652   0.0056886163    0.074230172   0.0044495327     0.12617883    0.007574121
            490    0.085003618   0.0051935305    0.066489132   0.0040822076     0.11206086   0.0068929544
            495     0.08124413   0.0050799937    0.063476095   0.0039913684      0.1072811   0.0067598431
            500     0.08124413   0.0050799937    0.063476095   0.0039913684      0.1072811   0.0067598431
