# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      551.21682      1.6749474      446.20864      1.3582022      698.15996      2.1346659
     0.31415927      595.64395        1.75285      482.20534      1.4207557      754.35419      2.2354554
     0.62831853       641.7648      1.7980238       520.3371      1.4600626       811.2589      2.2860788
      0.9424778        703.639      1.9437673      571.80068       1.578988      887.00538      2.4675304
      1.2566371      827.85151      2.0613935      675.13646      1.6834268      1039.0779      2.6095853
      1.5707963      1027.6969      2.2959993      840.74637      1.8805266      1284.9338      2.8948919
      1.8849556      1382.6186      2.6550856      1134.1612      2.1779428      1722.7924      3.3329868
      2.1991149      1985.2389      3.1865434      1631.4296      2.6163556      2467.8158      3.9970599
      2.5132741      3009.3294      3.8960335      2472.1229      3.2004034      3741.6139      4.8866628
      2.8274334      4357.0346      4.7640531      3571.0819      3.8974008      5430.8812      5.9969547
      3.1415927      4357.0346      4.7640531      3571.0819      3.8974008      5430.8812      5.9969547
