#total-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      38601.272      1.2928686      32376.097      1.0912972      46813.797      2.0725236
              1      38601.272      1.2928686      32376.097      1.0912972      46813.797      2.0725236
