#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            2.9      4544.0163      8.4180634      3796.7633      7.0390604      5534.5607      10.318913
              3      4347.8169      8.2700378      3631.4472      6.9101277      5297.8987      10.143143
            3.1      4117.9734      8.0538204      3438.9475      6.7314553      5018.5101      9.8721554
            3.2        3888.41      7.7903807      3246.5509      6.5660151      4739.8019      9.7125137
            3.3      3603.0658      7.5043701      3006.4523      6.2655053      4395.2284      9.2056113
            3.4      3326.8425      7.2131741      2774.2072      6.0184818      4061.3694       8.850161
            3.5       2985.899      6.8814033      2489.1452      5.7400892      3646.3759       8.458912
            3.6      2660.6926      6.5268995      2217.3743      5.4430951       3250.356      8.0111895
            3.7      2301.7246      6.0132512      1917.7594      5.0129525      2812.6569         7.3843
            3.8      1967.1287       5.577363      1637.9212      4.6461625      2405.6367      6.8527758
            3.9      1607.1984      5.0829321      1338.0678      4.2332123       1965.716      6.2470663
              4      1283.5694      4.5312268      1067.5552      3.7725888      1571.8691      5.5832659
            4.1      981.90735      3.9754833      816.51874      3.3135111      1202.7022      4.9121824
            4.2      717.39142      3.4368447      595.75347        2.85543      880.18479      4.2326061
            4.3      485.39553      2.8475918      403.18985      2.3688453      595.34821       3.533734
            4.4      304.96992      2.2479575      252.55312      1.8626843      375.45138       2.777615
            4.5       172.3531       1.677602      142.15042      1.3866626      212.35225      2.0724733
            4.6      86.424678      1.1692162       70.65986     0.95755319      107.45574      1.4619212
            4.7      36.993543      0.7396856      30.042768     0.60222235      46.329768     0.93113633
            4.8      13.430498     0.43714999      10.871905     0.35533782      16.890856     0.55742707
            4.9      5.1735173     0.27506228      4.1630018     0.22131575      6.5998818     0.35254533
              5      5.1735173     0.27506228      4.1630018     0.22131575      6.5998818     0.35254533
