#  pt_bb-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            405      0.1734134      0.0150987     0.13083373    0.011418319     0.23601823    0.020598082
            410     0.13798417    0.013469387     0.10504233    0.010292047     0.18608847    0.018238117
            415     0.14767603    0.014022984     0.11298777    0.010779655      0.1982417    0.018906972
            420       0.123394    0.012829467    0.093235034   0.0097137443     0.16773003    0.017493287
            425      0.1143738    0.012264519      0.0867216   0.0093299887     0.15490877    0.016664347
            430      0.0900954    0.010848463      0.0670629   0.0080874869     0.12419503    0.014971061
            435    0.092966933    0.011035695    0.070416867   0.0083811479     0.12608733    0.015015743
            440    0.082034467    0.010572056    0.062542967   0.0080689341      0.1104619    0.014303671
            445     0.11827873    0.013812287      0.0894236    0.010544028      0.1606781    0.018661108
            450     0.11482113     0.01315406    0.086224933   0.0099672382      0.1570433    0.017896423
            455    0.091651733    0.011098656      0.0689097   0.0083594404     0.12523487    0.015211007
            460    0.098608099    0.011389342      0.0751289   0.0087028078      0.1330103    0.015418481
            465    0.085072767      0.0105563    0.063679767   0.0079166239     0.11671663    0.014515624
            470    0.073347833   0.0098048878    0.055850567   0.0074886292    0.098992067    0.013284058
            475      0.0753482   0.0099864591    0.057152767   0.0075961627     0.10209383    0.013568496
            480    0.060610833   0.0089413184      0.0459976   0.0068023239    0.082120267    0.012153923
            485    0.078102866    0.010087541    0.059084234   0.0076623391     0.10613273    0.013763644
            490    0.070987267   0.0096629292    0.052900833   0.0072139088    0.097884667    0.013357931
            495      0.0551472   0.0085103723    0.041308633   0.0063876768    0.075593467    0.011690088
            500      0.0585244   0.0089645436    0.044410267   0.0068205374      0.0793942      0.0122599
            505      0.0483106   0.0081916994    0.035916033   0.0060626779    0.066832934      0.0114218
            510    0.046555933   0.0078997039      0.0347158   0.0058986874    0.064173433    0.010912225
            515    0.062421466   0.0091272885    0.046475733   0.0068086539    0.086193433    0.012631813
            520      0.0498704   0.0080906936      0.0370983   0.0060303678    0.068839967    0.011190262
            525    0.033212067   0.0066449489    0.024615167    0.004931421    0.046015067   0.0092197494
            530    0.044521766   0.0076356772    0.034121033    0.005877812    0.059742533    0.010284802
            535    0.047217233   0.0078821767    0.034545967   0.0057733792    0.066256233    0.011070094
            540    0.040383733   0.0072535563    0.029407133   0.0052831564    0.056880433    0.010217499
            545    0.035358234   0.0068049979    0.026201333     0.00504823      0.0490103   0.0094489125
            550    0.046470801   0.0078697807    0.034605634   0.0058690333      0.0640626    0.010865316
            555    0.028905966   0.0061696128    0.021787433   0.0046645468    0.039395633   0.0084315334
            560    0.029010867   0.0061887241    0.022057767   0.0047311709    0.039221633   0.0084200835
            565      0.0328694   0.0065747748    0.024742233   0.0049580694    0.044874733   0.0089976903
            570      0.0339285   0.0066577768      0.0249704   0.0049013766      0.0472726   0.0092830921
            575    0.027522467   0.0060057531      0.0200167   0.0043694704    0.038867867   0.0084848259
            580       0.028915   0.0061665335      0.0220319   0.0047133333      0.0389755   0.0083487299
            585      0.0275106   0.0060035812    0.020351967   0.0044454396    0.038139867    0.008333452
            590    0.027582633   0.0060191302    0.020345134   0.0044468923    0.038390533    0.008386599
            595    0.028855567   0.0061523879      0.0210868   0.0045001706    0.040567267    0.008656779
            600    0.024152533    0.005699209    0.018005267   0.0042574378    0.033296867   0.0078856795
            605    0.015995533   0.0046205995    0.011852533   0.0034279629    0.022194967    0.006425799
            610    0.022167567   0.0053781325    0.016541433   0.0040252769    0.030504467   0.0074175956
            615    0.028871233   0.0061555696      0.0218804   0.0046874447      0.0391692   0.0083834731
            620       0.028263   0.0062091961      0.0206097    0.004530807    0.039793367    0.008746205
            625    0.015817933   0.0045672934      0.0114055   0.0032929507    0.022528667   0.0065066731
            630    0.019596434   0.0050631577    0.014679667   0.0038002765    0.026881367   0.0069710366
            635      0.0249433   0.0057247042      0.0183136   0.0042061887    0.034879967   0.0080156079
            640    0.011716467   0.0039117527   0.0084828667   0.0028297955      0.0166118   0.0055547028
            645      0.0168347   0.0046719124      0.0122876   0.0034096554    0.023648467   0.0065654761
            650      0.0131257   0.0041510772   0.0096890334   0.0030682237      0.0182935   0.0057965639
            655    0.013193067   0.0041724025   0.0095361002   0.0030157955    0.018743933   0.0059306654
            660    0.015817267   0.0045679629      0.0121673   0.0035273526      0.0211753   0.0061544771
            665    0.012054567   0.0040527361   0.0092562333   0.0031143462    0.016176233   0.0054933504
            670    0.013252133   0.0041923818      0.0094792   0.0029980821    0.019055067   0.0060320293
            675      0.0144667    0.004362003    0.010640533   0.0032127012    0.020211833   0.0061074177
            680    0.014536433   0.0043836236      0.0105597   0.0031844113      0.0205202    0.006189134
            685      0.0157011   0.0045333472    0.011570333   0.0033549772    0.021906267   0.0063347559
            690   0.0094006999   0.0035544947   0.0069541333   0.0026340012       0.013084     0.00495913
            695      0.0130188     0.00411714   0.0097672666   0.0030976462      0.0178673   0.0056702325
            700      0.0131308   0.0041523917   0.0094704667   0.0029952143    0.018697333   0.0059137447
            705   0.0065668668   0.0029367817      0.0049871   0.0022414421   0.0088847334   0.0039874423
            710      0.0132446   0.0041894873      0.0102618   0.0032665375    0.017609933    0.005617226
            715   0.0066145001   0.0029591493   0.0050560667   0.0022669726   0.0088830333   0.0039883697
            720    0.012995467   0.0041123189   0.0095692666   0.0030323442    0.018119133   0.0057455773
            725    0.014421167   0.0043525136      0.0106229   0.0032165566    0.020110467   0.0060780277
            730       0.010438   0.0036929787   0.0074622666   0.0026418243    0.015017933   0.0053122161
            735   0.0090466999   0.0034225425   0.0067991334   0.0025816034    0.012341933   0.0046799884
            740    0.011969167    0.003991426   0.0095028667   0.0032054983    0.015511533   0.0052521535
            745      0.0064828   0.0028995939   0.0050956666   0.0022998091   0.0084978334   0.0038357807
            750   0.0093172668   0.0035223316      0.0066258   0.0025048148    0.013479767   0.0050997893
            755   0.0039183666   0.0022621688      0.0032386   0.0019048218   0.0048365333   0.0028658337
            760      0.0118577   0.0039529929   0.0088443333   0.0029580682    0.016354867   0.0054727095
            765      0.0103877   0.0036766706   0.0077267666   0.0027504578    0.014359533   0.0050895529
            770   0.0039309334   0.0022695497   0.0028234334   0.0016301394   0.0056242667   0.0032475541
            775      0.0052428   0.0026214015      0.0037733   0.0018868177   0.0074821333   0.0037410129
            780   0.0026272667   0.0018577029   0.0018991333   0.0013428318      0.0037295   0.0026371216
            785   0.0039610999   0.0022871082   0.0028265667   0.0016318679   0.0057037333   0.0032943937
            790   0.0066514666   0.0029747431   0.0049558667    0.002220373      0.0091855   0.0041130569
            795      0.0013671   0.0013670317  0.00099763337  0.00099758348       0.001918   0.0019179042
            800   0.0065302001      0.0029203   0.0047322334   0.0021162618   0.0092420667   0.0041333272
            805   0.0039861666   0.0023013854   0.0028640666   0.0016535506   0.0056947333   0.0032879674
            810   0.0053568666   0.0026784921      0.0043017   0.0021655328      0.0068446   0.0034519208
            815   0.0026545334   0.0018773784   0.0018708666   0.0013228392   0.0038756667   0.0027428215
            820   0.0051637999    0.002584139      0.0042185   0.0021279889   0.0064431333   0.0032448343
            825   0.0039299001   0.0022688599   0.0030180666   0.0017518853   0.0052742667   0.0030597963
            830   0.0052379333   0.0026189202      0.0037521   0.0018761334   0.0075111333   0.0037555371
            835              0              0              0              0              0              0
            840      0.0052178   0.0026087803   0.0037841667    0.001892189      0.0073839   0.0036926841
            845   0.0078679667   0.0032119961      0.0055816   0.0022801362      0.0114205   0.0046657136
            850      0.0040868   0.0023607132   0.0029116334   0.0016815701   0.0058994667   0.0034085969
            855      0.0013377   0.0013376331   0.0011759666   0.0011759078   0.0015130666   0.0015129909
            860   0.0079496667   0.0032454697   0.0060844668   0.0024953074    0.010678267   0.0043753377
            865   0.0052373334   0.0026189308   0.0037595333   0.0018801598   0.0074863333    0.003743697
            870      0.0026134    0.001847868      0.0018629   0.0013172219      0.0037695   0.0026653062
            875   0.0066006668   0.0029523028   0.0047000666   0.0021026347   0.0095353333   0.0042648321
            880   0.0026667001   0.0018858179   0.0018897333   0.0013364372      0.0038713   0.0027375464
            885   0.0040184332   0.0023215939   0.0028963334    0.001673315      0.0057234   0.0033072509
            890   0.0026511333   0.0018745406   0.0019088334    0.001349723      0.0037764   0.0026702609
            895   0.0039708333   0.0022925329   0.0028467667   0.0016436137   0.0056915667   0.0032859087
            900   0.0052419666   0.0026208715      0.0037454   0.0018727993   0.0075394333   0.0037704033
            905   0.0012985001   0.0012984351  0.00094706668  0.00094701933      0.0018234   0.0018233088
            910   0.0012992667   0.0012992017   0.0009050333  0.00090498805      0.0019244   0.0019243037
            915              0              0              0              0              0              0
            920      0.0013218   0.0013217339  0.00096953335  0.00096948487   0.0018441333   0.0018440412
            925   0.0026822333   0.0018970971   0.0020911999   0.0014913334      0.0035522   0.0025224611
            930      0.0026342    0.001862613      0.0019391   0.0013714094   0.0036631333   0.0025902025
            935   0.0013219667   0.0013219006  0.00092590002  0.00092585372      0.0019407    0.001940603
            940   0.0013448667   0.0013447994   0.0011369667   0.0011369099   0.0016162333   0.0016161525
            945   0.0025992666   0.0018378674   0.0018780333    0.001327904   0.0036880333   0.0026077077
            950      0.0039929   0.0023052535   0.0028943334   0.0016710862   0.0056500333   0.0032619077
            955      0.0012996    0.001299535  0.00093713335  0.00093708648   0.0018480333    0.001847941
            960              0              0              0              0              0              0
            965   0.0013290667   0.0013290003   0.0011631334   0.0011630752   0.0015026667   0.0015025916
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980   0.0013125999   0.0013125343  0.00093033333  0.00093028682      0.0019019   0.0019018048
            985   0.0039281334   0.0022678394      0.0027971   0.0016156382   0.0056660333   0.0032724411
            990              0              0              0              0              0              0
            995   0.0026785333   0.0018944087      0.0018958   0.0013405099   0.0038913333    0.002753712
           1000   0.0026785333   0.0018944087      0.0018958   0.0013405099   0.0038913333    0.002753712
