#       pt_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
            410    0.077483049   0.0049722478    0.061060224   0.0039365398     0.10098205   0.0065453069
            415     0.06896521   0.0047633993    0.055338519   0.0038103893    0.088169796   0.0062013721
            420    0.059486851   0.0044378155     0.04642613   0.0034351579    0.078367283   0.0059635622
            425    0.058524674   0.0043591206    0.046658564   0.0034534291    0.075418896    0.005753936
            430    0.053829964   0.0041808789    0.043007901   0.0033182363    0.069125506   0.0055417433
            435    0.054162145   0.0042099088    0.042601955   0.0033048067    0.070854742   0.0055963864
            440    0.051215286   0.0040735456    0.039871917   0.0031784683    0.067681512   0.0054287319
            445    0.050136743   0.0040463333    0.040494542   0.0032814683    0.063543009   0.0051921585
            450    0.050167731   0.0040421235    0.039125042   0.0031608907    0.066138119   0.0053612139
            455    0.039837095   0.0035522789    0.031938727   0.0028649042    0.050937583   0.0045747657
            460    0.042434726   0.0037001921    0.033547139   0.0029556902    0.055203481   0.0048866011
            465    0.041304858   0.0036694757     0.03282978   0.0029362213    0.053494086   0.0048218798
            470    0.032354342   0.0031894025     0.02539587   0.0025189041     0.04241515   0.0042113807
            475    0.038535998   0.0034909596     0.03028978     0.00276085    0.050360936   0.0045887723
            480    0.036178776   0.0034223163    0.028697095   0.0027270277    0.046809812   0.0044606322
            485    0.030017543   0.0031712147    0.023737311   0.0025042531     0.03902401   0.0041884482
            490     0.03123571   0.0048548665     0.02442094   0.0037295003    0.041111028   0.0065370912
            495    0.024391821   0.0027693146    0.019349188   0.0022127065    0.031531493   0.0036164514
            500    0.024391821   0.0027693146    0.019349188   0.0022127065    0.031531493   0.0036164514
