#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      809.24319      7.3435431      681.45054      6.1785075      976.47212      8.9132061
           -4.9      896.93591      7.7558066      757.16044      6.5357851      1078.8083      9.4200425
           -4.8      987.35185      8.2674966      833.33561       6.947433      1187.8715      10.063516
           -4.7       1125.962      9.0031339      951.20912       7.547624       1352.969      11.014503
           -4.6      1247.5038      9.1311774      1053.4734      7.7005815      1499.7654      11.063497
           -4.5      1375.7031      9.6104942      1162.8201      8.1097529      1651.8787      11.721728
           -4.4      1512.7113      10.053225      1279.7081      8.5205701      1814.3127      12.221281
           -4.3      1651.4953      10.460183      1395.5041      8.8322709      1983.7538      12.661151
           -4.2      1817.5019      11.059512      1537.5691      9.3359209       2179.828      13.408025
           -4.1      1976.3079      11.415492      1672.9706      9.6704047      2368.3448      13.840082
             -4       2123.913      11.785621      1796.3506      9.9682499      2548.1397      14.225956
           -3.9      2278.5166      12.325477      1930.4239      10.484347      2727.5347        15.4292
           -3.8      2467.3681       12.75063      2087.1496      10.790514      2959.6299      15.406669
           -3.7      2598.0786      13.099958      2195.8899      11.065149      3119.6664      15.852743
           -3.6      2787.4888      13.499725      2355.5691      11.406201      3347.9255      16.317754
           -3.5      2940.4156      13.841897      2484.8279       11.70043      3531.5512       16.73285
           -3.4      3120.6682      15.250853      2639.9503      12.838435      3742.7844      18.901187
           -3.3        3268.34      14.630909       2761.096      12.356172      3926.9159      17.709069
           -3.2      3410.8547      14.901047      2880.5546      12.591254      4100.0453      18.118372
           -3.1      3558.0996      15.187984       3005.675      13.072442      4275.4842      19.141237
             -3      3718.2991      15.529918       3136.887      13.106199      4475.6499      18.806958
           -2.9      3873.0932      16.574225      3267.6481      14.085679      4661.6972      20.402585
           -2.8      4043.0487      16.205316      3406.2047      13.666502      4875.2409      19.718148
           -2.7      4140.4303       16.38002      3489.5944      13.810821      4990.0649      19.943287
           -2.6      4293.7152      16.650088      3613.7416      14.039503      5184.2368      20.280995
           -2.5      4374.1803      17.058919       3680.567      14.356655       5283.208      20.780579
           -2.4       4500.424      17.117841      3783.8884      14.389852      5440.9534      20.854587
           -2.3       4636.661       17.34831      3894.3908      14.582323      5613.1649      21.155601
           -2.2      4726.9476      17.758944      3968.4167      14.830672      5725.6557      21.968667
           -2.1      4857.6507      17.732997      4075.9907      14.879159      5887.9649      21.665592
             -2      4910.8114      17.862324      4117.7501      14.973971      5957.6569      21.839016
           -1.9      4966.2664      17.951549      4161.1538      15.040974      6030.5306      21.969626
           -1.8      5037.4292      18.060585      4219.3209       15.13524      6119.7654      22.140982
           -1.7      5152.0587      18.222356      4312.8442      15.455952      6263.2692      22.882999
           -1.6      5178.8383      18.316711      4331.6495      15.327422      6302.6375       22.50604
           -1.5      5223.2467      19.040245      4366.2757      15.837152      6361.2037      23.554547
           -1.4      5261.0637      18.427405      4396.8444      15.407083      6409.1767      22.625837
           -1.3       5287.823      18.548608      4415.4415      15.491537       6448.662      22.820678
           -1.2      5275.9162      18.445339      4403.4569      15.402306      6437.8601      22.688467
           -1.1      5298.2422      18.578598      4424.6215      15.521264      6460.3669       22.90369
             -1      5265.4921      18.411724      4390.6047      15.368375      6432.7244       22.67902
           -0.9      5282.8604      18.458289       4405.145      15.399447      6453.7099      22.708867
           -0.8      5280.7649      18.513273      4403.6136      15.491224      6450.4778      23.297558
           -0.7      5276.3611      18.463392      4394.6442      15.379774      6454.9802      22.754786
           -0.6       5230.143      18.370501      4356.7304      15.307089       6397.227      22.635895
           -0.5      5223.6659      18.368378      4349.8486      15.300727      6392.1192      22.660261
           -0.4       5223.245      18.368031      4350.2903      15.307856      6390.1423      22.660531
           -0.3      5181.8184      18.338866      4316.3985      15.268472      6338.2201      22.870972
           -0.2      5199.9235      18.296993       4327.393      15.233238      6367.9929      22.567161
           -0.1      5220.1061      18.425771      4347.4641      15.348101      6386.6451      22.743773
              0      5199.3115      18.370373      4326.1479      15.286136      6368.4725      22.705314
            0.1      5211.9389      18.332901      4337.6537      15.265473      6382.2838      22.606602
            0.2      5209.5843       18.31848      4335.5599      15.258615      6379.6328      22.593061
            0.3      5224.2769      18.364978      4350.5854      15.297422      6392.4507      22.672173
            0.4      5234.5699      18.354989      4359.1379      15.306013      6405.0358      22.670489
            0.5       5277.762      18.452362      4397.2208      15.381641      6454.0964      22.745156
            0.6      5266.0363      18.443552      4389.1431      15.390815      6436.5094      22.819266
            0.7      5274.6703      18.431798      4395.1178      15.364835      6449.5308      22.707565
            0.8      5312.4974       18.53112      4429.6033      15.463644      6490.2936      22.839162
            0.9      5278.8236      18.529299      4401.9872      15.456703       6448.498      22.829819
              1      5289.5986      18.480444      4414.4674      15.442111      6455.3729      22.769848
            1.1      5317.8735      18.535851      4440.3196      15.481706      6485.7203       22.79926
            1.2      5290.1552      18.477802      4419.2731      15.452513      6448.0288      22.762368
            1.3      5245.7714      18.386339      4381.4035      15.369243       6395.408      22.570021
            1.4      5238.4384      18.461107      4380.3795      15.432648      6377.2257      22.686968
            1.5       5163.066       18.30686      4320.3763      15.321566      6279.8713      22.436522
            1.6        5135.17      18.242755      4296.6467       15.26689       6246.879      22.361337
            1.7      5060.4209      18.092378      4237.2361      15.156586      6150.0198      22.137452
            1.8      4996.7645      17.963579      4188.4426      15.066981      6064.5401      21.983554
            1.9      4910.3945      17.811282      4117.0793      14.937247      5957.9185      21.756547
              2      4836.2154       17.69348       4057.969      14.845818      5862.0525      21.612665
            2.1      4721.6674      17.476808      3963.4514      14.674661      5720.2233      21.320372
            2.2      4618.5686      17.312645      3881.2319      14.559233      5587.6063      21.102332
            2.3      4504.5819      17.090084      3788.0249      14.374675      5444.7493      20.792792
            2.4      4389.5992      17.005753      3693.2509      14.308565      5302.1703      20.776436
            2.5       4299.252      16.693809      3621.1156      14.065409      5185.8152      20.293759
            2.6      4168.8863      16.444966      3512.6518      13.862754      5026.0657      20.044188
            2.7      4003.0101       16.14356       3372.989      13.603543      4826.0249      19.603978
            2.8      3880.1305      15.864028      3271.4596       13.37916      4674.1988      19.244233
            2.9      3730.6965       15.58104      3148.5901      13.148301      4488.3622      18.893763
              3      3565.4357      15.215695      3009.4874      12.845378       4288.787      18.421232
            3.1      3412.9162       14.90755      2880.6686      12.583466      4105.5009      18.047555
            3.2      3290.9421      14.659621      2780.1504      12.386483      3954.3438      17.739651
            3.3      3104.5202      14.237559      2622.3504      12.022985       3730.777      17.238404
            3.4       2924.797      13.808372      2471.9731       11.67623      3512.2241      16.688823
            3.5      2787.9431      13.506848      2357.2913      11.418844       3346.072      16.321972
            3.6      2619.8554      13.072954      2213.7102      11.047762      3146.9467      15.790506
            3.7      2459.6733      12.680018      2079.7927      10.720635      2952.0242      15.325238
            3.8      2301.6217      12.264686      1947.3846      10.378545      2760.0143      14.803095
            3.9      2139.4365      11.830374      1808.4196      10.001083      2568.7317      14.285833
              4      1971.2277      11.371405      1667.7553      9.6190418      2363.9553      13.737881
            4.1      1813.3586       10.90523      1532.7254       9.217403      2177.3138      13.163735
            4.2       1661.918      10.510067      1408.8805      9.5708721       1987.694      14.666769
            4.3      1513.9903      10.008822      1279.6941       8.462238      1817.8805      12.148631
            4.4      1388.8704      9.5843773      1173.8053      8.0969061      1667.9077      11.601409
            4.5       1246.513      9.2764104      1053.2877      7.8022788      1497.3964      11.273137
            4.6      1131.4686      8.6300142      955.35042      7.2841428      1360.5372      10.452153
            4.7      1000.9945      8.1970038      845.48325      6.9405416      1203.0525       9.990166
            4.8       900.4694      7.8328609      760.08285      6.5955702      1083.1701      9.5153513
            4.9      799.62661      7.3061396      674.90693      6.1574594      961.99073       8.869884
              5      799.62661      7.3061396      674.90693      6.1574594      961.99073       8.869884
